sequence,factor,metric,scope,group,unit,weighting,n,bin,lower,upper,fraction
all,A02,ignore_fraction,all_frames,all,frame,frame_equal,8659,1,0.001,0.01,0.01997921238018247
all,A02,ignore_fraction,all_frames,all,frame,frame_equal,8659,2,0.01,0.1,0.3851484005081418
all,A02,ignore_fraction,all_frames,all,frame,frame_equal,8659,3,0.1,0.25,0.33675944104400046
all,A02,ignore_fraction,all_frames,all,frame,frame_equal,8659,4,0.25,0.5,0.080147823074258
all,A02,ignore_fraction,all_frames,all,frame,frame_equal,8659,5,0.5,0.75,0.04965931400854602
all,A02,ignore_fraction,all_frames,all,frame,frame_equal,8659,6,0.75,0.9,0.03938099087654463
all,A02,ignore_fraction,all_frames,all,frame,frame_equal,8659,7,0.9,1.000001,0.0889248181083266
all,A02,ignore_fraction,all_frames,all,frame,sequence_equal,8659,0,0,0.001,0.0
all,A02,ignore_fraction,all_frames,all,frame,sequence_equal,8659,1,0.001,0.01,0.01574940292354744
all,A02,ignore_fraction,all_frames,all,frame,sequence_equal,8659,2,0.01,0.1,0.3696423911744777
all,A02,ignore_fraction,all_frames,all,frame,sequence_equal,8659,3,0.1,0.25,0.36487935041914116
all,A02,ignore_fraction,all_frames,all,frame,sequence_equal,8659,4,0.25,0.5,0.08813532392560008
all,A02,ignore_fraction,all_frames,all,frame,sequence_equal,8659,5,0.5,0.75,0.04564005955448347
all,A02,ignore_fraction,all_frames,all,frame,sequence_equal,8659,6,0.75,0.9,0.03604460898113672
all,A02,ignore_fraction,all_frames,all,frame,sequence_equal,8659,7,0.9,1.000001,0.0799088630216135
all,A02,ignore,all_frames,all,frame,observation_equal,8659,0,0,1000,0.01639912230049659
all,A02,ignore,all_frames,all,frame,observation_equal,8659,1,1000,10000,0.33479616583901145
all,A02,ignore,all_frames,all,frame,observation_equal,8659,2,10000,50000,0.45963737152096085
all,A02,ignore,all_frames,all,frame,observation_equal,8659,3,50000,100000,0.11675713130846518
all,A02,ignore,all_frames,all,frame,observation_equal,8659,4,100000,131073,0.07241020903106594
all,A02,ignore,all_frames,all,frame,observation_equal,8659,5,131073,inf,0.0
all,A02,ignore,all_frames,all,frame,frame_equal,8659,0,0,1000,0.01639912230049659
all,A02,ignore,all_frames,all,frame,frame_equal,8659,1,1000,10000,0.33479616583901145
all,A02,ignore,all_frames,all,frame,frame_equal,8659,2,10000,50000,0.45963737152096085
all,A02,ignore,all_frames,all,frame,frame_equal,8659,3,50000,100000,0.11675713130846518
all,A02,ignore,all_frames,all,frame,frame_equal,8659,4,100000,131073,0.07241020903106594
all,A02,ignore,all_frames,all,frame,frame_equal,8659,5,131073,inf,0.0
all,A02,ignore,all_frames,all,frame,sequence_equal,8659,0,0,1000,0.012554925037811998
all,A02,ignore,all_frames,all,frame,sequence_equal,8659,1,1000,10000,0.32054197222636716
all,A02,ignore,all_frames,all,frame,sequence_equal,8659,2,10000,50000,0.49234434943119926
all,A02,ignore,all_frames,all,frame,sequence_equal,8659,3,50000,100000,0.11121590595857657
all,A02,ignore,all_frames,all,frame,sequence_equal,8659,4,100000,131073,0.06334284734604524
all,A02,ignore,all_frames,all,frame,sequence_equal,8659,5,131073,inf,0.0
all,A02,normal_fraction,all_frames,all,frame,observation_equal,8659,0,0,0.001,0.004157523963506178
all,A02,normal_fraction,all_frames,all,frame,observation_equal,8659,1,0.001,0.01,0.010047349578473265
all,A02,normal_fraction,all_frames,all,frame,observation_equal,8659,2,0.01,0.1,0.07471994456634716
all,A02,normal_fraction,all_frames,all,frame,observation_equal,8659,3,0.1,0.25,0.03938099087654463
all,A02,normal_fraction,all_frames,all,frame,observation_equal,8659,4,0.25,0.5,0.04965931400854602
all,A02,normal_fraction,all_frames,all,frame,observation_equal,8659,5,0.5,0.75,0.08026330985102206
all,A02,normal_fraction,all_frames,all,frame,observation_equal,8659,6,0.75,0.9,0.33710590137429264
all,A02,normal_fraction,all_frames,all,frame,observation_equal,8659,7,0.9,1.000001,0.40466566578126806
all,A02,normal_fraction,all_frames,all,frame,frame_equal,8659,0,0,0.001,0.004157523963506178
all,A02,normal_fraction,all_frames,all,frame,frame_equal,8659,1,0.001,0.01,0.010047349578473265
all,A02,normal_fraction,all_frames,all,frame,frame_equal,8659,2,0.01,0.1,0.07471994456634716
all,A02,normal_fraction,all_frames,all,frame,frame_equal,8659,3,0.1,0.25,0.03938099087654463
all,A02,normal_fraction,all_frames,all,frame,frame_equal,8659,4,0.25,0.5,0.04965931400854602
all,A02,normal_fraction,all_frames,all,frame,frame_equal,8659,5,0.5,0.75,0.08026330985102206
all,A02,normal_fraction,all_frames,all,frame,frame_equal,8659,6,0.75,0.9,0.33710590137429264
all,A02,normal_fraction,all_frames,all,frame,frame_equal,8659,7,0.9,1.000001,0.40466566578126806
all,A02,normal_fraction,all_frames,all,frame,sequence_equal,8659,0,0,0.001,0.003147403392201434
all,A02,normal_fraction,all_frames,all,frame,sequence_equal,8659,1,0.001,0.01,0.007937413852605555
all,A02,normal_fraction,all_frames,all,frame,sequence_equal,8659,2,0.01,0.1,0.06882404577680652
all,A02,normal_fraction,all_frames,all,frame,sequence_equal,8659,3,0.1,0.25,0.03604460898113672
all,A02,normal_fraction,all_frames,all,frame,sequence_equal,8659,4,0.25,0.5,0.04564005955448347
all,A02,normal_fraction,all_frames,all,frame,sequence_equal,8659,5,0.5,0.75,0.08834172227441328
all,A02,normal_fraction,all_frames,all,frame,sequence_equal,8659,6,0.75,0.9,0.3650037077918263
all,A02,normal_fraction,all_frames,all,frame,sequence_equal,8659,7,0.9,1.000001,0.3850610383765269
all,A02,normal,all_frames,all,frame,observation_equal,8659,0,0,1000,0.012934518997574777
all,A02,normal,all_frames,all,frame,observation_equal,8659,1,1000,10000,0.07425799745929092
all,A02,normal,all_frames,all,frame,observation_equal,8659,2,10000,50000,0.08234207183277514
all,A02,normal,all_frames,all,frame,observation_equal,8659,3,50000,100000,0.32394040882318975
all,A02,normal,all_frames,all,frame,observation_equal,8659,4,100000,131073,0.5065250028871694
all,A02,normal,all_frames,all,frame,observation_equal,8659,5,131073,inf,0.0
all,A02,normal,all_frames,all,frame,frame_equal,8659,0,0,1000,0.012934518997574777
all,A02,normal,all_frames,all,frame,frame_equal,8659,1,1000,10000,0.07425799745929092
all,A02,normal,all_frames,all,frame,frame_equal,8659,2,10000,50000,0.08234207183277514
all,A02,normal,all_frames,all,frame,frame_equal,8659,3,50000,100000,0.32394040882318975
all,A02,normal,all_frames,all,frame,frame_equal,8659,4,100000,131073,0.5065250028871694
all,A02,normal,all_frames,all,frame,frame_equal,8659,5,131073,inf,0.0
all,A02,normal,all_frames,all,frame,sequence_equal,8659,0,0,1000,0.010105884309719948
all,A02,normal,all_frames,all,frame,sequence_equal,8659,1,1000,10000,0.06820443077940574
all,A02,normal,all_frames,all,frame,sequence_equal,8659,2,10000,50000,0.07562319733474807
all,A02,normal,all_frames,all,frame,sequence_equal,8659,3,50000,100000,0.33749006331190506
all,A02,normal,all_frames,all,frame,sequence_equal,8659,4,100000,131073,0.5085764242642211
all,A02,normal,all_frames,all,frame,sequence_equal,8659,5,131073,inf,0.0
all,A02,slots,all_frames,all,frame,observation_equal,8659,0,0,1000,0.0
all,A02,slots,all_frames,all,frame,observation_equal,8659,1,1000,10000,0.0
all,A02,slots,all_frames,all,frame,observation_equal,8659,2,10000,50000,0.0
all,A02,slots,all_frames,all,frame,observation_equal,8659,3,50000,100000,0.0
all,A02,slots,all_frames,all,frame,observation_equal,8659,4,100000,131073,1.0
all,A02,slots,all_frames,all,frame,observation_equal,8659,5,131073,inf,0.0
all,A02,slots,all_frames,all,frame,frame_equal,8659,0,0,1000,0.0
all,A02,slots,all_frames,all,frame,frame_equal,8659,1,1000,10000,0.0
all,A02,slots,all_frames,all,frame,frame_equal,8659,2,10000,50000,0.0
all,A02,slots,all_frames,all,frame,frame_equal,8659,3,50000,100000,0.0
all,A02,slots,all_frames,all,frame,frame_equal,8659,4,100000,131073,1.0
all,A02,slots,all_frames,all,frame,frame_equal,8659,5,131073,inf,0.0
all,A02,slots,all_frames,all,frame,sequence_equal,8659,0,0,1000,0.0
all,A02,slots,all_frames,all,frame,sequence_equal,8659,1,1000,10000,0.0
all,A02,slots,all_frames,all,frame,sequence_equal,8659,2,10000,50000,0.0
all,A02,slots,all_frames,all,frame,sequence_equal,8659,3,50000,100000,0.0
all,A02,slots,all_frames,all,frame,sequence_equal,8659,4,100000,131073,1.0
all,A02,slots,all_frames,all,frame,sequence_equal,8659,5,131073,inf,0.0
all,A02,visible_fraction,all_frames,all,frame,observation_equal,8659,0,0,0.001,0.0
all,A02,visible_fraction,all_frames,all,frame,observation_equal,8659,1,0.001,0.01,0.0
all,A02,visible_fraction,all_frames,all,frame,observation_equal,8659,2,0.01,0.1,0.0
all,A02,visible_fraction,all_frames,all,frame,observation_equal,8659,3,0.1,0.25,0.0
all,A02,visible_fraction,all_frames,all,frame,observation_equal,8659,4,0.25,0.5,0.0
all,A02,visible_fraction,all_frames,all,frame,observation_equal,8659,5,0.5,0.75,0.02413673634368865
all,A02,visible_fraction,all_frames,all,frame,observation_equal,8659,6,0.75,0.9,0.7120914655271972
all,A02,visible_fraction,all_frames,all,frame,observation_equal,8659,7,0.9,1.000001,0.2637717981291142
all,A02,visible_fraction,all_frames,all,frame,frame_equal,8659,0,0,0.001,0.0
all,A02,visible_fraction,all_frames,all,frame,frame_equal,8659,1,0.001,0.01,0.0
all,A02,visible_fraction,all_frames,all,frame,frame_equal,8659,2,0.01,0.1,0.0
all,A02,visible_fraction,all_frames,all,frame,frame_equal,8659,3,0.1,0.25,0.0
all,A02,visible_fraction,all_frames,all,frame,frame_equal,8659,4,0.25,0.5,0.0
all,A02,visible_fraction,all_frames,all,frame,frame_equal,8659,5,0.5,0.75,0.02413673634368865
all,A02,visible_fraction,all_frames,all,frame,frame_equal,8659,6,0.75,0.9,0.7120914655271972
all,A02,visible_fraction,all_frames,all,frame,frame_equal,8659,7,0.9,1.000001,0.2637717981291142
all,A02,visible_fraction,all_frames,all,frame,sequence_equal,8659,0,0,0.001,0.0
all,A02,visible_fraction,all_frames,all,frame,sequence_equal,8659,1,0.001,0.01,0.0
all,A02,visible_fraction,all_frames,all,frame,sequence_equal,8659,2,0.01,0.1,0.0
all,A02,visible_fraction,all_frames,all,frame,sequence_equal,8659,3,0.1,0.25,0.0
all,A02,visible_fraction,all_frames,all,frame,sequence_equal,8659,4,0.25,0.5,0.0
all,A02,visible_fraction,all_frames,all,frame,sequence_equal,8659,5,0.5,0.75,0.018333333333333333
all,A02,visible_fraction,all_frames,all,frame,sequence_equal,8659,6,0.75,0.9,0.7065099518634301
all,A02,visible_fraction,all_frames,all,frame,sequence_equal,8659,7,0.9,1.000001,0.27515671480323667
all,A02,visible,all_frames,all,frame,observation_equal,8659,0,0,1000,0.0
all,A02,visible,all_frames,all,frame,observation_equal,8659,1,1000,10000,0.0
all,A02,visible,all_frames,all,frame,observation_equal,8659,2,10000,50000,0.0
all,A02,visible,all_frames,all,frame,observation_equal,8659,3,50000,100000,0.04296108095623051
all,A02,visible,all_frames,all,frame,observation_equal,8659,4,100000,131073,0.9570389190437695
all,A02,visible,all_frames,all,frame,observation_equal,8659,5,131073,inf,0.0
all,A02,visible,all_frames,all,frame,frame_equal,8659,0,0,1000,0.0
all,A02,visible,all_frames,all,frame,frame_equal,8659,1,1000,10000,0.0
all,A02,visible,all_frames,all,frame,frame_equal,8659,2,10000,50000,0.0
all,A02,visible,all_frames,all,frame,frame_equal,8659,3,50000,100000,0.04296108095623051
all,A02,visible,all_frames,all,frame,frame_equal,8659,4,100000,131073,0.9570389190437695
all,A02,visible,all_frames,all,frame,frame_equal,8659,5,131073,inf,0.0
all,A02,visible,all_frames,all,frame,sequence_equal,8659,0,0,1000,0.0
all,A02,visible,all_frames,all,frame,sequence_equal,8659,1,1000,10000,0.0
all,A02,visible,all_frames,all,frame,sequence_equal,8659,2,10000,50000,0.0
all,A02,visible,all_frames,all,frame,sequence_equal,8659,3,50000,100000,0.03660042037646813
all,A02,visible,all_frames,all,frame,sequence_equal,8659,4,100000,131073,0.9633995796235318
all,A02,visible,all_frames,all,frame,sequence_equal,8659,5,131073,inf,0.0
all,A02,zero_slot_fraction,all_frames,all,frame,observation_equal,8659,0,0,0.001,0.0
all,A02,zero_slot_fraction,all_frames,all,frame,observation_equal,8659,1,0.001,0.01,0.0
all,A02,zero_slot_fraction,all_frames,all,frame,observation_equal,8659,2,0.01,0.1,0.2637717981291142
all,A02,zero_slot_fraction,all_frames,all,frame,observation_equal,8659,3,0.1,0.25,0.7120914655271972
all,A02,zero_slot_fraction,all_frames,all,frame,observation_equal,8659,4,0.25,0.5,0.02413673634368865
all,A02,zero_slot_fraction,all_frames,all,frame,observation_equal,8659,5,0.5,0.75,0.0
all,A02,zero_slot_fraction,all_frames,all,frame,observation_equal,8659,6,0.75,0.9,0.0
all,A02,zero_slot_fraction,all_frames,all,frame,observation_equal,8659,7,0.9,1.000001,0.0
all,A02,zero_slot_fraction,all_frames,all,frame,frame_equal,8659,0,0,0.001,0.0
all,A02,zero_slot_fraction,all_frames,all,frame,frame_equal,8659,1,0.001,0.01,0.0
all,A02,zero_slot_fraction,all_frames,all,frame,frame_equal,8659,2,0.01,0.1,0.2637717981291142
all,A02,zero_slot_fraction,all_frames,all,frame,frame_equal,8659,3,0.1,0.25,0.7120914655271972
all,A02,zero_slot_fraction,all_frames,all,frame,frame_equal,8659,4,0.25,0.5,0.02413673634368865
all,A02,zero_slot_fraction,all_frames,all,frame,frame_equal,8659,5,0.5,0.75,0.0
all,A02,zero_slot_fraction,all_frames,all,frame,frame_equal,8659,6,0.75,0.9,0.0
all,A02,zero_slot_fraction,all_frames,all,frame,frame_equal,8659,7,0.9,1.000001,0.0
all,A02,zero_slot_fraction,all_frames,all,frame,sequence_equal,8659,0,0,0.001,0.0
all,A02,zero_slot_fraction,all_frames,all,frame,sequence_equal,8659,1,0.001,0.01,0.0
all,A02,zero_slot_fraction,all_frames,all,frame,sequence_equal,8659,2,0.01,0.1,0.27515671480323667
all,A02,zero_slot_fraction,all_frames,all,frame,sequence_equal,8659,3,0.1,0.25,0.7065099518634301
all,A02,zero_slot_fraction,all_frames,all,frame,sequence_equal,8659,4,0.25,0.5,0.018333333333333333
all,A02,zero_slot_fraction,all_frames,all,frame,sequence_equal,8659,5,0.5,0.75,0.0
all,A02,zero_slot_fraction,all_frames,all,frame,sequence_equal,8659,6,0.75,0.9,0.0
all,A02,zero_slot_fraction,all_frames,all,frame,sequence_equal,8659,7,0.9,1.000001,0.0
all,A02,zero_slots,all_frames,all,frame,observation_equal,8659,0,0,1000,0.0
all,A02,zero_slots,all_frames,all,frame,observation_equal,8659,1,1000,10000,0.116410670978173
all,A02,zero_slots,all_frames,all,frame,observation_equal,8659,2,10000,50000,0.8794318050583209
all,A02,zero_slots,all_frames,all,frame,observation_equal,8659,3,50000,100000,0.004157523963506178
all,A02,zero_slots,all_frames,all,frame,observation_equal,8659,4,100000,131073,0.0
all,A02,zero_slots,all_frames,all,frame,observation_equal,8659,5,131073,inf,0.0
all,A02,zero_slots,all_frames,all,frame,frame_equal,8659,0,0,1000,0.0
all,A02,zero_slots,all_frames,all,frame,frame_equal,8659,1,1000,10000,0.116410670978173
all,A02,zero_slots,all_frames,all,frame,frame_equal,8659,2,10000,50000,0.8794318050583209
all,A02,zero_slots,all_frames,all,frame,frame_equal,8659,3,50000,100000,0.004157523963506178
all,A02,zero_slots,all_frames,all,frame,frame_equal,8659,4,100000,131073,0.0
all,A02,zero_slots,all_frames,all,frame,frame_equal,8659,5,131073,inf,0.0
all,A02,zero_slots,all_frames,all,frame,sequence_equal,8659,0,0,1000,0.0
all,A02,zero_slots,all_frames,all,frame,sequence_equal,8659,1,1000,10000,0.12897503351033826
all,A02,zero_slots,all_frames,all,frame,sequence_equal,8659,2,10000,50000,0.8678670717528197
all,A02,zero_slots,all_frames,all,frame,sequence_equal,8659,3,50000,100000,0.003157894736842105
all,A02,zero_slots,all_frames,all,frame,sequence_equal,8659,4,100000,131073,0.0
all,A02,zero_slots,all_frames,all,frame,sequence_equal,8659,5,131073,inf,0.0
all,A03,current_state,all_frames,all,frame,observation_equal,8659,0,-0.5,0.5,0.5905993763714055
all,A03,current_state,all_frames,all,frame,observation_equal,8659,1,0.5,1.5,0.05370135119528814
all,A03,current_state,all_frames,all,frame,observation_equal,8659,2,1.5,2.5,0.1293451899757478
all,A03,current_state,all_frames,all,frame,observation_equal,8659,3,2.5,3.5,0.22635408245755861
all,A03,current_state,all_frames,all,frame,frame_equal,8659,0,-0.5,0.5,0.5905993763714055
all,A03,current_state,all_frames,all,frame,frame_equal,8659,1,0.5,1.5,0.05370135119528814
all,A03,current_state,all_frames,all,frame,frame_equal,8659,2,1.5,2.5,0.1293451899757478
all,A03,current_state,all_frames,all,frame,frame_equal,8659,3,2.5,3.5,0.22635408245755861
all,A03,current_state,all_frames,all,frame,sequence_equal,8659,0,-0.5,0.5,0.5724489863790795
all,A03,current_state,all_frames,all,frame,sequence_equal,8659,1,0.5,1.5,0.05638642540699585
all,A03,current_state,all_frames,all,frame,sequence_equal,8659,2,1.5,2.5,0.12914968641792718
all,A03,current_state,all_frames,all,frame,sequence_equal,8659,3,2.5,3.5,0.2420149017959975
all,A03,current_unseen,all_frames,all,frame,observation_equal,8659,0,-0.5,0.5,0.40940062362859453
all,A03,current_unseen,all_frames,all,frame,observation_equal,8659,1,0.5,1.5,0.5905993763714055
all,A03,current_unseen,all_frames,all,frame,frame_equal,8659,0,-0.5,0.5,0.40940062362859453
all,A03,current_unseen,all_frames,all,frame,frame_equal,8659,1,0.5,1.5,0.5905993763714055
all,A03,current_unseen,all_frames,all,frame,sequence_equal,8659,0,-0.5,0.5,0.4275510136209205
all,A03,current_unseen,all_frames,all,frame,sequence_equal,8659,1,0.5,1.5,0.5724489863790795
all,A04,outside_only,all_frames,all,frame,observation_equal,8659,0,-0.5,0.5,0.9462986488047118
all,A04,outside_only,all_frames,all,frame,observation_equal,8659,1,0.5,1.5,0.05370135119528814
all,A04,outside_only,all_frames,all,frame,frame_equal,8659,0,-0.5,0.5,0.9462986488047118
all,A04,outside_only,all_frames,all,frame,frame_equal,8659,1,0.5,1.5,0.05370135119528814
all,A04,outside_only,all_frames,all,frame,sequence_equal,8659,0,-0.5,0.5,0.9436135745930041
all,A04,outside_only,all_frames,all,frame,sequence_equal,8659,1,0.5,1.5,0.056386425406995865
all,A05,eligible,all_frames,all,frame,observation_equal,8659,0,-0.5,0.5,0.7736459175424414
all,A05,eligible,all_frames,all,frame,observation_equal,8659,1,0.5,1.5,0.22635408245755861
all,A05,eligible,all_frames,all,frame,frame_equal,8659,0,-0.5,0.5,0.7736459175424414
all,A05,eligible,all_frames,all,frame,frame_equal,8659,1,0.5,1.5,0.22635408245755861
all,A05,eligible,all_frames,all,frame,sequence_equal,8659,0,-0.5,0.5,0.7579850982040025
all,A05,eligible,all_frames,all,frame,sequence_equal,8659,1,0.5,1.5,0.2420149017959975
all,A05,one_to_four,all_frames,all,frame,observation_equal,8659,0,-0.5,0.5,0.8706548100242523
all,A05,one_to_four,all_frames,all,frame,observation_equal,8659,1,0.5,1.5,0.1293451899757478
all,A05,one_to_four,all_frames,all,frame,frame_equal,8659,0,-0.5,0.5,0.8706548100242523
all,A05,one_to_four,all_frames,all,frame,frame_equal,8659,1,0.5,1.5,0.1293451899757478
all,A05,one_to_four,all_frames,all,frame,sequence_equal,8659,0,-0.5,0.5,0.8708503135820728
all,A05,one_to_four,all_frames,all,frame,sequence_equal,8659,1,0.5,1.5,0.12914968641792718
all,B01,anomaly_in_range,all_frames,all,frame,observation_equal,8659,0,0,1,0.6443007275666937
all,B01,anomaly_in_range,all_frames,all,frame,observation_equal,8659,1,1,5,0.1293451899757478
all,B01,anomaly_in_range,all_frames,all,frame,observation_equal,8659,2,5,20,0.112599607344959
all,B01,anomaly_in_range,all_frames,all,frame,observation_equal,8659,3,20,100,0.08465180736805636
all,B01,anomaly_in_range,all_frames,all,frame,observation_equal,8659,4,100,500,0.02910266774454325
all,B01,anomaly_in_range,all_frames,all,frame,observation_equal,8659,5,500,inf,0.0
all,B01,anomaly_in_range,all_frames,all,frame,frame_equal,8659,0,0,1,0.6443007275666937
all,B01,anomaly_in_range,all_frames,all,frame,frame_equal,8659,1,1,5,0.1293451899757478
all,B01,anomaly_in_range,all_frames,all,frame,frame_equal,8659,2,5,20,0.112599607344959
all,B01,anomaly_in_range,all_frames,all,frame,frame_equal,8659,3,20,100,0.08465180736805636
all,B01,anomaly_in_range,all_frames,all,frame,frame_equal,8659,4,100,500,0.02910266774454325
all,B01,anomaly_in_range,all_frames,all,frame,frame_equal,8659,5,500,inf,0.0
all,B01,anomaly_in_range,all_frames,all,frame,sequence_equal,8659,0,0,1,0.6288354117860753
all,B01,anomaly_in_range,all_frames,all,frame,sequence_equal,8659,1,1,5,0.12914968641792718
all,B01,anomaly_in_range,all_frames,all,frame,sequence_equal,8659,2,5,20,0.11171796382354857
all,B01,anomaly_in_range,all_frames,all,frame,sequence_equal,8659,3,20,100,0.09210036172473966
all,B01,anomaly_in_range,all_frames,all,frame,sequence_equal,8659,4,100,500,0.03819657624770928
all,B01,anomaly_in_range,all_frames,all,frame,sequence_equal,8659,5,500,inf,0.0
all,B01,anomaly,all_frames,all,frame,observation_equal,8659,0,0,1,0.5905993763714055
all,B01,anomaly,all_frames,all,frame,observation_equal,8659,1,1,5,0.1824691072872156
all,B01,anomaly,all_frames,all,frame,observation_equal,8659,2,5,20,0.11317704122877931
all,B01,anomaly,all_frames,all,frame,observation_equal,8659,3,20,100,0.08465180736805636
all,B01,anomaly,all_frames,all,frame,observation_equal,8659,4,100,500,0.02910266774454325
all,B01,anomaly,all_frames,all,frame,observation_equal,8659,5,500,inf,0.0
all,B01,anomaly,all_frames,all,frame,frame_equal,8659,0,0,1,0.5905993763714055
all,B01,anomaly,all_frames,all,frame,frame_equal,8659,1,1,5,0.1824691072872156
all,B01,anomaly,all_frames,all,frame,frame_equal,8659,2,5,20,0.11317704122877931
all,B01,anomaly,all_frames,all,frame,frame_equal,8659,3,20,100,0.08465180736805636
all,B01,anomaly,all_frames,all,frame,frame_equal,8659,4,100,500,0.02910266774454325
all,B01,anomaly,all_frames,all,frame,frame_equal,8659,5,500,inf,0.0
all,B01,anomaly,all_frames,all,frame,sequence_equal,8659,0,0,1,0.5724489863790795
all,B01,anomaly,all_frames,all,frame,sequence_equal,8659,1,1,5,0.18513413845534415
all,B01,anomaly,all_frames,all,frame,sequence_equal,8659,2,5,20,0.11211993719312748
all,B01,anomaly,all_frames,all,frame,sequence_equal,8659,3,20,100,0.09210036172473966
all,B01,anomaly,all_frames,all,frame,sequence_equal,8659,4,100,500,0.03819657624770928
all,B01,anomaly,all_frames,all,frame,sequence_equal,8659,5,500,inf,0.0
all,B02,anomaly_distance_median,all_frames,all,frame,observation_equal,3545,0,0,2.5,0.0
all,B02,anomaly_distance_median,all_frames,all,frame,observation_equal,3545,1,2.5,10,0.19266572637517632
all,B02,anomaly_distance_median,all_frames,all,frame,observation_equal,3545,2,10,20,0.2383638928067701
all,B02,anomaly_distance_median,all_frames,all,frame,observation_equal,3545,3,20,35,0.2834978843441467
all,B02,anomaly_distance_median,all_frames,all,frame,observation_equal,3545,4,35,50,0.1540197461212976
all,B02,anomaly_distance_median,all_frames,all,frame,observation_equal,3545,5,50,inf,0.1314527503526093
all,B02,anomaly_distance_median,all_frames,all,frame,frame_equal,3545,0,0,2.5,0.0
all,B02,anomaly_distance_median,all_frames,all,frame,frame_equal,3545,1,2.5,10,0.19266572637517632
all,B02,anomaly_distance_median,all_frames,all,frame,frame_equal,3545,2,10,20,0.2383638928067701
all,B02,anomaly_distance_median,all_frames,all,frame,frame_equal,3545,3,20,35,0.2834978843441467
all,B02,anomaly_distance_median,all_frames,all,frame,frame_equal,3545,4,35,50,0.1540197461212976
all,B02,anomaly_distance_median,all_frames,all,frame,frame_equal,3545,5,50,inf,0.1314527503526093
all,B02,anomaly_distance_median,all_frames,all,frame,sequence_equal,3545,0,0,2.5,0.0
all,B02,anomaly_distance_median,all_frames,all,frame,sequence_equal,3545,1,2.5,10,0.1912827960489416
all,B02,anomaly_distance_median,all_frames,all,frame,sequence_equal,3545,2,10,20,0.24071252280135474
all,B02,anomaly_distance_median,all_frames,all,frame,sequence_equal,3545,3,20,35,0.276660943981744
