sequence,factor,metric,scope,group,unit,weighting,n,denominator,frames,valid_frames,sequence_count,missing_fraction,empty_frame_fraction,minimum,maximum,mean,p05_value,p05_lower,p05_upper,p25_value,p25_lower,p25_upper,p50_value,p50_lower,p50_upper,p75_value,p75_lower,p75_upper,p95_value,p95_lower,p95_upper
all,A02,normal_fraction,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,0.0007986699700091276,0.9968315234611286,0.7504115814250185,0.038037077426390405,0.038037077426390405,0.038037077426390405,0.7330304510098016,0.7330304510098016,0.7330304510098016,0.8777070713078053,0.8777070713078053,0.8777070713078053,0.937017105840278,0.937017105840278,0.937017105840278,0.9865484121884406,0.9865484121884406,0.9865484121884406
all,A02,normal_fraction,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,0.0007986699700091276,0.9968315234611286,0.7577512606721862,0.045661280670257334,0.045661280670257334,0.045661280670257334,0.7501833100558659,0.7501833100558659,0.7501833100558659,0.8725577308986352,0.8725577308986352,0.8725577308986352,0.9332701897545496,0.9332701897545496,0.9332701897545496,0.9854012129003882,0.9854012129003882,0.9854012129003882
all,A02,normal,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,91.0,121798.0,85926.45594179466,4103.0,4103.0,4103.0,82136.0,82136.0,82136.0,100189.0,100189.0,100189.0,107080.0,107080.0,107080.0,116514.0,116514.0,116514.0
all,A02,normal,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,91.0,121798.0,85926.45594179466,4103.0,4103.0,4103.0,82136.0,82136.0,82136.0,100189.0,100189.0,100189.0,107080.0,107080.0,107080.0,116514.0,116514.0,116514.0
all,A02,normal,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,91.0,121798.0,87038.04681208586,4897.0,4897.0,4897.0,84033.0,84033.0,84033.0,100235.0,100235.0,100235.0,106945.0,106945.0,106945.0,116221.0,116221.0,116221.0
all,A02,slots,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0
all,A02,slots,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0
all,A02,slots,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0,131072.0
all,A02,visible_fraction,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,0.5221176147460938,0.9626693725585938,0.8703511664657866,0.7645416259765625,0.7645416259765625,0.7645416259765625,0.8512802124023438,0.8512802124023438,0.8512802124023438,0.885711669921875,0.885711669921875,0.885711669921875,0.900787353515625,0.900787353515625,0.900787353515625,0.9410400390625,0.9410400390625,0.9410400390625
all,A02,visible_fraction,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,0.5221176147460938,0.9626693725585938,0.8703511664657866,0.7645416259765625,0.7645416259765625,0.7645416259765625,0.8512802124023438,0.8512802124023438,0.8512802124023438,0.885711669921875,0.885711669921875,0.885711669921875,0.900787353515625,0.900787353515625,0.900787353515625,0.9410400390625,0.9410400390625,0.9410400390625
all,A02,visible_fraction,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,0.5221176147460938,0.9626693725585938,0.8726721271422703,0.7669296264648438,0.7669296264648438,0.7669296264648438,0.8524551391601562,0.8524551391601562,0.8524551391601562,0.8865890502929688,0.8865890502929688,0.8865890502929688,0.901397705078125,0.901397705078125,0.901397705078125,0.9467391967773438,0.9467391967773438,0.9467391967773438
all,A02,visible,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,68435.0,126179.0,114078.66809100358,100210.0,100210.0,100210.0,111579.0,111579.0,111579.0,116092.0,116092.0,116092.0,118068.0,118068.0,118068.0,123344.0,123344.0,123344.0
all,A02,visible,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,68435.0,126179.0,114078.66809100358,100210.0,100210.0,100210.0,111579.0,111579.0,111579.0,116092.0,116092.0,116092.0,118068.0,118068.0,118068.0,123344.0,123344.0,123344.0
all,A02,visible,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,68435.0,126179.0,114382.88104879165,100523.0,100523.0,100523.0,111733.0,111733.0,111733.0,116207.0,116207.0,116207.0,118148.0,118148.0,118148.0,124091.0,124091.0,124091.0
all,A02,zero_slot_fraction,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,0.03733062744140625,0.47788238525390625,0.12964883353421341,0.0589599609375,0.0589599609375,0.0589599609375,0.099212646484375,0.099212646484375,0.099212646484375,0.114288330078125,0.114288330078125,0.114288330078125,0.14871978759765625,0.14871978759765625,0.14871978759765625,0.2354583740234375,0.2354583740234375,0.2354583740234375
all,A02,zero_slot_fraction,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,0.03733062744140625,0.47788238525390625,0.12964883353421341,0.0589599609375,0.0589599609375,0.0589599609375,0.099212646484375,0.099212646484375,0.099212646484375,0.114288330078125,0.114288330078125,0.114288330078125,0.14871978759765625,0.14871978759765625,0.14871978759765625,0.2354583740234375,0.2354583740234375,0.2354583740234375
all,A02,zero_slot_fraction,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,0.03733062744140625,0.47788238525390625,0.12732787285772978,0.05326080322265625,0.05326080322265625,0.05326080322265625,0.098602294921875,0.098602294921875,0.098602294921875,0.11341094970703125,0.11341094970703125,0.11341094970703125,0.14754486083984375,0.14754486083984375,0.14754486083984375,0.23307037353515625,0.23307037353515625,0.23307037353515625
all,A02,zero_slots,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,4893.0,62637.0,16993.33190899642,7728.0,7728.0,7728.0,13004.0,13004.0,13004.0,14980.0,14980.0,14980.0,19493.0,19493.0,19493.0,30862.0,30862.0,30862.0
all,A02,zero_slots,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,4893.0,62637.0,16993.33190899642,7728.0,7728.0,7728.0,13004.0,13004.0,13004.0,14980.0,14980.0,14980.0,19493.0,19493.0,19493.0,30862.0,30862.0,30862.0
all,A02,zero_slots,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,4893.0,62637.0,16689.11895120836,6981.0,6981.0,6981.0,12924.0,12924.0,12924.0,14865.0,14865.0,14865.0,19339.0,19339.0,19339.0,30549.0,30549.0,30549.0
all,B01,anomaly_in_range,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,406.0,10.404665665781268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,55.0,55.0,55.0
all,B01,anomaly_in_range,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,406.0,10.404665665781268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,55.0,55.0,55.0
all,B01,anomaly_in_range,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,406.0,12.489534377923858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,71.0,71.0,71.0
all,B01,anomaly,all_frames,all,frame,observation_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,406.0,10.479154636794087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,55.0,55.0,55.0
all,B01,anomaly,all_frames,all,frame,frame_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,406.0,10.479154636794087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,55.0,55.0,55.0
all,B01,anomaly,all_frames,all,frame,sequence_equal,8659,8659,8659,8659,19,0.0,0.0,0.0,406.0,12.56608704651777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,71.0,71.0,71.0
all,B02,anomaly_distance_median,all_frames,all,frame,observation_equal,3545,8659,8659,3545,19,0.5905993763714055,0.5905993763714055,3.506542921066284,112.28325653076172,27.618314686547887,5.665948867797852,5.665948867797852,5.665948867797852,12.404544830322266,12.404544830322266,12.404544830322266,23.78752899169922,23.78752899169922,23.78752899169922,37.44975280761719,37.44975280761719,37.44975280761719,66.51355743408203,66.51355743408203,66.51355743408203
all,B02,anomaly_distance_median,all_frames,all,frame,frame_equal,3545,8659,8659,3545,19,0.5905993763714055,0.5905993763714055,3.506542921066284,112.28325653076172,27.618314686547887,5.665948867797852,5.665948867797852,5.665948867797852,12.404544830322266,12.404544830322266,12.404544830322266,23.78752899169922,23.78752899169922,23.78752899169922,37.44975280761719,37.44975280761719,37.44975280761719,66.51355743408203,66.51355743408203,66.51355743408203
all,B02,anomaly_distance_median,all_frames,all,frame,sequence_equal,3545,8659,8659,3545,19,0.5905993763714055,0.5905993763714055,3.506542921066284,112.28325653076172,27.82706981208314,5.87332820892334,5.87332820892334,5.87332820892334,12.397249221801758,12.397249221801758,12.397249221801758,23.705644607543945,23.705644607543945,23.705644607543945,37.90093994140625,37.90093994140625,37.90093994140625,66.83135986328125,66.83135986328125,66.83135986328125
all,B02,anomaly_in_range_distance_median,all_frames,all,frame,observation_equal,3080,8659,8659,3080,19,0.6443007275666937,0.6443007275666937,3.506542921066284,49.98487091064453,21.936054796986767,5.47628116607666,5.47628116607666,5.47628116607666,11.008723258972168,11.008723258972168,11.008723258972168,20.180889129638672,20.180889129638672,20.180889129638672,31.429105758666992,31.429105758666992,31.429105758666992,43.920143127441406,43.920143127441406,43.920143127441406
all,B02,anomaly_in_range_distance_median,all_frames,all,frame,frame_equal,3080,8659,8659,3080,19,0.6443007275666937,0.6443007275666937,3.506542921066284,49.98487091064453,21.936054796986767,5.47628116607666,5.47628116607666,5.47628116607666,11.008723258972168,11.008723258972168,11.008723258972168,20.180889129638672,20.180889129638672,20.180889129638672,31.429105758666992,31.429105758666992,31.429105758666992,43.920143127441406,43.920143127441406,43.920143127441406
all,B02,anomaly_in_range_distance_median,all_frames,all,frame,sequence_equal,3080,8659,8659,3080,19,0.6443007275666937,0.6443007275666937,3.506542921066284,49.98487091064453,22.115027295057562,5.731844902038574,5.731844902038574,5.731844902038574,11.106722831726074,11.106722831726074,11.106722831726074,20.23468017578125,20.23468017578125,20.23468017578125,31.814205169677734,31.814205169677734,31.814205169677734,44.36387252807617,44.36387252807617,44.36387252807617
all,B02,distance,all_frames,all,anomaly_point,observation_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,3.4950437545776367,112.28325653076172,9.952521914101746,4.417336940765381,4.417336940765381,4.417336940765381,5.517072677612305,5.517072677612305,5.517072677612305,6.760920524597168,6.760920524597168,6.760920524597168,10.624099731445312,10.624099731445312,10.624099731445312,26.641845703125,26.641845703125,26.641845703125
all,B02,distance,all_frames,all,anomaly_point,frame_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,3.4950437545776367,112.28325653076172,27.625163244262257,5.676887035369873,5.676887035369873,5.676887035369873,12.397162437438965,12.397162437438965,12.397162437438965,23.78389549255371,23.78389549255371,23.78389549255371,37.44975280761719,37.44975280761719,37.44975280761719,66.55535125732422,66.55535125732422,66.55535125732422
all,B02,distance,all_frames,all,anomaly_point,sequence_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,3.4950437545776367,112.28325653076172,11.08939469639024,4.80463171005249,4.80463171005249,4.80463171005249,6.05283260345459,6.05283260345459,6.05283260345459,7.530088901519775,7.530088901519775,7.530088901519775,12.007882118225098,12.007882118225098,12.007882118225098,30.046222686767578,30.046222686767578,30.046222686767578
all,B04,azimuth,all_frames,all,anomaly_point,observation_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,-3.141586491325353,3.141589372366686,-0.3340955303728812,-3.0615712687712553,-3.0615712687712553,-3.0615712687712553,-0.3921507992090451,-0.3921507992090451,-0.3921507992090451,-0.05505481374667127,-0.05505481374667127,-0.05505481374667127,0.1476152157251812,0.1476152157251812,0.1476152157251812,2.780105237564199,2.780105237564199,2.780105237564199
all,B04,azimuth,all_frames,all,anomaly_point,frame_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,-3.141586491325353,3.141589372366686,-0.5977119090510009,-3.1045459071407158,-3.1045459071407158,-3.1045459071407158,-2.577032731146794,-2.577032731146794,-2.577032731146794,-0.03033798935930858,-0.03033798935930858,-0.03033798935930858,0.005783927166499341,0.005783927166499341,0.005783927166499341,2.976384842094876,2.976384842094876,2.976384842094876
all,B04,azimuth,all_frames,all,anomaly_point,sequence_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,-3.141586491325353,3.141589372366686,-0.5043770482350416,-3.0556544362523113,-3.0556544362523113,-3.0556544362523113,-0.3983002287378266,-0.3983002287378266,-0.3983002287378266,-0.11006565350548747,-0.11006565350548747,-0.11006565350548747,-0.012219888897843707,-0.012219888897843707,-0.012219888897843707,2.835479857881606,2.835479857881606,2.835479857881606
all,B04,elevation,all_frames,all,anomaly_point,observation_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,-0.368218731047845,0.04756737820647219,-0.2269945801836243,-0.35687614488294556,-0.35687614488294556,-0.35687614488294556,-0.3064532086604128,-0.3064532086604128,-0.3064532086604128,-0.24219447443854789,-0.24219447443854789,-0.24219447443854789,-0.15211426207843073,-0.15211426207843073,-0.15211426207843073,-0.04965767593143996,-0.04965767593143996,-0.04965767593143996
all,B04,elevation,all_frames,all,anomaly_point,frame_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,-0.368218731047845,0.04756737820647219,-0.10041835161870848,-0.310088014987456,-0.310088014987456,-0.310088014987456,-0.15219586982067826,-0.15219586982067826,-0.15219586982067826,-0.07439635367506195,-0.07439635367506195,-0.07439635367506195,-0.019585440469335014,-0.019585440469335014,-0.019585440469335014,0.010032500192809246,0.010032500192809246,0.010032500192809246
all,B04,elevation,all_frames,all,anomaly_point,sequence_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,-0.368218731047845,0.04756737820647219,-0.2135666619684825,-0.35214858909274094,-0.35214858909274094,-0.35214858909274094,-0.28803445502803393,-0.28803445502803393,-0.28803445502803393,-0.23054278028590702,-0.23054278028590702,-0.23054278028590702,-0.1437627930033924,-0.1437627930033924,-0.1437627930033924,-0.03796076777434825,-0.03796076777434825,-0.03796076777434825
all,B04,x,all_frames,all,anomaly_point,observation_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,-110.01634216308594,110.43160247802734,3.109748805446442,-17.392858505249023,-17.392858505249023,-17.392858505249023,-5.132078170776367,-5.132078170776367,-5.132078170776367,4.842259883880615,4.842259883880615,4.842259883880615,7.464150905609131,7.464150905609131,7.464150905609131,19.336557388305664,19.336557388305664,19.336557388305664
all,B04,x,all_frames,all,anomaly_point,frame_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,-110.01634216308594,110.43160247802734,11.618577468527645,-34.56365203857422,-34.56365203857422,-34.56365203857422,-12.92431354522705,-12.92431354522705,-12.92431354522705,11.757804870605469,11.757804870605469,11.757804870605469,32.02665710449219,32.02665710449219,32.02665710449219,65.66792297363281,65.66792297363281,65.66792297363281
all,B04,x,all_frames,all,anomaly_point,sequence_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,-110.01634216308594,110.43160247802734,4.2235366443459235,-17.076730728149414,-17.076730728149414,-17.076730728149414,-5.3336381912231445,-5.3336381912231445,-5.3336381912231445,5.781502723693848,5.781502723693848,5.781502723693848,8.725537300109863,8.725537300109863,8.725537300109863,24.972270965576172,24.972270965576172,24.972270965576172
all,B04,y,all_frames,all,anomaly_point,observation_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,-38.43861770629883,21.876544952392578,-0.3264483613842603,-2.0932397842407227,-2.0932397842407227,-2.0932397842407227,-1.5223387479782104,-1.5223387479782104,-1.5223387479782104,-0.48411306738853455,-0.48411306738853455,-0.48411306738853455,0.8901582360267639,0.8901582360267639,0.8901582360267639,2.2303895950317383,2.2303895950317383,2.2303895950317383
all,B04,y,all_frames,all,anomaly_point,frame_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,-38.43861770629883,21.876544952392578,-1.2163813134663821,-4.257698059082031,-4.257698059082031,-4.257698059082031,-1.5411880016326904,-1.5411880016326904,-1.5411880016326904,-0.6299507021903992,-0.6299507021903992,-0.6299507021903992,0.09428885579109192,0.09428885579109192,0.09428885579109192,1.9283018112182617,1.9283018112182617,1.9283018112182617
all,B04,y,all_frames,all,anomaly_point,sequence_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,-38.43861770629883,21.876544952392578,-0.7201840110522628,-2.131744146347046,-2.131744146347046,-2.131744146347046,-1.6521315574645996,-1.6521315574645996,-1.6521315574645996,-0.8907103538513184,-0.8907103538513184,-0.8907103538513184,-0.11354763060808182,-0.11354763060808182,-0.11354763060808182,1.8936182260513306,1.8936182260513306,1.8936182260513306
all,B04,z,all_frames,all,anomaly_point,observation_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,-5.035055160522461,4.416537761688232,-1.6254960498459672,-2.548794746398926,-2.548794746398926,-2.548794746398926,-1.7851353883743286,-1.7851353883743286,-1.7851353883743286,-1.5787129402160645,-1.5787129402160645,-1.5787129402160645,-1.4141602516174316,-1.4141602516174316,-1.4141602516174316,-1.0278264284133911,-1.0278264284133911,-1.0278264284133911
all,B04,z,all_frames,all,anomaly_point,frame_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,-5.035055160522461,4.416537761688232,-1.3187000211193052,-2.9082329273223877,-2.9082329273223877,-2.9082329273223877,-2.110969305038452,-2.110969305038452,-2.110969305038452,-1.392182469367981,-1.392182469367981,-1.392182469367981,-0.6434140801429749,-0.6434140801429749,-0.6434140801429749,0.6965934634208679,0.6965934634208679,0.6965934634208679
all,B04,z,all_frames,all,anomaly_point,sequence_equal,90739,90739,8659,3545,19,0.0,0.5905993763714055,-5.035055160522461,4.416537761688232,-1.6539375809081094,-2.5728232860565186,-2.5728232860565186,-2.5728232860565186,-1.8526685237884521,-1.8526685237884521,-1.8526685237884521,-1.6048524379730225,-1.6048524379730225,-1.6048524379730225,-1.4627190828323364,-1.4627190828323364,-1.4627190828323364,-0.9696197509765625,-0.9696197509765625,-0.9696197509765625
all,B05,aspect,all_frames,all,instance_frame,observation_equal,1611,4729,8659,1373,19,0.659336011841827,0.8414366555029449,1.0001129519532448,10.070251226673879,1.706950631551241,1.0256238330538896,1.0256238330538896,1.0256238330538896,1.1516133424458366,1.1516133424458366,1.1516133424458366,1.3870520145032728,1.3870520145032728,1.3870520145032728,1.8986297306607418,1.8986297306607418,1.8986297306607418,3.4554275225302655,3.4554275225302655,3.4554275225302655
all,B05,aspect,all_frames,all,instance_frame,frame_equal,1611,4729,8659,1373,19,0.659336011841827,0.8414366555029449,1.0001129519532448,10.070251226673879,1.7491486929106683,1.0258559423111404,1.0258559423111404,1.0258559423111404,1.1574523838769593,1.1574523838769593,1.1574523838769593,1.409149387892009,1.409149387892009,1.409149387892009,1.9729250317127234,1.9729250317127234,1.9729250317127234,3.6573249173019446,3.6573249173019446,3.6573249173019446
all,B05,aspect,all_frames,all,instance_frame,sequence_equal,1611,4729,8659,1373,19,0.659336011841827,0.8414366555029449,1.0001129519532448,10.070251226673879,1.8259330635994595,1.0283558230965308,1.0283558230965308,1.0283558230965308,1.1923263113561147,1.1923263113561147,1.1923263113561147,1.5026526429476914,1.5026526429476914,1.5026526429476914,2.1254808339116025,2.1254808339116025,2.1254808339116025,3.6645452362505573,3.6645452362505573,3.6645452362505573
all,B05,height,all_frames,all,instance_frame,observation_equal,1611,4729,8659,1373,19,0.659336011841827,0.8414366555029449,0.022667288780212402,0.7516943216323853,0.27533589285919197,0.07596635818481445,0.07596635818481445,0.07596635818481445,0.16196954250335693,0.16196954250335693,0.16196954250335693,0.22485291957855225,0.22485291957855225,0.22485291957855225,0.36058270931243896,0.36058270931243896,0.36058270931243896,0.6143810749053955,0.6143810749053955,0.6143810749053955
all,B05,height,all_frames,all,instance_frame,frame_equal,1611,4729,8659,1373,19,0.659336011841827,0.8414366555029449,0.022667288780212402,0.7516943216323853,0.2874852255019322,0.08159732818603516,0.08159732818603516,0.08159732818603516,0.17165768146514893,0.17165768146514893,0.17165768146514893,0.23264074325561523,0.23264074325561523,0.23264074325561523,0.3975180387496948,0.3975180387496948,0.3975180387496948,0.6200040578842163,0.6200040578842163,0.6200040578842163
all,B05,height,all_frames,all,instance_frame,sequence_equal,1611,4729,8659,1373,19,0.659336011841827,0.8414366555029449,0.022667288780212402,0.7516943216323853,0.22307313788944524,0.07007813453674316,0.07007813453674316,0.07007813453674316,0.14332616329193115,0.14332616329193115,0.14332616329193115,0.19634437561035156,0.19634437561035156,0.19634437561035156,0.2664196491241455,0.2664196491241455,0.2664196491241455,0.48832952976226807,0.48832952976226807,0.48832952976226807
all,B05,length,all_frames,all,instance_frame,observation_equal,1611,4729,8659,1373,19,0.659336011841827,0.8414366555029449,0.10682106018066406,3.033903121948242,0.5959420750156238,0.20081686973571777,0.20081686973571777,0.20081686973571777,0.38436882197856903,0.38436882197856903,0.38436882197856903,0.5282454490661621,0.5282454490661621,0.5282454490661621,0.7958759665489197,0.7958759665489197,0.7958759665489197,0.9471361339092255,0.9471361339092255,0.9471361339092255
all,B05,length,all_frames,all,instance_frame,frame_equal,1611,4729,8659,1373,19,0.659336011841827,0.8414366555029449,0.10682106018066406,3.033903121948242,0.6259329626004886,0.26995110511779785,0.26995110511779785,0.26995110511779785,0.40982234477996826,0.40982234477996826,0.40982234477996826,0.5579648017883301,0.5579648017883301,0.5579648017883301,0.8091316223144531,0.8091316223144531,0.8091316223144531,0.9791326522827148,0.9791326522827148,0.9791326522827148
all,B05,length,all_frames,all,instance_frame,sequence_equal,1611,4729,8659,1373,19,0.659336011841827,0.8414366555029449,0.10682106018066406,3.033903121948242,0.5829315692746876,0.22494029998779297,0.22494029998779297,0.22494029998779297,0.36465370655059814,0.36465370655059814,0.36465370655059814,0.4876905679702759,0.4876905679702759,0.4876905679702759,0.688812255859375,0.688812255859375,0.688812255859375,1.2909168601036072,1.2909168601036072,1.2909168601036072
all,B05,visible_instance_count,all_frames,all,frame,observation_equal,8658,8659,8659,8658,19,0.00011548677676406051,0.00011548677676406051,0.0,4.0,0.546084546084546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0
all,B05,visible_instance_count,all_frames,all,frame,frame_equal,8658,8659,8659,8658,19,0.00011548677676406051,0.00011548677676406051,0.0,4.0,0.546084546084546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0
all,B05,visible_instance_count,all_frames,all,frame,sequence_equal,8658,8659,8659,8658,19,0.00011548677676406051,0.00011548677676406051,0.0,4.0,0.5748380831129261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0
