structure_id,semantic,instance_id,frame,returns_all,returns_2p5_50m,range_min_m,range_median_m,range_max_m,range_2p5_50m_median_m,centroid_world_x_m,centroid_world_y_m,centroid_world_z_m,azimuth_lidar_deg,elevation_lidar_deg,azimuth_world_deg,elevation_world_deg,previous_observed_frame,gap_frames,centroid_displacement_m,nn_world_median_m,nn_world_p95_m
206:10:64,10,64,17,14,14,23.89480782,24.66081238,26.46450996,24.66081238,28.42541818,-3.72886616,-0.87654464,-24.53372015,-3.99153558,-10.14752381,-2.53241556,16,1,0.17305765,0.09819932,0.72503301
206:10:64,10,64,18,19,19,23.93861389,24.48331642,25.95628166,24.48331642,28.71342538,-3.52153775,-0.82944522,-25.06318417,-3.96242249,-9.83590088,-2.46550253,17,1,0.35798264,0.48228077,0.84784114
206:10:64,10,64,19,31,31,23.68761444,24.24705505,25.90727997,24.24705505,28.56283221,-3.7189382,-0.91089999,-26.70109718,-4.38323056,-10.63830826,-2.72445876,18,1,0.26130465,0.16784065,0.53114929
206:10:64,10,64,20,34,34,23.26136017,24.08133316,26.61528015,24.08133316,28.65598304,-3.96001459,-0.84013637,-28.32804803,-4.30858922,-11.46086234,-2.59467482,19,1,0.26795969,0.11719167,0.66803355
206:10:64,10,64,21,40,40,23.09461594,24.01630783,26.52627945,24.01630783,28.79867579,-4.02367593,-0.74389338,-29.54440417,-4.02820673,-11.87038275,-2.38933086,20,1,0.18351212,0.11752524,0.4521907
206:10:64,10,64,22,35,35,22.82961655,23.6198101,25.59628105,23.6198101,28.55024125,-4.03425691,-0.82771134,-30.7211124,-4.21510718,-12.31854737,-2.68706642,21,1,0.26240642,0.07869947,0.86965109
206:10:64,10,64,23,35,35,22.60336304,23.51631737,25.26028061,23.51631737,28.55618722,-4.029579,-0.81447061,-31.6549968,-4.22153925,-12.62534819,-2.72673991,22,1,0.01524974,0.1108949,0.30288813
206:10:64,10,64,24,50,50,22.37236214,23.2012291,25.87928009,23.2012291,28.74202826,-3.78310737,-0.84876802,-31.79490061,-4.31149089,-12.26132422,-2.84418039,23,1,0.31058247,0.1532432,0.8872454
206:10:64,10,64,25,46,46,22.13636208,22.99320984,25.23628235,22.99320984,28.65387904,-3.92185209,-0.80976622,-32.97372472,-4.32242263,-12.95943966,-2.81426117,24,1,0.16894237,0.15405913,0.62133805
206:10:64,10,64,26,55,55,21.90909958,22.76961517,25.12780571,22.76961517,28.64121734,-3.79513909,-0.85114767,-33.36422868,-4.4425338,-12.97602082,-2.98275394,25,1,0.13389895,0.04850173,0.31782354
206:10:64,10,64,27,63,63,21.72110367,22.59105873,25.18628311,22.59105873,28.73182576,-3.82603838,-0.87043313,-33.94624324,-4.50759658,-13.29529051,-3.09276237,26,1,0.09765541,0.10399645,0.33144656
206:10:64,10,64,28,53,53,21.55936241,22.36480904,24.99628258,22.36480904,28.71023397,-4.05477815,-0.83828847,-35.04227441,-4.48040343,-14.22751372,-3.06972571,27,1,0.23199433,0.10004625,0.51201419
206:10:64,10,64,29,44,44,21.24585152,22.28533936,24.20000458,22.28533936,28.65512357,-3.96580695,-0.91348409,-35.33579026,-4.80497195,-14.41687711,-3.36415698,28,1,0.12886975,0.20778403,0.83575312
206:10:64,10,64,30,62,62,21.11810303,21.92411804,24.28035927,21.92411804,28.57939442,-3.65224625,-0.92298063,-34.91971702,-4.93299883,-14.0290097,-3.42871158,29,1,0.32271567,0.14414593,0.54543317
206:10:64,10,64,31,61,61,20.83765793,21.42740631,24.52300644,21.42740631,28.51373156,-3.50858444,-0.97645729,-34.82787771,-5.17864086,-14.04812741,-3.66276838,30,1,0.16676355,0.10804352,0.36888847
206:10:64,10,64,32,66,66,20.64565659,21.30223083,24.35500526,21.30223083,28.46331194,-3.69543436,-0.95092327,-35.54981694,-5.14013892,-14.95172339,-3.64838533,31,1,0.19521019,0.07821985,0.45958035
206:10:64,10,64,33,63,63,20.45640755,20.91636276,23.08800697,20.91636276,28.41513849,-3.54441993,-0.99876861,-35.3221077,-5.32655948,-14.9378245,-3.86355198,32,1,0.16557541,0.08315017,0.35662887
206:10:64,10,64,34,62,62,20.21640778,20.99825287,23.91100502,20.99825287,28.50184737,-3.63756565,-1.06433716,-35.49187014,-5.50900247,-15.47604602,-4.10589567,33,1,0.14315653,0.13460276,0.83561562
206:10:64,10,64,35,56,56,20.01640701,20.64010811,23.35400581,20.64010811,28.38463673,-3.521005,-1.07033023,-35.09362222,-5.5836121,-15.63986137,-4.19647655,34,1,0.16541052,0.08607475,0.52215625
206:10:64,10,64,36,66,66,19.82140923,20.33786583,23.09700584,20.33786583,28.30815392,-3.52543381,-1.0625178,-34.84783192,-5.56592202,-16.05370732,-4.2508366,35,1,0.07700823,0.13866132,0.45873275
206:10:64,10,64,37,76,76,19.60540962,20.24453354,23.24228477,20.24453354,28.39542007,-3.43268293,-1.06322197,-34.04814887,-5.38565549,-16.03551181,-4.27808382,36,1,0.12735228,0.10125764,0.53230715
206:10:64,10,64,38,88,88,19.44366074,20.07175827,23.22228432,20.07175827,28.39856351,-3.46379938,-1.06796791,-33.61027255,-5.16547242,-16.41299595,-4.36555035,37,1,0.03163288,0.09930539,0.33964592
206:10:64,10,64,39,79,79,19.27166176,19.91636658,22.9155159,19.91636658,28.47462128,-3.51861722,-1.04669426,-33.11819782,-4.96598323,-16.77263015,-4.38034089,38,1,0.09613713,0.11068945,0.50571579
206:10:64,10,64,40,69,69,19.06966209,19.7501049,22.52951622,19.7501049,28.3571237,-3.45781273,-1.1211959,-32.38183089,-5.24751723,-16.94747577,-4.73073705,39,1,0.15183333,0.14373303,0.70586766
206:10:64,10,64,41,62,62,18.95366096,19.26766014,22.5045166,19.26766014,28.26814583,-3.22278988,-1.2031871,-31.04591826,-5.57173484,-16.58313704,-5.06402073,40,1,0.26433947,0.06327787,0.30309096
206:10:64,10,64,42,73,73,18.80966187,19.48085594,22.31651688,19.48085594,28.49153489,-3.34600693,-1.10273821,-30.4569526,-5.22792137,-16.98217194,-4.72936536,41,1,0.27418077,0.0410249,1.11272312
206:10:64,10,64,43,82,82,18.70541,19.28911209,22.25651741,19.28911209,28.44941627,-3.43202576,-1.06689178,-29.92907808,-5.17280482,-17.46278872,-4.71564431,42,1,0.10226526,0.09075188,0.3434596
206:10:64,10,64,44,74,74,18.53741264,18.99852371,22.20351601,18.99852371,28.36001127,-3.34881996,-1.16902683,-28.89383959,-5.55689108,-17.49108417,-5.09870279,43,1,0.15921063,0.11508537,0.42778546
206:10:64,10,64,45,71,71,18.42941093,18.84814262,22.07751656,18.84814262,28.30421315,-3.33387901,-1.2067513,-27.98954713,-5.70686466,-17.68735032,-5.24288859,44,1,0.06899129,0.08543537,0.33279219
206:10:64,10,64,46,72,72,18.31041145,18.7519989,21.97351837,18.7519989,28.32395519,-3.30583547,-1.20983927,-27.07057548,-5.7854124,-17.7559344,-5.30853658,45,1,0.03443433,0.06300068,0.42250523
206:10:64,10,64,47,98,98,18.16841316,18.65373611,21.96528816,18.65373611,28.22859298,-3.33349662,-1.26101111,-26.34553169,-5.98865127,-18.02104447,-5.51390946,46,1,0.11170339,0.09751849,0.39715394
206:10:64,10,64,48,99,99,18.0744133,18.70285797,21.7715168,18.70285797,28.36640663,-3.41453807,-1.14358193,-25.57788108,-5.62103615,-18.24532521,-5.17023202,47,1,0.19836817,0.07618039,0.56231324
206:10:64,10,64,49,103,103,17.95741463,18.67185974,21.62151909,18.67185974,28.38939547,-3.44046886,-1.16486351,-24.84833578,-5.65772623,-18.41295529,-5.27850879,48,1,0.04066692,0.04324811,0.23526565
206:10:64,10,64,50,115,115,17.85641479,18.59362411,21.44851875,18.59362411,28.31358702,-3.48248521,-1.18366192,-24.29791097,-5.74354236,-18.73927666,-5.41817221,49,1,0.08868865,0.04128758,0.18565233
206:10:64,10,64,51,110,110,17.77641487,18.45851517,21.42251778,18.45851517,28.30681784,-3.40070959,-1.21616986,-23.30786482,-5.84279123,-18.59311368,-5.55583759,50,1,0.08826007,0.04133186,0.25305958
206:10:64,10,64,52,105,105,17.70914459,18.19736862,21.37451744,18.19736862,28.36843797,-3.23894231,-1.23967385,-22.08462279,-5.98399376,-18.20292423,-5.67344254,51,1,0.1746944,0.07084164,0.40443817
206:10:64,10,64,53,95,95,17.62614441,18.23337173,21.41228676,18.23337173,28.51418045,-3.36492205,-1.0947117,-21.67491364,-5.64805958,-18.52673545,-5.22738298,52,1,0.24109291,0.13306409,0.59264558
206:10:64,10,64,54,109,109,17.54290771,18.20736885,21.06528854,18.20736885,28.33243534,-3.42199564,-1.21331743,-21.36445221,-6.18394507,-18.93873028,-5.6622751,53,1,0.22440142,0.14756289,0.55168168
206:10:64,10,64,55,100,100,17.47014427,18.04028511,21.14628792,18.04028511,28.47327775,-3.38400108,-1.12838587,-20.57229193,-5.87695811,-18.76546161,-5.3514998,54,1,0.1688003,0.1253704,0.54108562
206:10:64,10,64,56,114,114,17.38490677,17.94400787,21.03328896,17.94400787,28.39296129,-3.25525939,-1.22979438,-19.76127255,-6.27152605,-18.47826472,-5.73546757,55,1,0.18250709,0.06728322,0.29970757
206:10:64,10,64,57,114,114,17.33690834,18.01729965,20.92028809,18.01729965,28.37862882,-3.46943593,-1.23543011,-19.89307957,-6.31892701,-19.16767871,-5.75190115,56,1,0.21472952,0.09248583,0.35533857
206:10:64,10,64,58,109,109,17.28990936,17.92185974,21.01728821,17.92185974,28.50375793,-3.40641257,-1.11002062,-19.10955399,-5.96198038,-18.91228685,-5.38738015,57,1,0.18803398,0.08949148,0.36796124
206:10:64,10,64,59,115,115,17.20590973,17.72486115,20.91328812,17.72486115,28.43509655,-3.25005125,-1.17539734,-18.25447635,-6.23022178,-18.52048315,-5.6394432,58,1,0.18285885,0.0637968,0.2585081
206:10:64,10,64,60,105,105,17.17990875,17.67914391,20.85028648,17.67914391,28.32934429,-3.26700458,-1.21912221,-17.97307105,-6.44166774,-18.73988901,-5.84009212,59,1,0.11568413,0.06284104,0.31395668
206:10:64,10,64,61,117,117,17.12790871,17.78586006,20.19001007,17.78586006,28.37943535,-3.33820062,-1.23755464,-17.63000385,-6.50082485,-18.88269978,-5.88917229,60,1,0.08898171,0.07739215,0.30062527
206:10:64,10,64,62,132,132,17.06990814,17.70630264,20.81528664,17.70630264,28.49952184,-3.42544976,-1.15071591,-17.27235873,-6.23617217,-19.0768632,-5.60191032,61,1,0.17197134,0.07734842,0.54489662
206:10:64,10,64,63,106,106,17.03091049,17.51816559,19.66201401,17.51816559,28.29552414,-3.26442284,-1.24568776,-16.50481283,-6.6391932,-18.80489671,-5.99673239,62,1,0.2767027,0.08176747,0.54632357
206:10:64,10,64,64,117,117,16.97590828,17.59414291,20.41581535,17.59414291,28.39771265,-3.36593485,-1.20960365,-16.18948322,-6.5165575,-19.01968666,-5.87259175,63,1,0.14848988,0.10394935,0.34207357
206:10:64,10,64,65,118,118,16.92590904,17.49794006,20.75000954,17.49794006,28.43193214,-3.32585385,-1.16586733,-15.48255563,-6.40022845,-18.917139,-5.75072729,64,1,0.06848595,0.08619571,0.357174
206:10:64,10,64,66,126,126,16.82769775,17.46400261,20.71301079,17.46400261,28.43814943,-3.45072694,-1.16880099,-15.20483225,-6.43635827,-19.29223352,-5.75808262,65,1,0.12506218,0.09318789,0.43250955
206:10:64,10,64,67,134,134,16.73469925,17.41250229,20.45800781,17.41250229,28.42504691,-3.37978527,-1.18755445,-14.2932097,-6.57643371,-19.09620595,-5.85925067,66,1,0.07453918,0.04392723,0.29628061
206:10:64,10,64,68,126,126,16.69669724,17.26465607,20.31501198,17.26465607,28.44605407,-3.39074245,-1.14763096,-13.4111938,-6.52212897,-19.11712944,-5.74447286,67,1,0.04642463,0.11519552,0.39958236
206:10:64,10,64,69,144,144,16.58445358,17.29855919,20.25401115,17.29855919,28.42404609,-3.46795962,-1.18391959,-12.66817148,-6.70675891,-19.39060842,-5.93848183,68,1,0.0881119,0.06639375,0.44906824
206:10:64,10,64,70,137,137,16.44445419,17.08766365,19.9650116,17.08766365,28.33271345,-3.31548533,-1.2445089,-11.29235755,-6.93067228,-19.11400328,-6.22465025,69,1,0.18777946,0.03897237,0.27093013
206:10:64,10,64,71,138,138,16.30970001,16.95042038,19.7320118,16.95042038,28.35869382,-3.37285491,-1.19171702,-10.32528572,-6.71454808,-19.29073735,-6.11057911,70,1,0.08217805,0.04009366,0.18379004
206:10:64,10,64,72,159,159,16.21145248,16.80945206,19.88201332,16.80945206,28.42679666,-3.39109682,-1.16794843,-9.05051637,-6.62903753,-19.35427278,-6.04573262,71,1,0.07440235,0.08468351,0.44256836
206:10:64,10,64,73,147,147,16.02869987,16.64691162,19.6090126,16.64691162,28.42031697,-3.47377392,-1.18747737,-8.0311846,-6.76853926,-19.64948235,-6.15452492,72,1,0.08519899,0.08988722,0.33301524
206:10:64,10,64,74,146,146,15.88945484,16.51405907,19.54501534,16.51405907,28.42331709,-3.49463403,-1.15850739,-6.8315324,-6.709675,-19.71719942,-6.13552296,73,1,0.03582464,0.08571639,0.34499317
206:10:64,10,64,75,152,152,15.73745537,16.29830551,19.28601265,16.29830551,28.38475203,-3.42107286,-1.1814331,-5.31062004,-6.87877678,-19.47871471,-6.31745156,74,1,0.0861632,0.05826898,0.27667265
206:10:64,10,64,76,174,174,15.58119202,16.22541046,19.20301437,16.22541046,28.44231961,-3.42792952,-1.17930195,-3.88173761,-6.95872121,-19.44676914,-6.39671722,75,1,0.05801363,0.06347207,0.34531744
206:10:64,10,64,77,170,170,15.41919231,16.10204315,19.4257679,16.10204315,28.45349422,-3.4278472,-1.18391682,-2.50523951,-7.1154852,-19.50219317,-6.44617313,76,1,0.01209031,0.07535483,0.28256319
206:10:64,10,64,78,175,175,15.25494003,15.86515045,18.77576828,15.86515045,28.38970239,-3.43352373,-1.19949155,-1.16518173,-7.33552952,-19.51657579,-6.57492297,77,1,0.06591049,0.06774514,0.28243576
206:10:64,10,64,79,203,203,15.04894161,15.76470184,18.73976898,15.76470184,28.44174534,-3.46415726,-1.17209982,0.2191738,-7.34068872,-19.51536009,-6.54193649,78,1,0.06631131,0.09837904,0.24789165
206:10:64,10,64,80,214,214,14.92094231,15.61845493,18.36877251,15.61845493,28.45556428,-3.47118767,-1.18177176,1.66833247,-7.42350544,-19.31795116,-6.7114118,79,1,0.01827392,0.06031271,0.17175298
206:10:64,10,64,81,207,207,14.73594379,15.38094234,18.73977089,15.38094234,28.45005589,-3.55283116,-1.12521236,2.70963235,-7.22735567,-19.53750862,-6.70880133,80,1,0.09947345,0.0497253,0.29645795
206:10:64,10,64,82,221,221,14.53494358,15.18073273,18.33077049,15.18073273,28.44217253,-3.45695768,-1.14821902,4.35335681,-7.3253878,-19.18066351,-6.94711678,81,1,0.09890995,0.05017527,0.2604783
206:10:64,10,64,83,220,220,14.31794357,14.99206734,18.00501442,14.99206734,28.42969606,-3.48767371,-1.15789231,5.7302025,-7.33939461,-19.22839247,-7.09794708,82,1,0.03453562,0.05522761,0.23085141
206:10:64,10,64,84,229,229,14.13594627,14.90798283,17.77401543,14.90798283,28.49556658,-3.58095284,-1.12338438,6.91738126,-7.05429082,-19.33802507,-6.97567095,83,1,0.11929258,0.08585175,0.22592925
206:10:64,10,64,85,259,259,13.90394592,14.70470524,18.20306396,14.70470524,28.50218594,-3.58343423,-1.11722418,8.32186906,-6.94357993,-19.16436468,-7.0384365,84,1,0.00937664,0.08659122,0.22033279
206:10:64,10,64,86,269,269,13.7159481,14.42691708,17.3592968,14.42691708,28.46863901,-3.5976263,-1.10537764,9.68146904,-6.89140042,-19.01830412,-7.34387402,85,1,0.03830342,0.09182753,0.25133816
206:10:64,10,64,87,289,289,13.49020004,14.18719673,17.17852592,14.18719673,28.42244677,-3.57092924,-1.1260944,11.0936764,-6.61555647,-18.90482858,-7.56688981,86,1,0.0572332,0.06200069,0.19259328
206:10:64,10,64,88,305,305,13.27146435,14.01415539,17.26472282,14.01415539,28.510471,-3.5435519,-1.10766666,12.67929564,-6.1625823,-18.5749296,-7.58382725,87,1,0.09400726,0.06288703,0.20256022
206:10:64,10,64,89,325,325,13.05871201,13.78567696,16.80996895,13.78567696,28.47147383,-3.53913466,-1.14723824,14.02063556,-6.02940695,-18.36846621,-7.69464712,88,1,0.05573331,0.08443772,0.19134626
206:10:64,10,64,90,336,336,12.84646702,13.57730865,16.49496841,13.57730865,28.47153503,-3.52685883,-1.16460563,15.52731559,-6.14241312,-17.92627551,-7.85466086,89,1,0.02126795,0.08564673,0.17893725
206:10:64,10,64,91,366,366,12.65546799,13.39266968,16.28372765,13.39266968,28.49305027,-3.55481369,-1.16142719,16.75032792,-6.34760915,-17.64000964,-8.01738473,90,1,0.03541867,0.0798486,0.19377685
206:10:64,10,64,92,379,379,12.45820618,13.17150211,16.42772484,13.17150211,28.43592544,-3.54513808,-1.17259527,18.06952765,-6.76327815,-17.26325883,-8.26710844,91,1,0.05900499,0.07071867,0.19607532
206:10:64,10,64,93,405,405,12.26574707,13.04316044,15.95753002,13.04316044,28.52970365,-3.56982364,-1.12768911,19.48877786,-6.88209428,-16.85763234,-8.27264212,92,1,0.10686576,0.06860896,0.21273463
206:10:64,10,64,94,416,416,12.02574825,12.81596375,16.17133141,12.81596375,28.54437503,-3.57694047,-1.13016726,20.81568822,-7.08902194,-16.52677776,-8.46487226,93,1,0.01649364,0.07520606,0.17096197
206:10:64,10,64,95,431,431,11.8015089,12.61768246,15.76653004,12.61768246,28.54428771,-3.61272929,-1.09400277,22.07851506,-7.00416154,-16.19041452,-8.44894061,94,1,0.05087944,0.07420299,0.14862836
206:10:64,10,64,96,459,459,11.58495808,12.44378567,15.48653126,12.44378567,28.5785426,-3.62663298,-1.09926141,23.38949985,-7.07949545,-15.69966072,-8.55436898,95,1,0.03734118,0.07248706,0.14865835
206:10:64,10,64,97,485,485,11.36175251,12.17554665,14.98453331,12.17554665,28.55326559,-3.59035897,-1.09370953,24.82232485,-7.28605149,-15.11991139,-8.7341416,96,1,0.04455955,0.06372906,0.16183236
206:10:64,10,64,98,509,509,11.10925579,11.98274803,14.96430206,11.98274803,28.54548855,-3.60495373,-1.09877561,26.25465124,-7.60728595,-14.67864364,-8.91616576,97,1,0.01729608,0.06788606,0.19347693
206:10:64,10,64,99,523,523,10.90900421,11.76216602,14.87582779,11.76216602,28.56189447,-3.63463084,-1.08474131,27.64669775,-7.8910194,-14.27798249,-9.04032324,98,1,0.03669942,0.06068703,0.1645431
206:10:64,10,64,100,555,555,10.69979572,11.57916832,14.71982861,11.57916832,28.59778232,-3.6676227,-1.07078072,28.93865465,-7.83611308,-13.82755377,-9.07478955,99,1,0.05070797,0.05543327,0.14710802
206:10:64,10,64,101,572,572,10.45479774,11.34884071,14.14702702,11.34884071,28.59790601,-3.73122271,-1.07135926,30.14283227,-7.85967007,-13.35655615,-9.15857898,100,1,0.06360276,0.05363696,0.12376414
206:10:64,10,64,102,615,615,10.20155907,11.10125542,14.23763657,11.10125542,28.57571938,-3.7351301,-1.09651164,31.62355091,-8.19224153,-12.55837586,-9.51306821,101,1,0.0337662,0.04900072,0.15722973
206:10:64,10,64,103,656,656,10.00230789,10.89436531,13.95063782,10.89436531,28.5590698,-3.7345615,-1.09534105,33.06392852,-8.46815821,-11.68968269,-9.81737437,102,1,0.01670037,0.04462042,0.13877989
206:10:64,10,64,104,697,697,9.7620554,10.64847946,13.42502975,10.64847946,28.55566697,-3.75889486,-1.06917072,34.32183443,-8.60529498,-10.84887633,-10.00877271,103,1,0.03589677,0.04599424,0.12349321
206:10:64,10,64,105,755,755,9.61361122,10.41548157,13.55363941,10.41548157,28.58088395,-3.76463978,-1.09748727,35.57160624,-8.93045325,-9.96522526,-10.30924599,104,1,0.03835007,0.0505593,0.12954145
206:10:64,10,64,106,820,820,9.3536129,10.18574142,13.0247879,10.18574142,28.57915103,-3.77384568,-1.09317974,36.91913471,-9.26804054,-8.84265452,-10.57097951,105,1,0.0103105,0.04136494,0.12953652
206:10:64,10,64,107,880,880,9.1473484,9.95729542,13.01687622,9.95729542,28.59734664,-3.81224816,-1.07715442,38.01907464,-9.51507062,-7.97642881,-10.79824623,106,1,0.04541631,0.04123772,0.11905871
206:10:64,10,64,108,917,917,8.9321146,9.71376419,12.20979118,9.71376419,28.59767953,-3.82212305,-1.07282625,39.20343956,-9.78316878,-6.92904062,-11.07957865,107,1,0.0107869,0.04435996,0.12266199
206:10:64,10,64,109,947,947,8.6831665,9.50856495,12.52012825,9.50856495,28.60048478,-3.82807871,-1.07817008,40.48615176,-10.08839173,-5.74416985,-11.45546503,108,1,0.00847914,0.04288152,0.12458948
206:10:64,10,64,110,1002,1002,8.48466587,9.29358673,12.20288086,9.29358673,28.62707245,-3.83755905,-1.07204749,41.89723629,-10.26812405,-4.4418314,-11.68399646,109,1,0.02888369,0.04100945,0.11570544
206:10:64,10,64,111,1050,1050,8.2424078,9.06483459,11.89088154,9.06483459,28.66021646,-3.91430475,-1.09805417,42.90234353,-10.63865465,-3.58718832,-12.13937481,110,1,0.0875487,0.04269677,0.11401219
206:10:64,10,64,112,1070,1070,8.06367111,8.8621273,11.51468754,8.8621273,28.65601918,-3.95535056,-1.08870511,44.2230468,-10.80895288,-2.40998781,-12.39824041,111,1,0.0423058,0.04118607,0.11095851
206:10:64,10,64,113,1128,1128,7.8577199,8.67743587,11.35043907,8.67743587,28.69030636,-4.00303677,-1.09156058,45.57413026,-11.17150734,-1.16455213,-12.72920849,112,1,0.05880255,0.04200275,0.12634206
206:10:64,10,64,114,1166,1166,7.67047501,8.45867157,10.79035473,8.45867157,28.73122927,-4.06228557,-1.0907486,46.87340462,-11.52173497,0.06331664,-12.93431972,113,1,0.07201224,0.04297515,0.11868718
206:10:64,10,64,115,1248,1248,7.50124025,8.26260567,10.529356,8.26260567,28.7384208,-4.07650061,-1.09354186,48.63269288,-12.07895415,1.72176128,-13.3541057,114,1,0.01617367,0.04439938,0.11428003
206:10:64,10,64,116,1318,1318,7.27785397,8.02105522,10.23448277,8.02105522,28.72737954,-4.1458919,-1.09812731,50.19517807,-12.40786656,3.07381259,-13.7633623,115,1,0.07041369,0.04052227,0.11982388
206:10:64,10,64,117,1452,1452,7.13254738,7.83992481,9.96148586,7.83992481,28.71381201,-4.14440593,-1.12011536,52.28220271,-12.90870639,4.9355942,-14.3982946,116,1,0.02587973,0.04233613,0.11323804
206:10:64,10,64,118,1502,1502,6.99930429,7.61126995,9.79573154,7.61126995,28.72117104,-4.18269705,-1.12681672,54.31846057,-13.28065989,6.78311941,-14.83344454,117,1,0.03956354,0.03787614,0.11248345
206:10:64,10,64,119,1553,1553,6.84210062,7.49454165,9.64897156,7.49454165,28.72100597,-4.20712924,-1.13429811,56.52352673,-13.77146349,8.84400782,-15.30747187,118,1,0.0255525,0.0361697,0.10892275
206:10:64,10,64,120,1600,1600,6.71162987,7.3492527,9.54397202,7.3492527,28.76222457,-4.31547114,-1.1373813,58.30238112,-14.0893257,10.42317532,-15.56919138,119,1,0.11595881,0.03846052,0.1091923
206:10:64,10,64,121,1634,1634,6.60986567,7.41125202,9.24397469,7.41125202,28.8489493,-4.43595347,-1.11575166,59.88849223,-14.42111202,11.76860021,-15.77052337,120,1,0.1500167,0.03826049,0.11006908
206:10:64,10,64,122,1705,1705,6.50363398,7.42097044,9.33401585,7.42097044,28.93781357,-4.57257997,-1.1151667,61.47369131,-14.73676161,13.18410508,-15.95888619,121,1,0.16298467,0.03508381,0.10972409
206:10:64,10,64,123,1741,1741,6.4507308,7.32879114,9.06327248,7.32879114,29.01825648,-4.70456827,-1.1111736,63.17987033,-15.18313371,14.68465024,-16.24316753,122,1,0.15462186,0.03558189,0.11310578
206:10:64,10,64,124,1894,1894,6.36849356,7.18747807,8.94027328,7.18747807,29.11817637,-4.83260032,-1.0789969,64.83816878,-15.17783318,16.08140447,-16.38387544,123,1,0.16556428,0.03626813,0.11237872
206:10:64,10,64,125,1947,1947,6.32573318,7.07300282,8.77031994,7.07300282,29.23472783,-4.95393755,-1.06259458,66.69627078,-15.19238929,17.76515978,-16.45138987,124,1,0.16904437,0.03408756,0.1202018
206:10:64,10,64,126,2068,2068,6.28895283,6.93151808,8.54102421,6.93151808,29.29304653,-5.0308983,-1.0377393,69.02150722,-15.32314129,19.96592766,-16.51086461,125,1,0.09970864,0.03393492,0.10758759
206:10:64,10,64,127,2149,2149,6.25863934,6.83187485,8.48789501,6.83187485,29.35599081,-5.12169285,-0.99592059,71.27585846,-15.3626872,22.08083211,-16.43728105,126,1,0.1181289,0.03638284,0.11417718
206:10:64,10,64,128,2214,2214,6.29799128,6.69639778,8.27206993,6.69639778,29.43177711,-5.19412033,-0.94242616,73.65455752,-15.29562697,24.33106429,-16.15403898,127,1,0.11769009,0.03250349,0.12964214
206:10:64,10,64,129,2302,2302,6.24605465,6.61147881,8.23840714,6.61147881,29.47120617,-5.19779947,-0.90160595,76.74621726,-15.29566607,27.32264776,-16.01602303,128,1,0.05687245,0.03080862,0.11809084
