划分,序列,原序列总帧数,合成后读取记录总数,异常物体,异常帧号范围,异常点数中位数,插入正常物体,插入正常帧号范围,插入正常点数中位数
训练,scene-0024,40,40,未放置; 预分配 大型垃圾箱 [#32],无,无,未放置; 预分配 自行车 [03e3fc34],无,无
训练,scene-0025,40,40,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,未放置; 预分配 摩托车 [20f0a30b],无,无
训练,scene-0026,39,39,未放置; 预分配 软质袋或袋组 [#27],无,无,未放置; 预分配 汽车 [62fa061e],无,无
训练,scene-0027,40,40,未放置; 预分配 软质袋或袋组 [#26],无,无,未放置; 预分配 摩托车 [31ddb639],无,无
训练,scene-0028,40,40,未放置; 预分配 平盖带轮垃圾桶 [#40],无,无,未放置; 预分配 摩托车 [10628212],无,无
训练,scene-0029,40,80,罩顶垃圾桶 [#37],0-39,80,未放置; 预分配 自行车 [2ba7d7ee],无,无
训练,scene-0030,40,40,未放置; 预分配 带脚轮金属工具箱 [#55],无,无,未放置; 预分配 摩托车 [c11ddb7a],无,无
训练,scene-0031,40,46,软质袋或袋组 [#23],0-2,3,未放置; 预分配 成年行人 [bc67b906],无,无
训练,scene-0032,40,40,未放置; 预分配 软质袋或袋组 [#19],无,无,未放置; 预分配 成年行人 [7a61869c],无,无
训练,scene-0033,40,48,未放置; 预分配 软质袋或袋组 [#27],无,无,自行车 [91af0328],0-4; 6,3
训练,scene-0034,39,47,罩顶垃圾桶 [#37],0-7,8.5,未放置; 预分配 自行车 [92e4fcad],无,无
训练,scene-0041,40,58,软质袋或袋组 [#21],0-10; 13,4.5,未放置; 预分配 汽车 [acbf49b3],无,无
训练,scene-0042,41,52,平盖带轮垃圾桶 [#39],0-1,86.5,摩托车 [b2710614],0-6,20
训练,scene-0043,39,60,开口塑料垃圾桶 [#53],0-6,9,成年行人 [a2c6d17f],0-5; 7,3
训练,scene-0044,40,49,平盖带轮垃圾桶 [#41],0-3,33.5,成年行人 [74a0a8ac],0-2,13
训练,scene-0045,39,90,平盖带轮垃圾桶 [#40],0-15; 18,24,自行车 [5f4e48e9],0-12; 15-16; 20,8.5
训练,scene-0046,39,46,软质袋或袋组 [#20],0-2; 4-6,1.5,未放置; 预分配 汽车 [d3fdc84e],无,无
训练,scene-0047,40,40,未放置; 预分配 软质袋或袋组 [#23],无,无,未放置; 预分配 自行车 [8b42de0f],无,无
训练,scene-0048,40,47,未放置; 预分配 大型垃圾箱 [#32],无,无,自行车 [32b4cf32],35-39,3
训练,scene-0049,39,39,未放置; 预分配 软质袋或袋组 [#25],无,无,未放置; 预分配 汽车 [2f8c4101],无,无
训练,scene-0050,39,39,未放置; 预分配 软质袋或袋组 [#26],无,无,未放置; 预分配 汽车 [c26fc37f],无,无
训练,scene-0051,39,44,街旁小型垃圾桶 [#45],0-2; 5,7.5,成年行人 [df90ba84],0,159
训练,scene-0052,40,60,带脚轮金属工具箱 [#55],0-7,43.5,汽车 [78d2bd23],0-10,88
训练,scene-0053,39,39,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,未放置; 预分配 成年行人 [8bb5895d],无,无
训练,scene-0054,39,49,未放置; 预分配 大型垃圾箱 [#31],无,无,成年行人 [e8361fed],0-5,3
训练,scene-0055,40,56,软质袋或袋组 [#22],23; 25-27,4,成年行人 [69123cbc],34-39,2
训练,scene-0056,41,55,未放置; 预分配 两轮手扶搬运车 [#56],无,无,摩托车 [3ac2accd],29-40,20.5
训练,scene-0057,39,39,未放置; 预分配 开口塑料垃圾桶 [#54],无,无,未放置; 预分配 摩托车 [e9bcfbaa],无,无
训练,scene-0058,39,46,料斗式搬运车 [#58],0-1,29.5,摩托车 [e86f355a],0-4,3
训练,scene-0059,41,82,罩顶垃圾桶 [#38],0-40,94,未放置; 预分配 自行车 [625fa60b],无,无
训练,scene-0060,40,120,软质袋或袋组 [#28],0-39,1,摩托车 [6f5c316c],0-39,116
训练,scene-0061,39,39,未放置; 预分配 软质袋或袋组 [#25],无,无,未放置; 预分配 成年行人 [c453070a],无,无
训练,scene-0062,39,54,软质袋或袋组 [#21],0-2; 4-5,6,摩托车 [d11226b6],0-7,7.5
训练,scene-0063,39,45,街旁小型垃圾桶 [#45],0,29,自行车 [f712d795],0-3,2.5
训练,scene-0064,40,59,料斗式搬运车 [#58],0-6,15,摩托车 [c5d913c8],0-9,14
训练,scene-0065,40,45,软质袋或袋组 [#28],5-7; 9,1,未放置; 预分配 成年行人 [7ab3b9dd],无,无
训练,scene-0066,39,72,带脚轮金属工具箱 [#55],0-23; 29-35,57,未放置; 预分配 摩托车 [746123a9],无,无
训练,scene-0067,40,64,平盖带轮垃圾桶 [#40],16-39,134,未放置; 预分配 汽车 [1427ee2e],无,无
训练,scene-0068,39,76,平盖带轮垃圾桶 [#39],15-36,27,成年行人 [344bf54d],22; 24; 28-38,3
训练,scene-0069,40,40,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,未放置; 预分配 汽车 [f1fab3b8],无,无
训练,scene-0070,40,45,软质袋或袋组 [#20],0-4,4,未放置; 预分配 汽车 [b0164c85],无,无
训练,scene-0071,40,43,未放置; 预分配 软质袋或袋组 [#27],无,无,摩托车 [57d049b9],0-1,9
训练,scene-0072,40,78,开口塑料垃圾桶 [#53],0-34; 37,11,未放置; 预分配 汽车 [31bdd981],无,无
训练,scene-0073,40,58,平盖带轮垃圾桶 [#41],0-4; 7,25,自行车 [9a3b3c1e],0-4; 7,5.5
训练,scene-0074,40,40,未放置; 预分配 软质袋或袋组 [#26],无,无,未放置; 预分配 摩托车 [6119abe8],无,无
训练,scene-0075,39,48,未放置; 预分配 两轮手扶搬运车 [#56],无,无,成年行人 [45d2d6b1],30-38,16
训练,scene-0076,40,65,罩顶垃圾桶 [#38],0-5,12,汽车 [d2d280fc],0-6; 8-9,5
训练,scene-0120,40,76,罩顶垃圾桶 [#37],0-13; 15-18,11,成年行人 [92b722d2],0-9; 11-12,7.5
训练,scene-0121,40,59,开口塑料垃圾桶 [#54],21-33; 35-39,3,未放置; 预分配 自行车 [9d8131e4],无,无
训练,scene-0122,39,61,软质袋或袋组 [#19],0-4; 6,7.5,成年行人 [1d2e4b98],0-3; 5-8; 10,3
训练,scene-0123,40,43,软质袋或袋组 [#23],0-2,2,未放置; 预分配 汽车 [6db8854c],无,无
训练,scene-0124,40,44,软质袋或袋组 [#22],26-27,6,未放置; 预分配 自行车 [5b4603ea],无,无
训练,scene-0125,40,43,未放置; 预分配 大型垃圾箱 [#31],无,无,摩托车 [72d30e12],0-2,138
训练,scene-0126,40,66,未放置; 预分配 大型垃圾箱 [#32],无,无,摩托车 [1f123d2f],0-24,14
训练,scene-0127,40,78,软质袋或袋组 [#21],0-9; 11; 14-15,5,成年行人 [36e7a4a6],0-10; 13-18,12
训练,scene-0128,40,67,平盖带轮垃圾桶 [#40],0-10,21,自行车 [6a6beadb],0-4; 6,2
训练,scene-0129,40,42,未放置; 预分配 软质袋或袋组 [#25],无,无,成年行人 [f57ce92f],0-1,77.5
训练,scene-0130,40,66,平盖带轮垃圾桶 [#41],14; 17-31,26,未放置; 预分配 自行车 [4c245ad7],无,无
训练,scene-0131,40,70,软质袋或袋组 [#20],0-8; 24,2.5,成年行人 [c4eaf6a7],21; 27-28; 34; 36-39,2
训练,scene-0132,40,65,软质袋或袋组 [#19],0-9,4.5,摩托车 [7d803f98],0-5; 7,5
训练,scene-0133,40,67,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,汽车 [4649b29c],0-20,23
训练,scene-0134,40,54,未放置; 预分配 大型垃圾箱 [#32],无,无,自行车 [372104b0],0; 29-37; 39,2
训练,scene-0135,39,50,罩顶垃圾桶 [#38],0-4; 8,20,汽车 [cb6d7176],0,57
训练,scene-0138,40,47,开口塑料垃圾桶 [#54],0-4; 6-7,4,未放置; 预分配 摩托车 [6b2f90e4],无,无
训练,scene-0139,40,49,开口塑料垃圾桶 [#53],0-7,3.5,未放置; 预分配 摩托车 [3f4035ef],无,无
训练,scene-0149,40,77,罩顶垃圾桶 [#37],0-14,8,汽车 [48d25560],0-15; 17,40
训练,scene-0150,39,61,未放置; 预分配 软质袋或袋组 [#26],无,无,汽车 [94e80b2d],10-23,29
训练,scene-0151,40,40,未放置; 预分配 平盖带轮垃圾桶 [#39],无,无,未放置; 预分配 成年行人 [c0db8f4a],无,无
训练,scene-0152,39,53,未放置; 预分配 大型垃圾箱 [#31],无,无,自行车 [9bc3a973],26; 28-36,7
训练,scene-0154,39,39,未放置; 预分配 两轮手扶搬运车 [#56],无,无,未放置; 预分配 汽车 [c5f26ddf],无,无
训练,scene-0155,39,39,未放置; 预分配 带脚轮金属工具箱 [#55],无,无,未放置; 预分配 汽车 [eded0c5f],无,无
训练,scene-0157,40,77,未放置; 预分配 软质袋或袋组 [#27],无,无,摩托车 [2e1665da],3-32; 34; 36-37,43
训练,scene-0158,40,74,料斗式搬运车 [#58],0-28; 30; 38-39,27.5,未放置; 预分配 汽车 [0d8a3b7c],无,无
训练,scene-0159,39,56,软质袋或袋组 [#23],0-16,8,未放置; 预分配 自行车 [12c1f51f],无,无
训练,scene-0160,40,76,街旁小型垃圾桶 [#45],4-39,21,未放置; 预分配 摩托车 [124b22a3],无,无
训练,scene-0161,40,52,软质袋或袋组 [#28],0; 2-3; 10; 12,1,未放置; 预分配 自行车 [36fa14fe],无,无
训练,scene-0162,40,40,未放置; 预分配 软质袋或袋组 [#22],无,无,未放置; 预分配 摩托车 [4f404a37],无,无
训练,scene-0163,40,52,开口塑料垃圾桶 [#54],0-4; 6-7,10,成年行人 [09cb7a45],38-39,3
训练,scene-0164,39,39,未放置; 预分配 带脚轮金属工具箱 [#55],无,无,未放置; 预分配 成年行人 [2d6ea8b1],无,无
训练,scene-0165,40,44,平盖带轮垃圾桶 [#39],0-3,55.5,未放置; 预分配 自行车 [8dfb1e75],无,无
训练,scene-0166,39,52,平盖带轮垃圾桶 [#40],0-4,20,摩托车 [ae5f16e3],0-4,9
训练,scene-0167,40,40,未放置; 预分配 两轮手扶搬运车 [#56],无,无,未放置; 预分配 汽车 [9295209d],无,无
训练,scene-0168,40,40,未放置; 预分配 软质袋或袋组 [#25],无,无,未放置; 预分配 汽车 [5c9e71be],无,无
训练,scene-0170,40,54,软质袋或袋组 [#21],4-7; 9; 13; 15,4,未放置; 预分配 自行车 [daf5f4c2],无,无
训练,scene-0171,40,40,未放置; 预分配 平盖带轮垃圾桶 [#41],无,无,未放置; 预分配 汽车 [c83f0d76],无,无
训练,scene-0172,40,51,软质袋或袋组 [#23],22; 27; 29-33,2,未放置; 预分配 摩托车 [3f20986e],无,无
训练,scene-0173,40,52,街旁小型垃圾桶 [#45],5-16,7,未放置; 预分配 汽车 [d9443ebd],无,无
训练,scene-0174,40,40,未放置; 预分配 软质袋或袋组 [#26],无,无,未放置; 预分配 自行车 [b9cdbe71],无,无
训练,scene-0175,40,40,未放置; 预分配 罩顶垃圾桶 [#37],无,无,未放置; 预分配 自行车 [e0b64e7e],无,无
训练,scene-0176,39,39,未放置; 预分配 大型垃圾箱 [#31],无,无,未放置; 预分配 成年行人 [142e7a14],无,无
训练,scene-0177,40,40,未放置; 预分配 软质袋或袋组 [#28],无,无,未放置; 预分配 摩托车 [0efd1b1f],无,无
训练,scene-0178,39,47,软质袋或袋组 [#22],17; 19-22,4,未放置; 预分配 摩托车 [cbd1e48f],无,无
训练,scene-0179,40,107,软质袋或袋组 [#19],0-1; 4-5; 7-8; 23; 26-35; 39,2.5,汽车 [cbb53cd2],0-3; 5-39,10
训练,scene-0180,39,39,未放置; 预分配 料斗式搬运车 [#58],无,无,未放置; 预分配 成年行人 [fa444ea3],无,无
训练,scene-0181,40,40,未放置; 预分配 大型垃圾箱 [#32],无,无,未放置; 预分配 汽车 [cb7823b1],无,无
训练,scene-0182,40,40,未放置; 预分配 罩顶垃圾桶 [#38],无,无,未放置; 预分配 成年行人 [9f230b87],无,无
训练,scene-0183,40,40,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,未放置; 预分配 自行车 [381c00d8],无,无
训练,scene-0184,40,45,未放置; 预分配 软质袋或袋组 [#27],无,无,自行车 [5feee637],0-2,3
训练,scene-0185,40,63,开口塑料垃圾桶 [#53],0-2; 7-17; 34-36; 38-39,4,未放置; 预分配 汽车 [6153998d],无,无
训练,scene-0187,39,39,未放置; 预分配 软质袋或袋组 [#20],无,无,未放置; 预分配 自行车 [3a291308],无,无
训练,scene-0188,32,71,街旁小型垃圾桶 [#45],0-10; 13-15; 18-19,6,汽车 [961430cb],0-9; 12; 14,1
训练,scene-0190,40,40,未放置; 预分配 软质袋或袋组 [#23],无,无,未放置; 预分配 自行车 [99c9689d],无,无
训练,scene-0191,40,46,软质袋或袋组 [#21],28; 30-34,4.5,未放置; 预分配 成年行人 [ae82ec5d],无,无
训练,scene-0192,40,40,未放置; 预分配 两轮手扶搬运车 [#56],无,无,未放置; 预分配 自行车 [8967165a],无,无
训练,scene-0193,40,40,未放置; 预分配 软质袋或袋组 [#27],无,无,未放置; 预分配 摩托车 [07c804bd],无,无
训练,scene-0194,40,63,开口塑料垃圾桶 [#53],0-5,12.5,自行车 [8acb13a2],0-3; 11; 14,4
训练,scene-0195,40,40,未放置; 预分配 罩顶垃圾桶 [#37],无,无,未放置; 预分配 摩托车 [9edcbec8],无,无
训练,scene-0196,40,40,未放置; 预分配 软质袋或袋组 [#26],无,无,未放置; 预分配 自行车 [a3bb10ee],无,无
训练,scene-0199,40,66,开口塑料垃圾桶 [#54],0-7,14.5,汽车 [f9f45964],35-39,19
训练,scene-0200,39,56,带脚轮金属工具箱 [#55],0-5,23.5,摩托车 [a73d7a70],0-6,17
训练,scene-0202,39,68,平盖带轮垃圾桶 [#39],7-9; 11; 16; 18; 21-38,15,未放置; 预分配 汽车 [75bff6a6],无,无
训练,scene-0203,40,57,软质袋或袋组 [#28],0; 3; 6-7; 11; 17-25,2,未放置; 预分配 摩托车 [4848fe7a],无,无
训练,scene-0204,39,50,罩顶垃圾桶 [#38],19-24; 29,20,未放置; 预分配 自行车 [656b87fc],无,无
训练,scene-0206,39,71,软质袋或袋组 [#19],16-23,5.5,摩托车 [bce02974],18-28; 37,39.5
训练,scene-0207,40,48,软质袋或袋组 [#20],11-16,8,未放置; 预分配 汽车 [fec7c670],无,无
训练,scene-0208,40,80,料斗式搬运车 [#58],0-13; 15-39,35,未放置; 预分配 摩托车 [5de068e9],无,无
训练,scene-0209,39,49,未放置; 预分配 大型垃圾箱 [#31],无,无,摩托车 [45cf3696],0-6; 8,56
训练,scene-0210,40,50,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,自行车 [a0816e8e],0-5,4.5
训练,scene-0211,39,64,平盖带轮垃圾桶 [#40],0-24,94,未放置; 预分配 成年行人 [bd42d669],无,无
训练,scene-0212,40,40,未放置; 预分配 软质袋或袋组 [#25],无,无,未放置; 预分配 汽车 [47ce853d],无,无
训练,scene-0213,39,70,平盖带轮垃圾桶 [#41],0-11,45.5,成年行人 [8f8925fa],0-15; 17,12
训练,scene-0214,39,39,未放置; 预分配 大型垃圾箱 [#32],无,无,未放置; 预分配 汽车 [209d5f37],无,无
训练,scene-0218,40,80,软质袋或袋组 [#22],0-39,6,未放置; 预分配 成年行人 [c8ff5cb5],无,无
训练,scene-0219,39,39,未放置; 预分配 大型垃圾箱 [#32],无,无,未放置; 预分配 成年行人 [6a4481fa],无,无
训练,scene-0220,40,74,软质袋或袋组 [#21],0-4,6,成年行人 [371f8908],20-21; 23-27; 30-39,2
训练,scene-0222,40,47,软质袋或袋组 [#19],0-2; 5,32.5,成年行人 [c910dda7],0-2,20
训练,scene-0224,39,39,未放置; 预分配 罩顶垃圾桶 [#38],无,无,未放置; 预分配 摩托车 [a44e3f16],无,无
训练,scene-0225,40,73,开口塑料垃圾桶 [#54],29; 31-39,10,未放置; 预分配 自行车 [7a462347],无,无
训练,scene-0226,40,80,料斗式搬运车 [#58],0-39,51,未放置; 预分配 汽车 [df018370],无,无
训练,scene-0227,39,39,未放置; 预分配 两轮手扶搬运车 [#56],无,无,未放置; 预分配 摩托车 [8e7e45e8],无,无
训练,scene-0228,40,48,未放置; 预分配 软质袋或袋组 [#25],无,无,自行车 [253eeaed],0-7,4.5
训练,scene-0229,40,53,软质袋或袋组 [#23],0-5,6.5,自行车 [91c7df9a],0; 4,1.5
训练,scene-0230,40,40,未放置; 预分配 平盖带轮垃圾桶 [#39],无,无,未放置; 预分配 自行车 [49970654],无,无
训练,scene-0231,40,80,罩顶垃圾桶 [#37],0-39,37,未放置; 预分配 摩托车 [762fb475],无,无
训练,scene-0232,40,120,开口塑料垃圾桶 [#53],0-39,25,自行车 [ccc00072],0-39,12
训练,scene-0233,40,80,未放置; 预分配 软质袋或袋组 [#27],无,无,自行车 [5b444647],0-39,11
训练,scene-0234,40,40,未放置; 预分配 平盖带轮垃圾桶 [#40],无,无,未放置; 预分配 自行车 [ef00513b],无,无
训练,scene-0235,39,39,未放置; 预分配 带脚轮金属工具箱 [#55],无,无,未放置; 预分配 摩托车 [399b5e79],无,无
训练,scene-0236,40,40,未放置; 预分配 软质袋或袋组 [#20],无,无,未放置; 预分配 汽车 [af2b3b77],无,无
训练,scene-0237,39,39,未放置; 预分配 软质袋或袋组 [#26],无,无,未放置; 预分配 汽车 [90105d3d],无,无
训练,scene-0238,40,40,未放置; 预分配 大型垃圾箱 [#31],无,无,未放置; 预分配 成年行人 [013b83c5],无,无
训练,scene-0239,40,40,未放置; 预分配 街旁小型垃圾桶 [#45],无,无,未放置; 预分配 摩托车 [507a362b],无,无
训练,scene-0240,39,39,未放置; 预分配 软质袋或袋组 [#28],无,无,未放置; 预分配 汽车 [247eec57],无,无
训练,scene-0241,40,40,未放置; 预分配 平盖带轮垃圾桶 [#41],无,无,未放置; 预分配 成年行人 [afce5fc3],无,无
训练,scene-0242,40,40,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,未放置; 预分配 汽车 [42f44ec8],无,无
训练,scene-0243,40,40,未放置; 预分配 软质袋或袋组 [#22],无,无,未放置; 预分配 成年行人 [f81722a6],无,无
训练,scene-0244,40,75,软质袋或袋组 [#20],5-7; 9-39,6,未放置; 预分配 摩托车 [4552905b],无,无
训练,scene-0245,39,47,未放置; 预分配 大型垃圾箱 [#32],无,无,汽车 [46c8b511],0-4,65
训练,scene-0246,40,47,平盖带轮垃圾桶 [#40],0-5,32.5,未放置; 预分配 成年行人 [c1a2e44e],无,无
训练,scene-0247,39,39,未放置; 预分配 带脚轮金属工具箱 [#55],无,无,未放置; 预分配 摩托车 [d0cc6cb7],无,无
训练,scene-0248,40,40,未放置; 预分配 两轮手扶搬运车 [#56],无,无,未放置; 预分配 汽车 [ec23c028],无,无
训练,scene-0249,40,40,未放置; 预分配 开口塑料垃圾桶 [#53],无,无,未放置; 预分配 汽车 [366abe40],无,无
训练,scene-0250,40,49,软质袋或袋组 [#19],31-37,16,未放置; 预分配 汽车 [425d072e],无,无
训练,scene-0251,40,57,罩顶垃圾桶 [#38],0; 2-14; 21,8,未放置; 预分配 摩托车 [e2b5ba90],无,无
训练,scene-0252,40,46,未放置; 预分配 大型垃圾箱 [#31],无,无,成年行人 [b06d8cac],0; 3-5,2.5
训练,scene-0253,40,45,软质袋或袋组 [#23],0-4,2,未放置; 预分配 汽车 [7bbbe624],无,无
训练,scene-0254,40,46,软质袋或袋组 [#28],0-1; 3,1,成年行人 [e3680485],0-1,22.5
训练,scene-0255,40,61,软质袋或袋组 [#21],1-20,6.5,未放置; 预分配 自行车 [8a956117],无,无
训练,scene-0256,39,39,未放置; 预分配 软质袋或袋组 [#26],无,无,未放置; 预分配 成年行人 [deb5aaf4],无,无
训练,scene-0257,40,80,未放置; 预分配 软质袋或袋组 [#27],无,无,成年行人 [fe199544],0-39,4
训练,scene-0258,40,44,街旁小型垃圾桶 [#45],0-3,9.5,未放置; 预分配 成年行人 [d3eceacb],无,无
训练,scene-0259,40,40,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,未放置; 预分配 成年行人 [29f6d84e],无,无
训练,scene-0260,40,72,未放置; 预分配 软质袋或袋组 [#25],无,无,自行车 [a5f6e663],0-4; 7-8; 11-12; 14-16; 18-19; 23-24; 27-39,12
训练,scene-0261,40,54,平盖带轮垃圾桶 [#41],21; 24-27,20,成年行人 [ec4d4028],0-3; 6,11
训练,scene-0262,40,63,平盖带轮垃圾桶 [#39],1-22,28,未放置; 预分配 摩托车 [61c60295],无,无
训练,scene-0263,40,56,罩顶垃圾桶 [#37],0-6,4,自行车 [7a302084],0-2,12
训练,scene-0264,40,45,软质袋或袋组 [#22],0-1; 3; 5,3,未放置; 预分配 摩托车 [cf363ac2],无,无
训练,scene-0283,40,40,未放置; 预分配 料斗式搬运车 [#58],无,无,未放置; 预分配 自行车 [b399ba0a],无,无
训练,scene-0284,39,43,开口塑料垃圾桶 [#54],0-3,54.5,未放置; 预分配 汽车 [33f4abf6],无,无
训练,scene-0285,40,51,软质袋或袋组 [#28],0-1; 3,1,成年行人 [3f647d1a],5-9,4
训练,scene-0286,40,53,软质袋或袋组 [#27],5,1,自行车 [d41bf164],0-1,18.5
训练,scene-0287,40,40,未放置; 预分配 软质袋或袋组 [#25],无,无,未放置; 预分配 摩托车 [dd6f7436],无,无
训练,scene-0288,40,80,街旁小型垃圾桶 [#45],0-39,31,未放置; 预分配 自行车 [7de03ece],无,无
训练,scene-0289,40,45,软质袋或袋组 [#19],16-19,11.5,未放置; 预分配 自行车 [a76f1064],无,无
训练,scene-0290,40,56,料斗式搬运车 [#58],0-12; 17,24,未放置; 预分配 自行车 [eae8de11],无,无
训练,scene-0291,39,53,平盖带轮垃圾桶 [#39],27-38,7.5,未放置; 预分配 摩托车 [b2c149e6],无,无
训练,scene-0292,40,40,未放置; 预分配 软质袋或袋组 [#20],无,无,未放置; 预分配 汽车 [df89812f],无,无
训练,scene-0293,40,40,未放置; 预分配 平盖带轮垃圾桶 [#41],无,无,未放置; 预分配 自行车 [08caa9e5],无,无
训练,scene-0294,39,39,未放置; 预分配 软质袋或袋组 [#21],无,无,未放置; 预分配 自行车 [f0af9c2d],无,无
训练,scene-0295,40,40,未放置; 预分配 大型垃圾箱 [#32],无,无,未放置; 预分配 摩托车 [70fd7ae5],无,无
训练,scene-0296,40,40,未放置; 预分配 软质袋或袋组 [#23],无,无,未放置; 预分配 成年行人 [1e579651],无,无
训练,scene-0297,39,39,未放置; 预分配 大型垃圾箱 [#31],无,无,未放置; 预分配 汽车 [daebe5b5],无,无
训练,scene-0298,39,39,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,未放置; 预分配 摩托车 [e584eb12],无,无
训练,scene-0299,40,40,未放置; 预分配 开口塑料垃圾桶 [#54],无,无,未放置; 预分配 自行车 [01f707a8],无,无
训练,scene-0300,40,49,未放置; 预分配 软质袋或袋组 [#26],无,无,摩托车 [d1c61ff8],2-7; 9,11
训练,scene-0301,40,46,平盖带轮垃圾桶 [#40],0,279,成年行人 [03da828f],0-4,23
训练,scene-0302,40,58,开口塑料垃圾桶 [#53],7-8; 10-11,7.5,摩托车 [fdd3e854],17-20; 22-25,2.5
训练,scene-0303,40,47,罩顶垃圾桶 [#38],0-5,20.5,未放置; 预分配 自行车 [7026212e],无,无
训练,scene-0304,39,39,未放置; 预分配 两轮手扶搬运车 [#56],无,无,未放置; 预分配 汽车 [cb6d7176],无,无
训练,scene-0305,40,60,带脚轮金属工具箱 [#55],20-30,52,自行车 [5feee637],0-2,6
训练,scene-0306,40,55,软质袋或袋组 [#22],23-32; 34,4,未放置; 预分配 摩托车 [dd6f7436],无,无
训练,scene-0315,39,39,未放置; 预分配 罩顶垃圾桶 [#37],无,无,未放置; 预分配 自行车 [daf5f4c2],无,无
训练,scene-0316,39,39,未放置; 预分配 软质袋或袋组 [#26],无,无,未放置; 预分配 汽车 [75bff6a6],无,无
训练,scene-0317,39,75,罩顶垃圾桶 [#37],17-36,12,自行车 [5b444647],0-7; 9,3
训练,scene-0318,39,39,未放置; 预分配 软质袋或袋组 [#21],无,无,未放置; 预分配 摩托车 [fdd3e854],无,无
训练,scene-0321,40,40,未放置; 预分配 平盖带轮垃圾桶 [#41],无,无,未放置; 预分配 摩托车 [e584eb12],无,无
训练,scene-0323,40,40,未放置; 预分配 软质袋或袋组 [#20],无,无,未放置; 预分配 汽车 [425d072e],无,无
训练,scene-0324,40,44,平盖带轮垃圾桶 [#40],0-3,69.5,未放置; 预分配 汽车 [cb7823b1],无,无
训练,scene-0328,39,56,带脚轮金属工具箱 [#55],0; 3-4,46,成年行人 [b06d8cac],0-2; 4; 6,2
训练,scene-0347,39,43,软质袋或袋组 [#23],0-3,2,未放置; 预分配 汽车 [daebe5b5],无,无
训练,scene-0348,40,58,开口塑料垃圾桶 [#54],23-26; 28-39,10.5,未放置; 预分配 自行车 [ef00513b],无,无
训练,scene-0349,39,47,开口塑料垃圾桶 [#53],33-38,3.5,未放置; 预分配 摩托车 [e2b5ba90],无,无
训练,scene-0350,39,39,未放置; 预分配 软质袋或袋组 [#25],无,无,未放置; 预分配 汽车 [d9443ebd],无,无
训练,scene-0351,40,40,未放置; 预分配 街旁小型垃圾桶 [#45],无,无,未放置; 预分配 自行车 [eae8de11],无,无
训练,scene-0352,40,56,未放置; 预分配 平盖带轮垃圾桶 [#39],无,无,成年行人 [74a0a8ac],0-13,7.5
训练,scene-0353,39,39,未放置; 预分配 街旁小型垃圾桶 [#47],无,无,未放置; 预分配 成年行人 [dcd1704e],无,无
训练,scene-0354,39,39,未放置; 预分配 软质袋或袋组 [#28],无,无,未放置; 预分配 成年行人 [dfe53348],无,无
训练,scene-0355,39,39,未放置; 预分配 大型垃圾箱 [#31],无,无,未放置; 预分配 摩托车 [4f404a37],无,无
