aspect,azimuth_gap,azimuth_span,elevation_span,frame,ground_height_median,ground_height_p05,ground_rmse,ground_status,ground_support,height,instance,length,linearity,planarity,points,scattering,segment,sequence,shape_status,source_frame,source_sequence,unique_points,version,width
1.1965969016951243,0.006135923427055712,0.024543710875075675,0.012045582946120383,293,,,,fewer_than_20_ground_returns,1,0.28857743740081787,60001,0.4440450668334961,0.6180242316972847,0.3703632624216945,10,0.01161250588102088,0,000_00,reliable_visible_extent,293,206,10,synthetic/pilot_v2_r2/train/000,0.3710899353027344
,,,,294,,,,fewer_than_20_ground_returns,0,,60001,,,,7,,0,000_00,fewer_than_10_distinct_returns,294,206,7,synthetic/pilot_v2_r2/train/000,
,,,,295,,,,fewer_than_20_ground_returns,0,,60001,,,,6,,0,000_00,fewer_than_10_distinct_returns,295,206,6,synthetic/pilot_v2_r2/train/000,
,,,,296,,,,fewer_than_20_ground_returns,0,,60001,,,,2,,0,000_00,fewer_than_10_distinct_returns,296,206,2,synthetic/pilot_v2_r2/train/000,
,,,,297,,,,fewer_than_20_ground_returns,1,,60001,,,,3,,0,000_00,fewer_than_10_distinct_returns,297,206,3,synthetic/pilot_v2_r2/train/000,
,,,,299,,,,fewer_than_20_ground_returns,0,,60001,,,,2,,0,000_00,fewer_than_10_distinct_returns,299,206,2,synthetic/pilot_v2_r2/train/000,
,,,,300,,,,fewer_than_20_ground_returns,1,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,300,206,1,synthetic/pilot_v2_r2/train/000,
,,,,301,,,,fewer_than_20_ground_returns,3,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,301,206,1,synthetic/pilot_v2_r2/train/000,
,,,,302,,,,fewer_than_20_ground_returns,3,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,302,206,1,synthetic/pilot_v2_r2/train/000,
,,,,303,,,,fewer_than_20_ground_returns,4,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,303,206,1,synthetic/pilot_v2_r2/train/000,
,,,,304,,,,fewer_than_20_ground_returns,2,,60001,,,,2,,0,000_00,fewer_than_10_distinct_returns,304,206,2,synthetic/pilot_v2_r2/train/000,
,,,,305,,,,fewer_than_20_ground_returns,5,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,305,206,1,synthetic/pilot_v2_r2/train/000,
,,,,306,,,,fewer_than_20_ground_returns,7,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,306,206,1,synthetic/pilot_v2_r2/train/000,
,,,,308,,,,fewer_than_20_ground_returns,8,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,308,206,1,synthetic/pilot_v2_r2/train/000,
,,,,309,,,,fewer_than_20_ground_returns,15,,60001,,,,1,,0,000_00,fewer_than_10_distinct_returns,309,206,1,synthetic/pilot_v2_r2/train/000,
,,,,310,,,0.006342837828756545,plane_fit_or_spatial_support_unreliable,21,,60001,,,,2,,0,000_00,fewer_than_10_distinct_returns,310,206,2,synthetic/pilot_v2_r2/train/000,
,,,,311,,,0.0032749284877036594,plane_fit_or_spatial_support_unreliable,21,,60001,,,,3,,0,000_00,fewer_than_10_distinct_returns,311,206,3,synthetic/pilot_v2_r2/train/000,
,,,,312,,,0.0035600716867491143,plane_fit_or_spatial_support_unreliable,27,,60001,,,,2,,0,000_00,fewer_than_10_distinct_returns,312,206,2,synthetic/pilot_v2_r2/train/000,
,,,,313,,,0.003793582946926866,plane_fit_or_spatial_support_unreliable,23,,60001,,,,5,,0,000_00,fewer_than_10_distinct_returns,313,206,5,synthetic/pilot_v2_r2/train/000,
,,,,314,,,0.004455150480617349,plane_fit_or_spatial_support_unreliable,20,,60001,,,,5,,0,000_00,fewer_than_10_distinct_returns,314,206,5,synthetic/pilot_v2_r2/train/000,
,,,,315,,,,fewer_than_20_ground_returns,18,,60001,,,,3,,0,000_00,fewer_than_10_distinct_returns,315,206,3,synthetic/pilot_v2_r2/train/000,
1.0611585059426862,0.005988939589163689,0.01869865676421245,0.01240379227470282,316,,,,fewer_than_20_ground_returns,19,0.27337825298309326,60001,0.3342857360839844,0.5988987373683883,0.32051768704116906,10,0.0805835755904426,0,000_00,reliable_visible_extent,316,206,10,synthetic/pilot_v2_r2/train/000,0.3150196075439453
,,,,317,0.2017991025740229,0.06479089805772112,0.0037026939054991,local_plane_proxy,24,,60001,,,,5,,0,000_00,fewer_than_10_distinct_returns,317,206,5,synthetic/pilot_v2_r2/train/000,
,,,,318,,,0.003331050369716182,plane_fit_or_spatial_support_unreliable,27,,60001,,,,7,,0,000_00,fewer_than_10_distinct_returns,318,206,7,synthetic/pilot_v2_r2/train/000,
,,,,319,0.23344350569043648,0.09740320445341069,0.004348846636455602,local_plane_proxy,23,,60001,,,,9,,0,000_00,fewer_than_10_distinct_returns,319,206,9,synthetic/pilot_v2_r2/train/000,
,,,,320,0.15933928605062952,0.08522747515991122,0.004173696213630969,local_plane_proxy,27,,60001,,,,8,,0,000_00,fewer_than_10_distinct_returns,320,206,8,synthetic/pilot_v2_r2/train/000,
,,,,321,0.2300080257280246,0.10191932662493644,0.004210330595613345,local_plane_proxy,28,,60001,,,,9,,0,000_00,fewer_than_10_distinct_returns,321,206,9,synthetic/pilot_v2_r2/train/000,
1.0221680816062615,0.011489129347326266,0.03759829252832336,0.012397941999334652,322,0.20619910932045948,0.08118558426033015,0.0057322491309786455,local_plane_proxy,31,0.2588161826133728,60001,0.5457592010498047,0.8596872857954241,0.11717879144810608,12,0.023133922756469784,0,000_00,reliable_visible_extent,322,206,12,synthetic/pilot_v2_r2/train/000,0.5339231491088867
,,,,323,0.2449425471540232,0.11979768654486884,0.00474368137123098,local_plane_proxy,33,,60001,,,,9,,0,000_00,fewer_than_10_distinct_returns,323,206,9,synthetic/pilot_v2_r2/train/000,
1.1229387767419141,0.011461061199206424,0.036815521780928506,0.012052160287237192,324,0.1875452685287724,0.10951171326050431,0.0049487710952493035,local_plane_proxy,38,0.24999958276748657,60001,0.5678081512451172,0.8420045474001131,0.1283102774686668,12,0.029685175131220046,0,000_00,reliable_visible_extent,324,206,12,synthetic/pilot_v2_r2/train/000,0.5056447982788086
1.093044850961092,0.005673108733911469,0.019190476779869847,0.01240111219173045,325,0.1843330951189499,0.0514741416682023,0.005207853317964532,local_plane_proxy,36,0.2569160461425781,60001,0.30309391021728516,0.4282290458230994,0.49380570269281704,11,0.07796525148408355,0,000_00,reliable_visible_extent,325,206,11,synthetic/pilot_v2_r2/train/000,0.27729320526123047
1.0746504377695223,0.011489144820586605,0.03681553698514062,0.018495897720243785,326,0.1589122526279838,0.028028961982760437,0.004525775048782249,local_plane_proxy,39,0.3733775019645691,60001,0.5489902496337891,0.752495174409092,0.2289028492713917,15,0.018601976319516274,0,000_00,reliable_visible_extent,326,206,15,synthetic/pilot_v2_r2/train/000,0.5108547210693359
,,,,327,0.2372180361514893,0.11915994267344274,0.004283713197678007,local_plane_proxy,39,,60001,,,,9,,0,000_00,fewer_than_10_distinct_returns,327,206,9,synthetic/pilot_v2_r2/train/000,
1.138338081212882,0.012124840074936749,0.0368155536236392,0.012402371900298324,328,0.2256999801098738,0.10244261429731283,0.004884553886258774,local_plane_proxy,40,0.2568514347076416,60001,0.562098503112793,0.8300015806591337,0.1364110529925636,11,0.03358736634830278,0,000_00,reliable_visible_extent,328,206,11,synthetic/pilot_v2_r2/train/000,0.4937887191772461
,,,,329,0.23171073063096181,0.11856071192382119,0.004234661971095332,local_plane_proxy,48,,60001,,,,8,,0,000_00,fewer_than_10_distinct_returns,329,206,8,synthetic/pilot_v2_r2/train/000,
1.125635822633921,0.011652760139218787,0.03129874387912679,0.011875676496138077,330,0.24153588683953686,0.11554268546129794,0.005597953526652275,local_plane_proxy,44,0.2429029941558838,60001,0.471893310546875,0.8006710496477505,0.11229624425206536,10,0.0870327061001842,0,000_00,reliable_visible_extent,330,206,10,synthetic/pilot_v2_r2/train/000,0.4192237854003906
1.1863089184187272,0.011652754101925678,0.0361964394000891,0.01780034355839176,331,0.18511393246442476,0.06291616352077538,0.004806919140264999,local_plane_proxy,52,0.3542015552520752,60001,0.5428409576416016,0.6423933295544727,0.3237159573209353,14,0.03389071312459202,0,000_00,reliable_visible_extent,331,206,14,synthetic/pilot_v2_r2/train/000,0.45758819580078125
1.1687888625983602,0.011652784167846209,0.03129870627600706,0.012216130110926038,332,0.19036936707805963,0.06659034129846983,0.0039740906666082465,local_plane_proxy,55,0.24271857738494873,60001,0.5064105987548828,0.8013906553964159,0.18668667058879784,14,0.011922674014786267,0,000_00,reliable_visible_extent,332,206,14,synthetic/pilot_v2_r2/train/000,0.43327808380126953
1.104471871890128,0.011652772033797665,0.0368155536697401,0.01779597600102205,333,0.19223249482817972,0.07090594257439944,0.0040659749701966825,local_plane_proxy,48,0.3481985330581665,60001,0.5313320159912109,0.7753381161690721,0.2172705706974528,14,0.0073913131334750306,0,000_00,reliable_visible_extent,333,206,14,synthetic/pilot_v2_r2/train/000,0.48107337951660156
1.2286009199054595,0.011652743310007985,0.031298709078456,0.012213958182269016,334,0.20716068589475478,0.08191503169579124,0.004265772737610855,local_plane_proxy,65,0.23862767219543457,60001,0.4778928756713867,0.7968544642426456,0.19536663052798278,13,0.007778905229371609,0,000_00,reliable_visible_extent,334,206,13,synthetic/pilot_v2_r2/train/000,0.3889732360839844
1.0871960949229282,0.012124310489958767,0.03681555762277533,0.012227988251979557,335,0.22968415407329612,0.11677863841652969,0.004635695314218361,local_plane_proxy,58,0.2473231554031372,60001,0.527618408203125,0.8493272801244308,0.09452046313868044,11,0.05615225673688875,0,000_00,reliable_visible_extent,335,206,11,synthetic/pilot_v2_r2/train/000,0.4853019714355469
1.1599329895785742,0.012124298920699661,0.036963019580920076,0.018673140585095338,336,0.17516385489536002,0.039059348215776765,0.005606839862003581,local_plane_proxy,73,0.36340951919555664,60001,0.5592861175537109,0.7694131281643924,0.2216747556152845,15,0.008912116220322992,0,000_00,reliable_visible_extent,336,206,15,synthetic/pilot_v2_r2/train/000,0.48217105865478516
1.078232935316371,0.012124361307485731,0.04295149282482402,0.018657590610176036,337,0.20231477857205582,0.0665248477915816,0.006201053578765182,local_plane_proxy,61,0.3508181571960449,60001,0.5982561111450195,0.7863738537144247,0.1990364644971775,15,0.014589681788397781,0,000_00,reliable_visible_extent,337,206,15,synthetic/pilot_v2_r2/train/000,0.5548486709594727
1.0172393105752529,0.012124323674955306,0.03684065736405717,0.012399564774476346,338,0.2131305351152054,0.08063543504660836,0.005326351589931578,local_plane_proxy,79,0.2457672357559204,60001,0.5255374908447266,0.8353319518779271,0.1450718400488042,16,0.01959620807326873,0,000_00,reliable_visible_extent,338,206,16,synthetic/pilot_v2_r2/train/000,0.5166311264038086
1.1907793652755947,0.012124353103352026,0.02456882946149186,0.012406667555704742,339,0.22080056108191126,0.09500503632685653,0.0044483970875751596,local_plane_proxy,62,0.24932610988616943,60001,0.38581180572509766,0.7274275530320827,0.2060411760481221,11,0.06653127091979517,0,000_00,reliable_visible_extent,339,206,11,synthetic/pilot_v2_r2/train/000,0.32399940490722656
1.0463063813124545,0.01224669387282229,0.03684067132923108,0.012401767313553677,340,0.2190736239947252,0.09288746336303527,0.005756133210913894,local_plane_proxy,71,0.2445824146270752,60001,0.5249443054199219,0.8508397965723253,0.12656274633412795,12,0.02259745709354671,0,000_00,reliable_visible_extent,340,206,12,synthetic/pilot_v2_r2/train/000,0.5017118453979492
1.1329826897203847,0.006258286234398613,0.03684064421874833,0.018663072520003293,341,0.2230445358922294,0.09376787341080894,0.005090601050296436,local_plane_proxy,71,0.34790849685668945,60001,0.5404891967773438,0.7586268202561318,0.1952972834257743,16,0.04607589631809382,0,000_00,reliable_visible_extent,341,206,16,synthetic/pilot_v2_r2/train/000,0.4770498275756836
1.1800337398516851,0.012124383368499525,0.02469122623775455,0.012389757554604072,342,0.21414218571591004,0.08609755824678186,0.004922734383665179,local_plane_proxy,67,0.23343658447265625,60001,0.38424110412597656,0.7309922194269663,0.26103293203384603,12,0.00797484853918762,0,000_00,reliable_visible_extent,342,206,12,synthetic/pilot_v2_r2/train/000,0.3256187438964844
1.132560224609933,0.012246735048360602,0.042976562624354564,0.018659899733656657,343,0.21507266904857336,0.09437279919863747,0.004718446698338776,local_plane_proxy,67,0.34243273735046387,60001,0.6047487258911133,0.8237987081245769,0.1256390519736534,14,0.05056223990176965,0,000_00,reliable_visible_extent,343,206,14,synthetic/pilot_v2_r2/train/000,0.533966064453125
1.1729562460687937,0.012124364891376804,0.0368155255827709,0.012387000589831526,344,0.21750611761420746,0.09277230973008495,0.005682254977384858,local_plane_proxy,73,0.2291872501373291,60001,0.5317497253417969,0.8688092159565495,0.12437206945964362,13,0.006818714583806888,0,000_00,reliable_visible_extent,344,206,13,synthetic/pilot_v2_r2/train/000,0.4533414840698242
1.1751882244238914,0.0062583063012116025,0.04297664869243967,0.01799206159390332,345,0.1671355755109909,0.009261042007850051,0.00493687091975754,local_plane_proxy,82,0.3456624746322632,60001,0.6125497817993164,0.82540435996875,0.14647931215041532,16,0.028116327880834756,0,000_00,reliable_visible_extent,345,206,16,synthetic/pilot_v2_r2/train/000,0.521235466003418
1.151858756805245,0.01224672189412368,0.03684064937894682,0.012399239024824149,346,0.2218522371293392,0.10175669939596932,0.005107925478743822,local_plane_proxy,74,0.23536312580108643,60001,0.5314731597900391,0.8601304605252345,0.12905406924788573,12,0.01081547022687976,0,000_00,reliable_visible_extent,346,206,12,synthetic/pilot_v2_r2/train/000,0.46140480041503906
1.2585675131118217,0.01212434920268668,0.036840683868456736,0.017972898888845082,347,0.22080903632314774,0.06712756309982934,0.004473144067475103,local_plane_proxy,69,0.3293302059173584,60001,0.5522184371948242,0.7984197319688937,0.19417473468541815,14,0.00740553334568823,0,000_00,reliable_visible_extent,347,206,14,synthetic/pilot_v2_r2/train/000,0.4387674331665039
1.1567128293902673,0.01224669676242518,0.03684066964353061,0.02425180753897413,348,0.22812217063381757,0.07612471431449336,0.004729733478746919,local_plane_proxy,75,0.440140962600708,60001,0.5276346206665039,0.676683363880836,0.29957698440346303,16,0.023739651715700926,0,000_00,reliable_visible_extent,348,206,16,synthetic/pilot_v2_r2/train/000,0.4561500549316406
1.0995682610423179,0.00611079931574432,0.036840653269628376,0.017992543901852398,349,0.22048891579891683,0.014683108912264388,0.004752497761577719,local_plane_proxy,78,0.3386298418045044,60001,0.5120019912719727,0.7434422631637756,0.2129340113717335,20,0.04362372546449091,0,000_00,reliable_visible_extent,349,206,20,synthetic/pilot_v2_r2/train/000,0.4656391143798828
1.2099418938074165,0.012246712682276728,0.036840676670301775,0.017978740834578788,350,0.1324180823257204,0.02497674421825029,0.005497960275909843,local_plane_proxy,76,0.3275015354156494,60001,0.5331954956054688,0.8036872655701334,0.18871967754799304,13,0.007593056881873501,0,000_00,reliable_visible_extent,350,206,13,synthetic/pilot_v2_r2/train/000,0.44067859649658203
1.2238073529300952,0.011772111658612916,0.0429765911548019,0.017988986896245465,351,0.15348247689652883,0.04279942408889661,0.004623106695730388,local_plane_proxy,69,0.3326195478439331,60001,0.6195459365844727,0.8389184707980643,0.14241933971523352,17,0.018662189486702202,0,000_00,reliable_visible_extent,351,206,17,synthetic/pilot_v2_r2/train/000,0.5062446594238281
1.1066772330487615,0.006110797119475375,0.031179374605461163,0.017977072735592292,352,0.17420972594258077,0.06167468355810315,0.00473582698216159,local_plane_proxy,73,0.3229339122772217,60001,0.43948841094970703,0.7184510128558317,0.2647847850720221,17,0.01676420207214628,0,000_00,reliable_visible_extent,352,206,17,synthetic/pilot_v2_r2/train/000,0.3971242904663086
1.1527980749366855,0.011797236618861118,0.04295148902125767,0.017968773756960307,353,0.1891145436491477,0.08799270800667584,0.004332832052633942,local_plane_proxy,79,0.31646645069122314,60001,0.5747499465942383,0.795460804292109,0.19977867501710742,17,0.004760520690783611,0,000_00,reliable_visible_extent,353,206,17,synthetic/pilot_v2_r2/train/000,0.4985694885253906
1.2763457829212694,0.011649726891772905,0.03731530242632264,0.01798771758337256,354,0.1919714660160926,0.08503611918771248,0.004770119878490996,local_plane_proxy,77,0.32669806480407715,60001,0.5345182418823242,0.8302258301115291,0.14159632943152906,16,0.028177840456941872,0,000_00,reliable_visible_extent,354,206,16,synthetic/pilot_v2_r2/train/000,0.41878795623779297
1.1760079644160537,0.011772115533669414,0.03117935699906127,0.017974282468484093,355,0.185250510215072,0.07762778022670247,0.0047776306298269984,local_plane_proxy,66,0.3152886629104614,60001,0.43822383880615234,0.7417214420947426,0.24213921316004525,16,0.016139344745212236,0,000_00,reliable_visible_extent,355,206,16,synthetic/pilot_v2_r2/train/000,0.3726367950439453
1.1863126659501833,0.011772145438352921,0.04295148077723265,0.01797026627061797,356,0.1867285312569893,0.08560916093416199,0.004570555902669135,local_plane_proxy,67,0.31143414974212646,60001,0.5726652145385742,0.8110412683092416,0.18383160643766738,16,0.005127125253090947,0,000_00,reliable_visible_extent,356,206,16,synthetic/pilot_v2_r2/train/000,0.48272705078125
1.2204220293906392,0.011772148513432112,0.04345120565901084,0.018348908504185885,357,0.1624000614514176,0.0056032408323057675,0.00404509816127859,local_plane_proxy,69,0.3335617780685425,60001,0.5995521545410156,0.7792737039201891,0.19196142808809236,18,0.028764867991718544,0,000_00,reliable_visible_extent,357,206,18,synthetic/pilot_v2_r2/train/000,0.49126625061035156
1.3266101194415876,0.011472460270402385,0.043451194100553536,0.0183465740662358,358,0.15718131459364748,0.03943440747734907,0.0041151997009338855,local_plane_proxy,71,0.32990944385528564,60001,0.6212348937988281,0.8504842110138495,0.1340190988693769,20,0.015496690116773612,0,000_00,reliable_visible_extent,358,206,20,synthetic/pilot_v2_r2/train/000,0.46828746795654297
1.2780787013142239,0.0056362363774408175,0.03147899208740412,0.018341601778976896,359,0.18127186848720767,0.06701137687776701,0.003523371110811534,local_plane_proxy,72,0.32424497604370117,60001,0.4486980438232422,0.7019549089444622,0.21346849857942862,19,0.08457659247610916,0,000_00,reliable_visible_extent,359,206,19,synthetic/pilot_v2_r2/train/000,0.3510723114013672
1.224719730157175,0.011472515104897885,0.04375080936354436,0.018305729780751442,360,0.21000127689697146,0.09890585009338575,0.0046780940425758385,local_plane_proxy,73,0.3004744052886963,60001,0.5841588973999023,0.835091932585993,0.14384670390076132,19,0.021061363513245748,0,000_00,reliable_visible_extent,360,206,19,synthetic/pilot_v2_r2/train/000,0.4769735336303711
1.2841673949285304,0.011472506005647087,0.03761486692796723,0.024244321377255545,361,0.22728438716838262,0.030769029861247466,0.004122581390302835,local_plane_proxy,66,0.40101850032806396,60001,0.5311193466186523,0.7227915384138914,0.26696429495747737,20,0.01024416662863109,0,000_00,reliable_visible_extent,361,206,20,synthetic/pilot_v2_r2/train/000,0.4135904312133789
1.2339831560459893,0.011472528866904641,0.0490873751055636,0.017820135030684234,362,0.1527613898058322,0.05336112435082304,0.0037031166707742745,local_plane_proxy,64,0.30989646911621094,60001,0.6512899398803711,0.8523581230890928,0.11886309797229662,18,0.028778778938610566,0,000_00,reliable_visible_extent,362,206,18,synthetic/pilot_v2_r2/train/000,0.5277948379516602
1.2589364467264632,0.0058120321057534285,0.042951486450494514,0.01780219881712458,363,0.16863906329250455,0.07165480107763685,0.003433816716402228,local_plane_proxy,73,0.29683244228363037,60001,0.563532829284668,0.8500089329412891,0.1474234134920867,19,0.002567653566624151,0,000_00,reliable_visible_extent,363,206,19,synthetic/pilot_v2_r2/train/000,0.44762611389160156
1.3620659508964834,0.006611338256944044,0.04295144614035973,0.01782858827058577,364,,,0.0038345225493859603,plane_fit_or_spatial_support_unreliable,72,0.31065523624420166,60001,0.5869007110595703,0.8408564259469478,0.14611676974983084,17,0.013026804303221446,0,000_00,reliable_visible_extent,364,206,17,synthetic/pilot_v2_r2/train/000,0.4308900833129883
1.4385212107445056,0.011472513909357995,0.042951485342486606,0.024096572059857352,365,,,0.00335940355279557,plane_fit_or_spatial_support_unreliable,69,0.4006524085998535,60001,0.6039361953735352,0.8117650550095573,0.15214078828565827,18,0.036094156704784476,0,000_00,reliable_visible_extent,365,206,18,synthetic/pilot_v2_r2/train/000,0.4198312759399414
1.4907816145644246,0.006135881103103591,0.042951455479739664,0.024090822075987242,366,0.2267149354538034,0.11903787990772192,0.0037366913101351943,local_plane_proxy,68,0.3931396007537842,60001,0.6148242950439453,0.8419437227495973,0.1220077998711099,19,0.036048477379292766,0,000_00,reliable_visible_extent,366,206,19,synthetic/pilot_v2_r2/train/000,0.4124174118041992
1.5126078626071633,0.011947881750568268,0.042951462847950594,0.012243329732226055,367,0.20854541815115446,0.06689900612790638,0.005447538097897618,local_plane_proxy,69,0.21385467052459717,60001,0.6188735961914062,0.9178917146810072,0.08038926525265153,14,0.0017190200663413484,0,000_00,reliable_visible_extent,367,206,14,synthetic/pilot_v2_r2/train/000,0.40914344787597656
1.541012953739739,0.011947879732999267,0.036815577564611957,0.012248473023655906,368,,,0.004482268507234735,plane_fit_or_spatial_support_unreliable,67,0.21550440788269043,60001,0.5426397323608398,0.9115702027390985,0.08734555816923491,12,0.001084239091666598,0,000_00,reliable_visible_extent,368,206,12,synthetic/pilot_v2_r2/train/000,0.35213184356689453
1.266990791443021,0.012398164421314806,0.04307777123053569,0.01851390219950111,369,,,0.0036642254071734565,plane_fit_or_spatial_support_unreliable,57,0.3005404472351074,60001,0.5687494277954102,0.8280072769039036,0.16075194143666052,13,0.011240781659435869,0,000_00,reliable_visible_extent,369,206,13,synthetic/pilot_v2_r2/train/000,0.4488978385925293
