structure_id,semantic,instance_id,frame,returns_all,returns_2p5_50m,range_all_m_min,range_all_m_median,range_all_m_max,range_valid_m_min,range_valid_m_median,range_valid_m_max,intensity_valid_min,intensity_valid_median,intensity_valid_max,azimuth_deg,observed_centroid_world_x_m,observed_centroid_world_y_m,observed_centroid_world_z_m,previous_observed_frame,gap_frames,nn_world_median_m,nn_world_p95_m
206:10:100,10,100,17,73,73,24.102006912231445,24.43551254272461,26.53894805908203,24.102006912231445,24.43551254272461,26.53894805908203,0.0057142856530845165,0.03228571265935898,1.2068570852279663,169.8095860405043,-20.258333013759675,-1.1668406794672477,-1.5274819459340117,16,1,0.03273016264401528,0.23833746944409243
206:10:100,10,100,18,71,71,24.345760345458984,24.690006256103516,26.381946563720703,24.345760345458984,24.690006256103516,26.381946563720703,0.004000000189989805,0.03171428665518761,1.4248571395874023,168.9784600799815,-20.270084908713866,-1.1150321375688232,-1.5130158172264474,17,1,0.026531919491117585,0.2111183194015129
206:10:100,10,100,19,76,76,24.5730037689209,25.018136978149414,27.01722526550293,24.5730037689209,25.018136978149414,27.01722526550293,0.006571428384631872,0.027285713702440262,1.5054285526275635,168.12943876741068,-20.326861043661633,-1.0656150312442498,-1.504259443779924,18,1,0.05845092577776864,0.2811974821766951
206:10:100,10,100,20,81,81,24.81200408935547,25.239561080932617,26.792951583862305,24.81200408935547,25.239561080932617,26.792951583862305,0.004000000189989805,0.02428571507334709,1.434000015258789,167.49728673854503,-20.32076327916008,-1.0918047604070793,-1.4705357018243967,19,1,0.03291556114042916,0.17347705787377865
206:10:100,10,100,21,64,64,25.069005966186523,25.39163589477539,27.555950164794922,25.069005966186523,25.39163589477539,27.555950164794922,0.009142857044935226,0.032428570091724396,1.136285662651062,167.01486341648507,-20.235003335648,-1.166511934275014,-1.5285782087877966,20,1,0.07813897451255232,0.30568022798195105
206:10:100,10,100,22,60,60,25.326759338378906,25.645160675048828,27.859445571899414,25.326759338378906,25.645160675048828,27.859445571899414,0.006285714451223612,0.02800000086426735,0.7382857203483582,166.58816410079086,-20.189094660974934,-1.242743164329259,-1.5611410160354455,21,1,0.09121548886785713,0.2959949169914442
206:10:100,10,100,23,66,66,25.54475975036621,25.935142517089844,27.54494857788086,25.54475975036621,25.935142517089844,27.54494857788086,0.00685714278370142,0.025142857804894447,1.0479999780654907,165.62221200150032,-20.254543632141278,-1.0336653037122172,-1.5315244421970031,22,1,0.09924994529253145,0.6137425881387979
206:10:100,10,100,24,67,67,25.80575942993164,26.2030029296875,27.848949432373047,25.80575942993164,26.2030029296875,27.848949432373047,0.0037142857909202576,0.021714285016059875,1.3482856750488281,165.13871903251746,-20.32855901755492,-0.9846095531060887,-1.4982402837224569,23,1,0.0359043690389413,0.1773295241381969
206:10:100,10,100,25,65,65,26.02676010131836,26.40755844116211,28.021947860717773,26.02676010131836,26.40755844116211,28.021947860717773,0.0051428573206067085,0.023714285343885422,1.2619999647140503,164.94388488440657,-20.235259672459847,-1.047839896003678,-1.5416564344637038,24,1,0.04352492369687859,0.20249071225932042
206:10:100,10,100,26,57,57,26.282758712768555,26.585309982299805,28.157224655151367,26.282758712768555,26.585309982299805,28.157224655151367,0.003142857225611806,0.024857142940163612,0.6677142977714539,164.53150132848046,-20.23317983933398,-0.9600564664679466,-1.5209254055943997,25,1,0.07845001155911012,0.22095786992485178
206:10:100,10,100,27,61,61,26.50975799560547,26.88431167602539,28.536949157714844,26.50975799560547,26.88431167602539,28.536949157714844,0.006285714451223612,0.024000000208616257,0.8988571166992188,164.52917493958506,-20.282239890795623,-1.0379587066797131,-1.544293920448695,26,1,0.08645773655829907,0.20711916178490142
206:10:100,10,100,28,54,54,26.650279998779297,27.09793472290039,28.676708221435547,26.650279998779297,27.09793472290039,28.676708221435547,0.005428571254014969,0.026571428403258324,0.75342857837677,164.5189152782901,-20.205766123222674,-1.038514208112659,-1.5576715801170986,27,1,0.047510129896210763,0.21972780254645669
206:10:100,10,100,29,54,54,26.991756439208984,27.35015869140625,29.468706130981445,26.991756439208984,27.35015869140625,29.468706130981445,0.003142857225611806,0.023000000044703484,0.9925714135169983,164.38760845143904,-20.330519502372628,-0.9710619307324914,-1.5297119768967564,28,1,0.040867404417755215,0.20653206753079698
206:10:100,10,100,30,58,58,27.241756439208984,27.649017333984375,29.266948699951172,27.241756439208984,27.649017333984375,29.266948699951172,0.004571428522467613,0.01914285682141781,0.8339999914169312,164.51087871176392,-20.306231664030648,-0.9670388450319846,-1.5151680303350774,29,1,0.09039316322380109,0.22201197239163653
206:10:100,10,100,31,49,49,27.47975730895996,27.80655860900879,29.431949615478516,27.47975730895996,27.80655860900879,29.431949615478516,0.006000000052154064,0.026000000536441803,0.6639999747276306,165.0855089045648,-20.182481473829736,-1.1310071149475225,-1.5714316376587223,30,1,0.09376822822011352,0.24046307106743284
206:10:100,10,100,32,47,47,27.70775604248047,28.02851104736328,29.597705841064453,27.70775604248047,28.02851104736328,29.597705841064453,0.004857142921537161,0.02199999988079071,0.6468571424484253,165.46954955725633,-20.14520201274708,-1.1515914013075854,-1.5890223473021972,31,1,0.04811673298089294,0.23876122067175784
206:10:100,10,100,33,49,49,27.94975471496582,28.26355743408203,29.884706497192383,27.94975471496582,28.26355743408203,29.884706497192383,0.00342857139185071,0.024857142940163612,0.6708571314811707,165.5010845826677,-20.184771907916446,-1.0255217589687735,-1.5499851932845783,32,1,0.05177874125626509,0.2579101440107054
206:10:100,10,100,34,48,48,28.1557559967041,28.535533905029297,30.127702713012695,28.1557559967041,28.535533905029297,30.127702713012695,0.004285714123398066,0.02442857250571251,1.2879999876022339,166.18909673990166,-20.171825880723095,-1.1462939371734115,-1.5548446525789388,33,1,0.09525435783130629,0.27053298652765073
206:10:100,10,100,35,42,42,28.43175506591797,28.72541618347168,30.37470245361328,28.43175506591797,28.72541618347168,30.37470245361328,0.00685714278370142,0.027285713702440262,1.121142864227295,166.6479695294135,-20.12622863618609,-1.046077162383606,-1.5729043925117083,34,1,0.07580227850931523,0.3262987597862542
206:10:100,10,100,36,50,50,28.655553817749023,29.035655975341797,30.609703063964844,28.655553817749023,29.035655975341797,30.609703063964844,0.0020000000949949026,0.023000000044703484,0.49885714054107666,166.9583025263392,-20.318533098495664,-0.8581647151990122,-1.4610351101336696,35,1,0.11201501785954479,0.7793829947712947
206:10:100,10,100,37,46,46,28.891557693481445,29.156902313232422,30.46004867553711,28.891557693481445,29.156902313232422,30.46004867553711,0.004285714123398066,0.023428570479154587,1.2611428499221802,168.20604798735002,-20.168165148225526,-1.0592144784500928,-1.602130240022773,36,1,0.11868137387129746,0.7501931193062831
206:10:100,10,100,38,42,42,29.07331085205078,29.39205551147461,31.093276977539062,29.07331085205078,29.39205551147461,31.093276977539062,0.0037142857909202576,0.02271428517997265,0.8759999871253967,168.97183110157027,-20.188943007736867,-0.9964250669461473,-1.6110711028380065,37,1,0.11508473828122714,0.2507465191289757
206:10:100,10,100,39,50,50,29.311307907104492,29.62517738342285,31.285276412963867,29.311307907104492,29.62517738342285,31.285276412963867,0.003142857225611806,0.020999999716877937,0.5071428418159485,169.41092832355778,-20.365467027123046,-0.7612970507738557,-1.5056408805381012,38,1,0.13378407698094835,0.5847351266911098
206:10:100,10,100,40,41,41,29.485050201416016,29.76304817199707,31.578277587890625,29.485050201416016,29.76304817199707,31.578277587890625,0.003142857225611806,0.02428571507334709,0.3814285695552826,170.8983341580467,-20.1897367347365,-1.0200448135342894,-1.6270355983939342,39,1,0.07445658057708862,0.9617331043967294
206:10:100,10,100,41,45,45,29.6903076171875,29.95555305480957,31.737276077270508,29.6903076171875,29.95555305480957,31.737276077270508,0.0028571428265422583,0.018857141956686974,0.2931428551673889,171.76330579540735,-20.260696895361473,-0.9627021924290757,-1.601741788503731,40,1,0.06260221689156234,0.2148768019013523
206:10:100,10,100,42,41,41,29.7475528717041,30.126049041748047,31.891996383666992,29.7475528717041,30.126049041748047,31.891996383666992,0.004000000189989805,0.021714285016059875,0.39085713028907776,172.81142066338586,-20.191838178402605,-0.968330438791561,-1.6368849195704749,41,1,0.054231925150050764,0.3196373487089207
206:10:100,10,100,43,40,40,30.000049591064453,30.344425201416016,32.030277252197266,30.000049591064453,30.344425201416016,32.030277252197266,0.004857142921537161,0.018714286386966705,0.5908571481704712,173.99390964439507,-20.243842992283543,-1.0666291172524311,-1.6422153815895975,42,1,0.0738488275918434,0.395068504375797
206:10:100,10,100,44,38,38,30.147048950195312,30.464801788330078,31.008750915527344,30.147048950195312,30.464801788330078,31.008750915527344,0.006571428384631872,0.02385714277625084,0.670285701751709,175.02854763100675,-20.169204486560094,-1.0532917762744265,-1.6525559437850412,43,1,0.043690323391850215,0.2624851575964502
206:10:100,10,100,45,46,46,30.279048919677734,30.680553436279297,32.64899826049805,30.279048919677734,30.680553436279297,32.64899826049805,0.001714285695925355,0.023142855614423752,1.1734285354614258,175.81763756973842,-20.346347153420968,-0.911672923445745,-1.542809054167112,44,1,0.05602445806335335,0.556351418469508
206:10:100,10,100,46,44,44,30.405048370361328,30.859676361083984,32.0722770690918,30.405048370361328,30.859676361083984,32.0722770690918,0.0022857142612338066,0.02085714414715767,1.1471428871154785,176.9968553858243,-20.332124025844568,-1.0145369625860712,-1.5312676413156219,45,1,0.06349774728644436,0.5179439823460796
206:10:100,10,100,47,38,38,30.54005241394043,30.895301818847656,32.52799606323242,30.54005241394043,30.895301818847656,32.52799606323242,0.004285714123398066,0.02014285698533058,0.7354285717010498,178.30432664781148,-20.25203907371227,-1.1913585812547733,-1.633680754319489,46,1,0.07515092766808107,0.41576944882834693
206:10:100,10,100,48,38,38,30.63304901123047,30.9875545501709,31.607999801635742,30.63304901123047,30.9875545501709,31.607999801635742,0.004571428522467613,0.02071428671479225,0.7225714325904846,179.31326387112733,-20.186032501061764,-1.1892551522586885,-1.6501405454512799,47,1,0.054016405500299555,0.20902683415339438
206:10:100,10,100,49,40,40,30.778051376342773,31.17705535888672,31.99727439880371,30.778051376342773,31.17705535888672,31.99727439880371,0.0020000000949949026,0.018571428954601288,0.5979999899864197,-179.77785870528675,-20.25524296906734,-1.212406541220361,-1.6118301662470014,48,1,0.10496536614665941,0.3477012782029321
206:10:100,10,100,50,35,35,30.86305046081543,31.296049118041992,31.766754150390625,30.86305046081543,31.296049118041992,31.766754150390625,0.0025714286603033543,0.026571428403258324,0.6211428642272949,-178.80730263380752,-20.21112026979295,-1.2599406125168462,-1.6432233699022425,49,1,0.12135096777559251,0.6291528250583905
206:10:100,10,100,51,39,39,30.985050201416016,31.330801010131836,32.993995666503906,30.985050201416016,31.330801010131836,32.993995666503906,0.0071428571827709675,0.024857142940163612,1.0297142267227173,-178.1540817481825,-20.283070412874252,-1.1865895506566857,-1.5752163459249913,50,1,0.07706407594751535,1.1418321960785702
206:10:100,10,100,52,38,38,31.100048065185547,31.45730209350586,32.82927703857422,31.100048065185547,31.45730209350586,32.82927703857422,0.006000000052154064,0.0231428574770689,1.2845714092254639,-177.46231989546138,-20.29553028792547,-1.1254385401765776,-1.5949932848789288,51,1,0.07747908309609819,0.2208169213681226
206:10:100,10,100,53,42,42,31.185049057006836,31.59567642211914,33.01527404785156,31.185049057006836,31.59567642211914,33.01527404785156,0.004857142921537161,0.019857142120599747,1.2971428632736206,-176.74029079502753,-20.334551173298767,-1.140385820888429,-1.5644315696100424,52,1,0.058887298353172995,0.2382008939777997
206:10:100,10,100,54,36,36,31.25404930114746,31.577547073364258,33.001277923583984,31.25404930114746,31.577547073364258,33.001277923583984,0.008571428246796131,0.023000000044703484,0.9868571162223816,-176.03297430087318,-20.266202766320664,-1.1597744271032584,-1.5771723374560613,53,1,0.08517743150399032,0.26694156790412304
206:10:100,10,100,55,35,35,31.389047622680664,31.641555786132812,33.323997497558594,31.389047622680664,31.641555786132812,33.323997497558594,0.006285714451223612,0.023714285343885422,0.5445713996887207,-175.11539099396165,-20.207554030308966,-1.3181663077701335,-1.6338705767182862,54,1,0.07434005539618549,0.7060496173829685
206:10:100,10,100,56,35,35,31.457048416137695,31.69255256652832,33.416996002197266,31.457048416137695,31.69255256652832,33.416996002197266,0.006285714451223612,0.02142857201397419,0.5065714120864868,-174.53819937793676,-20.172407311569494,-1.3604556011046882,-1.6508861944775342,55,1,0.11121784513181562,0.31040508468873496
206:10:100,10,100,57,32,32,31.515045166015625,31.756553649902344,32.426048278808594,31.515045166015625,31.756553649902344,32.426048278808594,0.006571428384631872,0.018857141956686974,0.28057143092155457,-174.00480435640026,-20.154566964303594,-1.3500776258239944,-1.631327853001791,56,1,0.11824916204533278,0.25620806639912874
206:10:100,10,100,58,33,33,31.572309494018555,31.81655502319336,33.505271911621094,31.572309494018555,31.81655502319336,33.505271911621094,0.004285714123398066,0.025428570806980133,0.8971428275108337,-173.58004183356485,-20.196880041507246,-1.290059392432818,-1.599960124815579,57,1,0.1091546004843111,0.279532535600796
206:10:100,10,100,59,33,33,31.62904930114746,31.933307647705078,32.49327087402344,31.62904930114746,31.933307647705078,32.49327087402344,0.003142857225611806,0.027142856270074844,1.2162857055664062,-173.40407168930048,-20.22150818920026,-1.151484244663286,-1.5961799477258982,58,1,0.07018186619598624,0.28030502402423335
206:10:100,10,100,60,28,28,31.6483097076416,31.924049377441406,32.432552337646484,31.6483097076416,31.924049377441406,32.432552337646484,0.009142857044935226,0.030714284628629684,0.9611428380012512,-172.5093341205763,-20.14439396398891,-1.3673997201264425,-1.6542265617321212,59,1,0.11707574839411292,0.2889719667090196
206:10:100,10,100,61,32,32,31.720304489135742,32.003177642822266,33.45150375366211,31.720304489135742,32.003177642822266,33.45150375366211,0.007428571581840515,0.02428571507334709,0.5879999995231628,-172.33271555563775,-20.23783243662181,-1.2293508000309712,-1.6090510902975759,60,1,0.08156254468915111,0.5708260968607222
206:10:100,10,100,62,33,33,31.792308807373047,32.03104782104492,33.76427459716797,31.792308807373047,32.03104782104492,33.76427459716797,0.003142857225611806,0.018571428954601288,0.2257142812013626,-171.82048688279417,-20.288011834400915,-1.216033675060969,-1.5704136120399528,61,1,0.11553827541777968,0.21972856693682952
206:10:100,10,100,63,30,30,31.836048126220703,32.101898193359375,34.311275482177734,31.836048126220703,32.101898193359375,34.311275482177734,0.00342857139185071,0.021571427583694458,0.415714293718338,-171.2579867034184,-20.22938024163781,-1.2590029363787656,-1.6530364145515608,62,1,0.11104034344750917,0.9235309069524796
206:10:100,10,100,64,30,30,31.904306411743164,32.11675262451172,33.037506103515625,31.904306411743164,32.11675262451172,33.037506103515625,0.003142857225611806,0.019142858684062958,0.26028570532798767,-170.52536451990736,-20.15576173726079,-1.3821412911736601,-1.6428426373574423,63,1,0.1042050751482513,0.2557750387466544
206:10:100,10,100,65,31,31,31.946308135986328,32.18430709838867,33.93428039550781,31.946308135986328,32.18430709838867,33.93428039550781,0.004285714123398066,0.020285714417696,0.3514285683631897,-170.05997146065454,-20.187527195513674,-1.3151302093354211,-1.6517392154224397,64,1,0.08231929851117517,0.28456548387420516
206:10:100,10,100,66,34,34,32.018306732177734,32.24740219116211,32.64199447631836,32.018306732177734,32.24740219116211,32.64199447631836,0.0051428573206067085,0.01900000125169754,0.6468571424484253,-169.26865344829596,-20.13722677644711,-1.406777375180596,-1.632114854282297,65,1,0.07385368345356885,0.19666852646471533
206:10:100,10,100,67,29,29,32.04355239868164,32.37205123901367,32.797279357910156,32.04355239868164,32.37205123901367,32.797279357910156,0.006285714451223612,0.025142857804894447,1.0274286270141602,-168.5457007553674,-20.151577849288,-1.4342085869169472,-1.6565140944053907,66,1,0.06951574939795443,0.24454298222555793
206:10:100,10,100,68,36,36,32.181549072265625,32.5091552734375,34.20550537109375,32.181549072265625,32.5091552734375,34.20550537109375,0.0051428573206067085,0.01900000125169754,0.6882857084274292,-167.68985638593327,-20.340663486082025,-1.4611845705163287,-1.5825535377869688,67,1,0.13211473504417873,0.606652598216253
206:10:100,10,100,69,28,28,32.281551361083984,32.55980682373047,33.07775115966797,32.281551361083984,32.55980682373047,33.07775115966797,0.008857143111526966,0.029857143759727478,1.1091428995132446,-166.40024895546173,-20.161676866159176,-1.6446334154310775,-1.6634624653157868,68,1,0.10221046883028742,0.8650281862328622
206:10:100,10,100,70,29,29,32.43730545043945,32.637306213378906,33.13800048828125,32.43730545043945,32.637306213378906,33.13800048828125,0.006000000052154064,0.02085714228451252,0.16571427881717682,-165.60066926426487,-20.196730137056207,-1.5089501003948855,-1.7135900393200076,69,1,0.0685339258745178,0.22106861111096565
206:10:100,10,100,71,34,34,32.543304443359375,32.85353088378906,34.211509704589844,32.543304443359375,32.85353088378906,34.211509704589844,0.006285714451223612,0.018571428954601288,0.5111428499221802,-164.558955814798,-20.28362798309853,-1.5238212164548282,-1.6458909589913906,70,1,0.10691025327283848,0.25985701654325405
206:10:100,10,100,72,30,30,32.66830825805664,32.95030212402344,33.41499328613281,32.66830825805664,32.95030212402344,33.41499328613281,0.006285714451223612,0.021285714581608772,0.6588571667671204,-163.18818491077673,-20.200352248494262,-1.5822454952502094,-1.6819878385602216,71,1,0.11866878090326596,0.28312985216712755
206:10:100,10,100,73,31,31,32.82204818725586,33.0837516784668,34.45750045776367,32.82204818725586,33.0837516784668,34.45750045776367,0.00342857139185071,0.018857141956686974,0.4214285612106323,-162.1140391530177,-20.28707350561338,-1.5099369436613168,-1.6452511877475409,72,1,0.11182213739582078,0.36553619628597966
206:10:100,10,100,74,32,32,32.95830535888672,33.27954864501953,34.680503845214844,32.95830535888672,33.27954864501953,34.680503845214844,0.0051428573206067085,0.02257142961025238,0.44371429085731506,-161.03747650976516,-20.32117716353044,-1.4699888325649384,-1.6280060242121965,73,1,0.07787521734530198,0.16107109497811054
206:10:100,10,100,75,29,29,33.09730911254883,33.38955307006836,34.58450698852539,33.09730911254883,33.38955307006836,34.58450698852539,0.004285714123398066,0.018571428954601288,0.4211428463459015,-159.56590157241348,-20.234795588427037,-1.6456972774504275,-1.6826209580568763,74,1,0.10842486418796535,0.35862741062411513
206:10:100,10,100,76,27,27,33.24730682373047,33.493309020996094,34.006996154785156,33.24730682373047,33.493309020996094,34.006996154785156,0.00685714278370142,0.018285714089870453,0.4465714395046234,-158.31325337764275,-20.19176137351247,-1.623615988334001,-1.7145299650831125,75,1,0.08583902887624517,0.23219349989249177
206:10:100,10,100,77,29,29,33.365753173828125,33.63130569458008,34.072303771972656,33.365753173828125,33.63130569458008,34.072303771972656,0.004857142921537161,0.018857141956686974,0.3465714156627655,-157.11510740490908,-20.195688400023588,-1.55435620886123,-1.617616067335017,76,1,0.12530274366502464,0.2756976917444905
206:10:100,10,100,78,31,31,33.54555130004883,33.78575134277344,34.28227233886719,33.54555130004883,33.78575134277344,34.28227233886719,0.004000000189989805,0.019999999552965164,0.4802857041358948,-155.8584389446944,-20.206765304787876,-1.5671867844658938,-1.6248210154050728,77,1,0.15512849737085738,0.32452547155857214
206:10:100,10,100,79,26,26,33.70075607299805,33.91815185546875,34.69450378417969,33.70075607299805,33.91815185546875,34.69450378417969,0.0051428573206067085,0.01671428605914116,0.14657142758369446,-154.6925519364016,-20.220183002179436,-1.500293012227119,-1.6395727168202927,78,1,0.15426471079033327,0.28612736895518287
206:10:100,10,100,80,32,32,33.84574890136719,34.14765167236328,35.798500061035156,33.84574890136719,34.14765167236328,35.798500061035156,0.0057142856530845165,0.016857143491506577,0.23228570818901062,-153.6051490097477,-20.356468781400856,-1.498076041958622,-1.5916696834170798,79,1,0.10910383965944967,0.4775714719648265
206:10:100,10,100,81,28,28,33.98955154418945,34.2645263671875,34.96930694580078,33.98955154418945,34.2645263671875,34.96930694580078,0.0051428573206067085,0.022714287042617798,0.9685714244842529,-152.3028204193433,-20.222940043196395,-1.606092473909736,-1.7001446341754642,80,1,0.09538055247204566,0.6940022156548638
206:10:100,10,100,82,25,25,34.165306091308594,34.42604446411133,34.8675537109375,34.165306091308594,34.42604446411133,34.8675537109375,0.0025714286603033543,0.01971428655087948,0.3700000047683716,-151.21881221055182,-20.198340478055453,-1.5902853332012916,-1.7745484233758864,81,1,0.09753292213068064,0.3024293377617035
206:10:100,10,100,83,23,23,34.30855178833008,34.59804916381836,35.32099533081055,34.30855178833008,34.59804916381836,35.32099533081055,0.004285714123398066,0.01914285682141781,0.18571428954601288,-150.24979236469105,-20.251907328503496,-1.4531290291904535,-1.6217298900011918,82,1,0.17188067235110915,0.3458085547962805
206:10:100,10,100,84,28,28,34.506046295166016,34.76542282104492,35.32175064086914,34.506046295166016,34.76542282104492,35.32175064086914,0.0025714286603033543,0.014428570866584778,0.3471428453922272,-149.3097969819867,-20.255699567703413,-1.358068523648553,-1.6758917858944358,83,1,0.14073532101048142,0.2859946981000786
206:10:100,10,100,85,26,26,34.697044372558594,35.00692367553711,35.250553131103516,34.697044372558594,35.00692367553711,35.250553131103516,0.004571428522467613,0.018714286386966705,0.6628571152687073,-147.88008761489004,-20.21889051367847,-1.580603065785169,-1.7001043717265185,84,1,0.0822315795666913,0.30115770630792127
206:10:100,10,100,86,19,19,34.87179946899414,35.098602294921875,35.563602447509766,34.87179946899414,35.098602294921875,35.563602447509766,0.006000000052154064,0.027142856270074844,0.4822857081890106,-146.98580056222985,-20.23347183451288,-1.5224613791621282,-1.7159870413247929,85,1,0.09525730751535283,0.3302029606931306
206:10:100,10,100,87,21,21,35.062347412109375,35.33708572387695,36.73430252075195,35.062347412109375,35.33708572387695,36.73430252075195,0.0051428573206067085,0.018571428954601288,0.17085714638233185,-146.01779377032588,-20.27357354853034,-1.5026807566689497,-1.6945518851093255,86,1,0.049670036304530214,0.23353939478747018
206:10:100,10,100,88,24,24,35.26083755493164,35.56586456298828,36.00135040283203,35.26083755493164,35.56586456298828,36.00135040283203,0.0071428571827709675,0.019571427255868912,0.9791428446769714,-145.20281168740038,-20.241985776496033,-1.4088792233359932,-1.699376235245441,87,1,0.1253061244006217,0.3497224578346336
206:10:100,10,100,89,20,20,35.44264221191406,35.66973876953125,36.02983856201172,35.44264221191406,35.66973876953125,36.02983856201172,0.0057142856530845165,0.012571427971124649,0.3134285807609558,-144.20126145118937,-20.20540419886229,-1.4907657339426486,-1.6908764076812193,88,1,0.1641981832759574,0.39906772736293644
