world,source_sequence,world_identity,historical_combination,historical_shape_family,geometry_parent,length_local_m,width_local_m,height_local_m,primitives,continuous_deformation,vertical_exponent_min,vertical_exponent_max,horizontal_exponent_min,horizontal_exponent_max,yaw_rad,intensity_quantile,material_roughness,support_frame,support_semantic,support_plane_rmse_m,contact_residual_m,local_z_support_angle_deg,historical_reference_frame,historical_reference_points,stored_frames,source_binding_verified,historical_eligible_frames,historical_one_to_four_frames,compared_files,verified_frames,eligible_frames,one_to_four_frames,anomaly_points,main_v3_equal,surface_level_abs_max,background_interior_points,historical_collision_unresolved,eligible_segments
train/branched_low_smooth_3,206,3ce81093bbe901820107412e52ccc7edab865ba0f14fda8119ed3561b3956396,branched/low/smooth,cross,train/2454,1.4424217957733962,1.1587671823710692,0.16608188757042125,2,False,0.6309573133802133,1.162740503683148,0.9413790512219605,0.9870510911998222,-0.07595618789441572,0.8350444498793634,0.34521455134060974,254,40,0.009067026779273017,-0.00032033740847337017,0.0,254,8,449,True,228,61,449,449,228,61,9181,True,1.3268396222433647e-06,0,0,15
train/branched_low_smooth_4,206,4da65b98d45eecd15f71b85d03a51ffff97308e0c7c12621232925b60cb61130,branched/low/smooth,cross,train/2452,0.8964496104789965,1.1344453197242694,0.159526335346773,2,False,0.6854612014700419,0.6915490451510524,0.9179332192622296,0.9546761864949133,-0.7169304802781689,0.11558321591950976,0.1848648245529903,167,40,0.010277546363417187,-6.412213954254399e-10,0.0,167,8,449,True,26,32,449,449,26,32,791,True,8.165186822422772e-07,0,0,2
train/branched_low_smooth_5,206,572af75d545cf374f334aeb9aed8ed6fc6acfa55199cd54ffc04da004fb3a31a,branched/low/smooth,cross,train/2478,1.0514605643093182,1.3398555568941457,0.18790810846660924,2,False,0.42316522979183513,0.6944620185185908,0.9253052828427145,0.9656929891203024,1.6830437858207334,0.44417541993853465,0.35528938673540744,162,40,0.008507080669551957,-1.100764521200226e-09,0.0,162,8,449,True,117,48,449,449,117,48,4454,True,6.336527767049499e-07,0,0,10
train/branched_low_smooth_6,206,6038dbcb4b113048ab98211800feace9fc9d7d04f5370b681f4ba728a4bb50e0,branched/low/smooth,cross,train/15126,1.123890279637027,1.0851136104231052,0.11398664070572088,2,False,0.8449349684487173,1.126829071174622,0.5872178576988951,0.9731612980467134,2.9189882239404357,0.05523320057363841,0.1645735499178148,420,40,0.019304819347624763,-3.8439034670545436e-08,0.0,229,5,449,True,156,49,449,449,156,49,8240,True,4.343238356197576e-07,0,0,9
train/branched_low_smooth_7,206,d9d678aff428b22c8392c31f2ceb83e076c8797fa73f88f0baea167145434d09,branched/low/smooth,cross,train/2444,0.9245992101594513,1.0019310544835138,0.132898098668163,2,False,0.5533463773765738,1.1745216831730323,0.4384697147587982,1.1402744897651071,-2.683434752242942,0.2539654873404308,0.056585952742944146,226,40,0.0059161176017344455,-2.5864673831033085e-06,0.0,226,8,449,True,69,16,449,449,69,16,4216,True,4.834759475940464e-07,0,0,1
train/branched_low_smooth_8,206,f82c3c30c9679cac234efcae85de682c8e8b32bd275cf47f6190f14b3979dac7,branched/low/smooth,cross,train/15137,1.3415368069223614,0.8329252707350779,0.15418421866073834,2,False,0.8436500374049762,0.9838669224556904,0.43226568590260933,1.0651144972750266,-0.42701447486939914,0.941450871011582,0.1328107728372484,23,40,0.006554270077408112,-9.622243044016265e-07,0.0,239,7,449,True,126,71,449,449,126,71,8032,True,1.225482450243415e-06,0,0,5
train/branched_low_sparse_1,206,1e0c1f02fae63e11729a4765d75921e85082ce76c017f4e998f0c551e05c3470,branched/low/sparse,cross,train/35135,1.616804512195854,0.9086909065643417,0.18850368674393436,2,False,0.6321739996991775,1.0560290537553876,0.5567673042791822,0.969570764090016,3.9161680554197127,0.7188297846983961,0.23125546123111845,76,40,0.034013867247637636,-0.00018387823066187692,0.0,230,5,449,True,198,22,449,449,198,22,10420,True,3.16522956146554e-06,0,0,20
train/branched_low_sparse_2,206,2d392cb5334acc5030f04cab7098c4eadeb91222f7d82bedd4046fa25ccca50e,branched/low/sparse,cross,train/25130,1.9178036259216957,1.2883816376194768,0.17038155984643397,2,False,0.5056074924326457,0.925384244031784,0.727348049052842,0.9431669790562698,1.4293895281287181,0.1374922498266281,0.2941226316510131,379,40,0.0061211045594221905,6.126731066924408e-11,0.0,238,5,449,True,197,23,449,449,197,23,16358,True,1.417922427033862e-06,0,0,14
train/branched_low_sparse_3,206,3d8d237ef447f8b06ed56a503748700f2ee495decc58171279d328afac7e2658,branched/low/sparse,cross,train/25143,1.8302410987130993,1.3975051370513687,0.18763833674913385,2,False,0.6920457763198784,1.0836184743430137,0.6363731261780853,1.0630687055925723,3.286836122598274,0.5316191858331941,0.12172565119670548,100,40,0.009651868815952789,1.416280870358833e-09,0.0,239,8,449,True,203,24,449,449,203,24,18757,True,1.662275456849554e-06,0,0,18
train/branched_low_sparse_4,206,47dc8432eb8d8651f45a8cb1a59404615599e38f849b5cac792ea197223a9483,branched/low/sparse,cross,train/35128,1.5497800079585944,0.9767041009626299,0.19170897447107316,2,False,0.6094878167883011,0.6574555624248799,0.6055775606943226,0.6779327571773472,0.32600530053467713,0.6372136810136034,0.15649597703412738,274,40,0.01652935385885801,-2.2837547233867106e-07,0.0,129,7,449,True,253,23,449,449,253,23,12078,True,1.405844618079805e-06,0,0,15
train/branched_low_sparse_5,206,52c6dd96cb87f7ba96b6e3a0fdbd153f6cb9940fe9bd15e4f1fb2cf98a4b8abe,branched/low/sparse,cross,train/35120,1.6910154197872316,0.9847225188861279,0.18316135945831263,2,False,0.47823905877890927,0.7918370570836777,0.5275744879427892,0.8672377431635698,3.687564983450496,0.203933425123201,0.15986637556515038,172,40,0.009802473025440756,4.617359439240687e-09,0.0,387,6,449,True,216,47,449,449,216,47,13205,True,1.8334080885196344e-06,0,0,20
train/branched_low_sparse_6,206,5e5020e87f8f2143c4345205392a061491872967e80fee25deeae71e9e50f06b,branched/low/sparse,cross,train/35143,1.7094157237374652,0.8619979880897845,0.19160256390581903,2,False,1.170824977846817,1.1882114478960322,0.6974009503770169,1.0062403092569885,1.1654051249170634,0.7518438219807039,0.2560422233066386,134,40,0.011764787091134786,-0.00040738344626317646,0.0,38,5,449,True,174,15,449,449,174,15,7721,True,1.0136261011531353e-06,0,0,7
train/branched_low_sparse_7,206,b4ed142de854f3c5fbab53f9d2d7f42cd8f30aab76735f51ae5887f17c626adb,branched/low/sparse,cross,train/15120,1.7663329200870557,1.2641622535755495,0.18026064724953295,2,False,0.4980144591726111,0.5565647600834029,0.5691440887758314,0.5749470363129001,-3.0529375324426726,0.05242762836745249,0.11199653738650206,248,40,0.0042335177199331305,-1.749211345214441e-09,0.0,129,5,449,True,279,18,449,449,279,18,14893,True,9.60853260628416e-07,0,0,10
train/branched_low_sparse_8,206,be68f45652f29d287b9d59f04056b4b79ef0c4fd191e35b46091ec17d3500049,branched/low/sparse,cross,train/35131,1.610981971303531,0.8550454811408588,0.18198793113126588,2,False,0.5339170658138159,1.1815675151641623,0.47126378192055524,0.8829341429439921,0.23597491832722328,0.13783367221962303,0.10156392627557198,357,40,0.03820571762618135,-1.0147542528482491e-09,0.0,233,5,449,True,159,17,449,449,159,17,4893,True,2.4579118623650143e-06,0,0,13
train/branched_raised_rough_1,206,57a6f8ae2ab9b8ffba738ab9664f37be5ccbb00b991bdbe2be82d626a415a2a3,branched/raised/rough,cross,train/2547,1.569386638773805,1.6268931553829333,0.677914496495529,2,False,0.4957767615878809,1.1998784683850439,0.9662375673931083,1.0321494420973356,0.6121017088116747,0.8931085645813827,0.07699181881299239,149,40,0.008040749253680068,-0.00016459463647366945,0.0,149,8,449,True,147,61,449,449,147,61,7429,True,8.467605148126141e-07,0,0,21
train/branched_raised_rough_2,206,ac6ee25e63441bab912f35f2d77fe404496a810d7bd220df6d7a0f9afd0dc6d3,branched/raised/rough,cross,train/2534,1.016367127142916,1.251170331193251,0.46392519164201207,2,False,0.7830300943393393,1.1698379698960801,0.5602323437755319,1.0092706321046006,-2.680366824711201,0.5304256973688899,0.40175377409673,85,40,0.009452985240615896,2.042347513331322e-09,0.0,80,568,449,True,72,25,449,449,72,25,2932,True,7.42159627211426e-07,4,0,6
train/branched_raised_rough_3,206,6fa1b606fb5aac6f4eab50b4748731851b3b2c413629f6409bb0d00e4ef6add2,branched/raised/rough,cross,train/2513,1.2896715033660489,1.378640092237097,0.3057395144669457,2,False,0.4336708108621421,1.1566061568327322,0.5697481415819875,0.7384650441609868,-2.785691336203641,0.6665756159237014,0.25986986176081145,192,40,0.008231398759743819,1.8044025718033652e-09,0.0,192,8,449,True,84,16,449,449,84,16,10349,True,6.195992414886286e-07,0,0,3
train/branched_raised_rough_4,206,78ccd4a6249bc0b055726363cd3e6146723048f63696f42798313070a70caa71,branched/raised/rough,cross,train/2549,1.7647118145215486,0.9378700212049341,0.305220962345285,2,False,0.4336505717673131,1.0522036091044114,0.8370956446643112,0.9980454840573948,1.0822262276283574,0.9048636201276122,0.4159347580262058,253,40,0.009274898687564695,2.5239356160611237e-09,0.0,253,7,449,True,234,47,449,449,234,47,12211,True,1.7137620897052238e-06,0,0,9
train/branched_raised_rough_5,206,905f6a7777070dea675046c58478cf9bd8726f5312761decb4b495c66fb4ba1d,branched/raised/rough,cross,train/2550,0.9095455801047619,1.5084227152890848,0.5845861842601192,2,False,0.5270403902032413,0.7896715727685495,0.6244378842950292,1.1210730342460504,1.6892555794128041,0.5079209477326677,0.36909314907080276,146,40,0.008333190922611118,-7.217073344500947e-08,0.0,146,8,449,True,325,9,449,449,325,9,34390,True,1.7513377836774138e-06,0,0,3
train/branched_raised_rough_6,206,bf86da8e7f65e32dc4d454390fd5e3e06d45d1d5caa8d0206dcb2bebe361abff,branched/raised/rough,cross,train/2533,0.9204910163932368,0.9417545879517806,0.311441754113187,2,False,0.9141118884389418,0.9326215643394449,0.4349538528757962,0.9031636025191825,2.9071945240090926,0.9327498483008823,0.14674524226839536,82,40,0.009654042507275655,-4.2497946894926036e-07,0.0,82,8,449,True,179,63,449,449,179,63,12024,True,2.922978351994625e-06,0,0,13
train/branched_raised_rough_7,206,a20a545bb42d09235440f8ea31b50d26f7096e3faa879b7cb9f301324fcc72fb,branched/raised/rough,cross,train/2511,1.7417018188059656,1.4558328333176804,0.4358618673230347,2,False,0.7243232678735152,1.1965260459785723,1.0444433134232987,1.0926919293297432,2.586863448917688,0.5924169147370306,0.2629502880014526,109,40,0.012931073249500475,-6.311040690043513e-09,0.0,111,475,449,True,127,46,449,449,127,46,7869,True,7.521624445535857e-07,20,0,13
train/branched_raised_rough_8,206,c76ca4387ea51447d055ac46cccc840b08e326b80fa6aacf75bbdbc0bd5dd853,branched/raised/rough,cross,train/2504,1.8920466472450232,1.6309578238687081,0.2576951562181552,2,False,0.688469788270764,0.9559569147455942,0.7282281699309453,0.7636674866455935,1.27172548887689,0.7582882445410295,0.34508227163329563,24,40,0.006780492446070323,-7.266086926582815e-09,0.0,24,8,449,True,99,0,449,449,99,0,33455,True,2.8551413936469824e-07,0,0,1
train/branched_raised_smooth_1,206,19b0b11edd447a4d8a67e9d939313c1bc3f40f592cb5ded9861fd36b44aa9c5b,branched/raised/smooth,cross,train/2520,1.7579630293671986,0.9771492911264084,0.6216866959487986,2,False,0.6937228101646733,1.044192009584203,0.5908870544967614,0.8811902945543222,-2.6248071737692196,0.3059638168158743,0.06518156378442896,147,40,0.009098970298894836,-2.8190615496359595e-05,0.0,147,8,449,True,135,60,449,449,135,60,5180,True,9.344089977084509e-07,0,0,28
train/branched_raised_smooth_2,206,352d5f0ee9bf71c030ad9d4379f5080b05685de6c8f29454856a27c2cd1dd51e,branched/raised/smooth,cross,train/2529,1.9017594090063215,1.0122890492795413,0.43920746470811517,2,False,0.7952383754271586,1.1221407348016066,0.4559320487541742,0.6048840018378387,-1.687551699381818,0.35414134288157917,0.41198528030994414,6,40,0.006075890801021391,-5.021452585127206e-05,0.0,6,8,449,True,99,1,449,449,99,1,34457,True,4.7615662915290485e-07,0,0,1
train/branched_raised_smooth_3,206,3a2b4251dc36cfa4984394c39909c743d2c4a35ce583832e3d30268738950164,branched/raised/smooth,cross,train/2523,1.485288439474496,1.7817638866931065,0.6892559581093196,2,False,1.00244348933018,1.0562906009752755,0.5200098253085711,1.0474200341501847,1.2527856313656809,0.39555559578605204,0.4566153067347724,311,40,0.010033350742774467,-5.06324843163597e-09,0.0,311,8,449,True,328,8,449,449,328,8,43119,True,1.825449098402156e-06,0,0,5
train/branched_raised_smooth_4,206,50431983ad4a44278fc82079328e78c667bdf6943598161387c19a6957923320,branched/raised/smooth,cross,train/2507,1.790463647624966,0.8370508656222011,1.0890817833664248,2,False,0.5313837951858048,1.132138643314324,0.7110093546835146,1.1559349753928512,0.9017697357360781,0.2530087418340289,0.4229320841385481,0,40,0.008649286297638689,-2.882132502957102e-05,0.0,0,8,449,True,249,0,449,449,249,0,94090,True,3.569759924018788e-06,0,0,1
train/branched_raised_smooth_5,206,6fa7cea489a32474d1f8adbeecfec05ebb1c389a13657fc67ed8a04fbd32ffa3,branched/raised/smooth,cross,train/15888,1.0406497147772,1.0372822486196331,0.5878329387437278,2,False,1.026692694187586,1.0743298314152314,0.9288980851983217,1.1853457389625763,1.345666368983883,0.2410558080900917,0.47009937721494083,396,40,0.0066796691428389985,-4.704243469860758e-05,0.0,195,5,449,True,235,35,449,449,235,35,24866,True,2.394946936379751e-06,0,0,8
train/branched_raised_smooth_6,206,87019b8c4a6bf50c339222c90a2718487b64d9bb82411cf2c52915d8b473b9e9,branched/raised/smooth,cross,train/2514,1.7227072095606988,1.7473481056175733,0.9280452885328494,2,False,0.45082237951882376,0.984969614795065,0.7162549677691998,1.152677801244397,2.1294503111602117,0.13777918397801464,0.41052938926424565,211,40,0.009038181432979034,-2.491000290372192e-06,0.0,211,8,449,True,79,5,449,449,79,5,17597,True,1.8181858283296621e-06,0,0,2
train/branched_raised_smooth_7,206,cb3dd3deb6a553ab731a69459defeae8eb501836328ee99cd57994669f9b6ae8,branched/raised/smooth,cross,train/2543,1.0198155709212815,1.1950391955966904,0.7560181461594998,2,False,0.5816351214823581,0.6302757931056036,0.8012710258072415,1.1699257954201276,-0.4887976028647394,0.1628361725210938,0.37579038334270903,107,40,0.007760152150139802,-7.005377833380067e-09,0.0,107,8,449,True,101,27,449,449,101,27,8111,True,1.3398556371856372e-06,0,0,6
train/branched_raised_smooth_8,206,f84f1b2c0feebae1469de47d1cd866655cb459d146bb8e313c9ac9ff3183e2bc,branched/raised/smooth,cross,train/2539,1.6960738372937132,1.3193938575685633,0.3343826084471029,2,False,0.8149446747466291,1.1238769018531936,0.4262747898589475,0.8469060088319645,-1.3411061321558733,0.1913477913805567,0.07797916368999197,241,40,0.008549224961022115,-6.115731504552358e-09,0.0,241,8,449,True,176,80,449,449,176,80,22036,True,1.4107226336003837e-06,0,0,9
train/branched_raised_sparse_1,206,0c4a26ab5fa72d988cfd93aa649feb895ffcb454a1460f7ea7ba0ec96480ad0a,branched/raised/sparse,cross,train/15902,1.0989832083380986,1.3282522737872688,0.3907779214928873,2,False,0.7505049194313103,1.0382626263925174,0.5412897045031897,0.5840711992443938,-0.36402804651146825,0.7758517666470198,0.09971176724619613,18,40,0.033738390623412697,-1.270121289198567e-06,0.0,239,6,449,True,233,12,449,449,233,12,30114,True,3.5443850817332894e-06,0,0,4
train/branched_raised_sparse_2,206,0dda91c776865fdc96fa0a5efdf9c13c81578495115a7925f2fe04176dfa419b,branched/raised/sparse,cross,train/25892,1.2699199868511843,0.9476633189142509,0.41917333626596315,2,False,0.5766554601846877,0.7637459894107844,0.4892036119951132,1.0879293358699877,0.25851558084240733,0.89033315447051,0.3401477822296983,157,40,0.013941742657635186,-1.180700330921658e-06,0.0,38,5,449,True,193,10,449,449,193,10,17658,True,9.63906927419531e-07,0,0,2
train/branched_raised_sparse_3,206,75f2069c0803e91efb466a38a1c12f01a3672b493b57ecc18950e6fff1addaad,branched/raised/sparse,cross,train/15909,1.4170465792917706,1.086541072403194,0.46349008929434166,2,False,0.7957816017417668,0.9173708010722278,0.5062457864821208,0.6342503088597866,-0.2973564003173297,0.4276177210793924,0.4086398795387901,224,40,0.012102554350970572,-1.5088628879250667e-05,0.0,300,5,449,True,186,9,449,449,186,9,18324,True,1.040186429573608e-06,2,0,2
train/branched_raised_sparse_4,206,8951cfb7f6b8c12439a56f392e099f9ee358c9f9d59f626f3309d19e6c7b5cad,branched/raised/sparse,cross,train/15891,1.0302546458953874,1.1409132642255218,0.6523635019657491,2,False,0.4113285612718929,0.6832904928892213,0.754359924951205,0.9002790199536971,1.590811890918359,0.5971819423759736,0.2096989824719302,332,40,0.010539597697177466,-4.916908102892137e-09,0.0,236,5,449,True,246,18,449,449,246,18,40799,True,2.3092120035961993e-06,0,0,7
train/branched_raised_sparse_5,206,b45a83ea8c6f2f3e2377adbd19c355d5e3115722abde5157bae8d60c085c49e2,branched/raised/sparse,cross,train/2522,1.4144289213382624,1.5278794637077064,0.34561024655862704,2,False,0.7215142785764714,0.9529895261944512,0.561615470647221,0.5747383963189933,1.8926806261343678,0.9168333226124128,0.08120117017174455,244,40,0.011673370701058986,-4.1062036576500205e-08,0.0,244,8,449,True,256,50,449,449,256,50,20639,True,1.6220765390165193e-06,0,0,12
train/branched_raised_sparse_6,206,bb47fad80d589d921d46180f8b57c696b03592c2edbf74a4de6bd4bdbaf605d9,branched/raised/sparse,cross,train/15910,0.8895975223918112,0.9337864274816436,0.8504066921796876,2,False,0.8081363093769277,1.1992029683221332,0.8482628371120235,1.0345415995552614,1.3258224336596935,0.8017898306776078,0.4707650369424027,175,40,0.010879941827914578,-0.0002903700950179778,0.0,436,5,449,True,292,22,449,449,292,22,37757,True,1.322331933013908e-06,0,0,5
train/branched_raised_sparse_7,206,ed1e1e07239e280c1fb727e7cc6d4afe4107fe511ee636bea40d8f8baa9ee22f,branched/raised/sparse,cross,train/15892,1.3487852317762652,0.9062696829551263,0.8917993080760047,2,False,0.46686505971074904,1.078260319203141,0.44200081629023225,0.6159020969746318,-2.027509294754914,0.264107265730941,0.4910404376572302,389,40,0.005401583430128218,-5.705381805332088e-07,0.0,238,5,449,True,228,1,449,449,228,1,67639,True,3.7195383863471203e-06,0,0,1
train/branched_raised_sparse_8,206,f9cc763a870d79a29eec288b55935cbfaecd92dffba62433095b0bbad47925e5,branched/raised/sparse,cross,train/15912,1.7290915140056018,1.4801667421200986,0.570454491139165,2,False,0.9591424211054899,1.180510448456901,0.5052568080551858,0.5674596582438164,-2.503396595813325,0.5102342250087288,0.0622685896345932,108,40,0.006657498019431588,-0.00012329682255785013,0.0,218,5,449,True,117,57,449,449,117,57,4040,True,9.46925798944546e-07,0,0,6
train/contacts_low_rough_1,206,40c632f8183f1252a0bd8fd44e862ceea74b42f6a3cfa6968811b93b287c7d5f,contacts/low/rough,elbow,train/34,1.3281074547916984,0.7831906269735299,0.15762870150231437,3,False,0.5422750414605424,1.0685175716840591,0.7706976076968413,1.0916352851326894,2.174171564935892,0.803852642422902,0.18218080530580316,306,40,0.008719954790498348,9.396808470230058e-10,0.0,,0,449,True,227,87,449,449,227,87,10717,True,4.5811512901753627e-07,0,0,10
train/contacts_low_rough_2,206,448fa8df80f1627c6f8a9ae35f2f6ca02bcfab71e2846656304ba07ab6d8f890,contacts/low/rough,step,train/21,1.367855511362242,0.758090713878856,0.19044934552732068,2,False,0.48289070836177617,0.9893890300392544,0.9554508688077593,1.1432098025228425,-1.70039520845681,0.4973429185911072,0.11764333923124559,164,40,0.00923394413434275,-4.558857458203392e-09,0.0,,0,449,True,49,88,449,449,49,88,1518,True,2.603416706157677e-07,0,0,2
train/contacts_low_rough_3,206,8bdcebed82b1e62b8c95ca497ea68d065bb884eb3a49197a6b930608fa48af28,contacts/low/rough,bridge,train/16684,1.4247347425456671,0.6994473899450152,0.1372983208245058,3,False,0.4683517150349079,1.0350651589004256,0.44237354371653725,0.8626864222124027,2.6301438959120986,0.6511256907104357,0.04210769078392207,273,40,0.019785437421711335,-2.8957381353889033e-09,0.0,142,7,449,True,208,68,449,449,208,68,9966,True,3.544528657024047e-07,0,0,13
train/contacts_low_rough_4,206,acb923a09797d670cb7e2e253f82415e0401cd2b112a41d874364a95274cfea3,contacts/low/rough,bridge,train/2590,1.3147698113629946,0.7536052118323877,0.13615066262303657,3,False,0.5026332754575793,1.0053296217831336,0.4017817587474551,0.5771437588519074,-2.8850185923104212,0.7446975793967,0.31521815848799545,177,40,0.011166948236097703,6.261711718580365e-09,0.0,177,8,449,True,68,26,449,449,68,26,3078,True,1.5149694305686506e-07,0,0,5
train/contacts_low_rough_5,206,ad2aca783b935c76f0b9a1b4d9cea290be7095f36322d63b5a4f29d624c4bc86,contacts/low/rough,bridge,train/2577,1.319707483827623,0.5978791026124253,0.10183475867032482,3,False,0.846937219572748,1.1908272552937653,0.45071843277766366,1.039583626545796,1.7455988673040137,0.6145244908241537,0.43241929960644354,93,40,0.008330810049998071,-5.76645403649323e-09,0.0,93,5,449,True,43,29,449,449,43,29,577,True,2.4283506319395594e-07,0,0,8
train/contacts_low_rough_6,206,b74a1296b22447d33f39e301cab67590227222e96c3ad311be781e46b4d077e9,contacts/low/rough,elbow,train/26,0.5512606903488588,0.5441440250904253,0.12764880331221246,3,False,0.5724008487951534,0.9009976716486664,0.692515579536545,0.9758840654469648,2.19472772037381,0.43145663670091633,0.21292108104409574,330,40,0.006236545506601793,-5.508630079864574e-10,0.0,,0,449,True,153,69,449,449,153,69,4707,True,8.413677212653145e-07,0,0,5
train/contacts_low_rough_7,206,8b6bbe26f00273cbb4ce2abf0c80cc5d782b958fbb2e2ec9d9953621551cd6f9,contacts/low/rough,bridge,train/16680,1.0049211580512853,0.843727600833736,0.1680318767048179,3,False,0.45022575147029303,1.1495174501573198,0.5751810289995214,0.8780511505431872,2.858083364682889,0.3924907735918289,0.26267904935052117,260,40,0.012990920677392036,-4.741010278808133e-09,0.0,227,135,449,True,155,175,449,449,155,175,6939,True,4.4642890362388355e-07,88,0,8
