structure,frame,points,original_points,slots,range_m,world_copies,example_world,coarse_world_copies,coarse_example_world
206:254:7,13,2,2,78042;90331,14.377887725830078,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:15:5,13,1,2,75116,36.371551513671875,1,train/sheet_raised_rough_7,0,
206:15:6,13,2,13,74085;76146,33.74852752685547,1,train/sheet_raised_rough_7,0,
206:15:7,13,3,7,74087;75114;75115,34.93355178833008,1,train/sheet_raised_rough_7,0,
206:10:64,14,4,4,76349;78375;78376;78377,25.31555938720703,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:95,14,3,3,76079;77110;77111,33.75804901123047,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:104,14,3,3,68613;70640;71672,33.62369918823242,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:107,14,2,2,70588;75715,20.84014129638672,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:109,14,1,1,65492,28.5098876953125,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:114,14,1,1,81188,26.607091903686523,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:15:5,14,3,3,74091;75124;76156,36.23955154418945,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:15:7,14,3,3,74083;76149;76155,34.82230758666992,76,train/branched_low_rough_4,21,train/branched_low_rough_6
206:254:7,14,4,4,83171;85235;85236;91362,14.467704772949219,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:15:6,14,3,14,74085;75114;76146,33.703304290771484,1,train/sheet_raised_rough_7,0,
206:15:7,14,1,3,74083,34.88574981689453,1,train/sheet_raised_rough_7,0,
206:10:95,15,4,4,77110;77113;78110;79142,33.76392364501953,75,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:96,15,1,1,75025,39.45054626464844,75,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:104,15,2,2,68616;70642,33.754825592041016,75,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:108,15,3,3,67529;67530;69592,23.419450759887695,75,train/branched_low_rough_4,19,train/branched_low_rough_6
206:15:7,15,2,5,77188;78189,34.40892028808594,1,train/sheet_raised_rough_7,0,
206:10:95,16,1,1,78114,33.66579818725586,75,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:104,16,2,2,68618;70645,34.034324645996094,75,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:108,16,3,3,67532;67533;69595,23.508453369140625,75,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:104,17,2,2,68621;70647,34.27882385253906,74,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:108,17,1,1,67536,23.79545021057129,74,train/branched_low_rough_4,19,train/branched_low_rough_6
206:254:6,17,4,4,26707;26708;27739;27740,25.404441833496094,74,train/branched_low_rough_4,19,train/branched_low_rough_6
206:254:7,17,3,3,90328;90329;91361,14.958941459655762,74,train/branched_low_rough_4,19,train/branched_low_rough_6
206:15:6,17,2,8,78189;79221,33.23970031738281,1,train/sheet_raised_rough_7,0,
206:10:104,18,2,2,68623;70649,34.52932357788086,73,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:114,18,1,1,83237,26.1656494140625,73,train/branched_low_rough_4,19,train/branched_low_rough_6
206:254:7,18,3,3,91361;92392;93425,15.034494400024414,73,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:90,19,2,2,71074;71075,49.775997161865234,73,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:104,19,2,2,70652;70657,34.804603576660156,73,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:108,19,2,2,68573;68574,24.156227111816406,73,train/branched_low_rough_4,19,train/branched_low_rough_6
206:15:5,19,4,4,74099;75131;76161;77192,35.272300720214844,73,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:104,20,3,3,68628;70654;70660,34.95294189453125,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:15:7,20,4,4,74097;75129;76159;77196,33.61153030395508,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:18:8,20,4,4,66514;66519;67545;67547,27.85094451904297,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:90,21,1,1,70045,49.668697357177734,70,train/branched_low_rough_4,18,train/branched_low_rough_6
206:10:96,21,1,1,74008,37.35675048828125,70,train/branched_low_rough_4,18,train/branched_low_rough_6
206:10:98,21,2,2,73993;75025,42.873146057128906,70,train/branched_low_rough_4,18,train/branched_low_rough_6
206:10:104,21,2,2,68630;70662,35.138221740722656,70,train/branched_low_rough_4,18,train/branched_low_rough_6
206:10:108,21,1,1,69611,24.6579532623291,70,train/branched_low_rough_4,18,train/branched_low_rough_6
206:10:114,21,4,4,81204;81205;81206;82202,25.391096115112305,70,train/branched_low_rough_4,18,train/branched_low_rough_6
206:254:7,21,4,4,82140;83174;83175;86236,15.415170669555664,70,train/branched_low_rough_4,18,train/branched_low_rough_6
206:254:14,21,3,3,68024;69056;70056,39.5062141418457,70,train/branched_low_rough_4,18,train/branched_low_rough_6
206:10:90,22,1,1,69047,49.45893478393555,70,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:96,22,1,1,74010,37.42875289916992,70,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:104,22,3,3,69632;70664;71696,35.43050765991211,70,train/branched_low_rough_4,19,train/branched_low_rough_6
206:18:8,22,1,1,67550,28.734445571899414,70,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:96,23,2,2,71976;74010,38.664512634277344,71,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:104,23,3,3,69634;70666;71698,35.64569854736328,71,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:96,24,1,1,74010,37.308753967285156,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:104,24,3,3,69635;70667;71699,35.91670227050781,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:18:8,24,4,4,67555;67556;67559;68587,28.35333251953125,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:96,25,4,4,73004;74003;74004;74011,38.91986846923828,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:104,25,2,2,70669;71701,36.226890563964844,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:108,25,1,1,69619,25.67595100402832,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:114,25,4,4,80163;80169;81201;82197,25.315471649169922,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:254:9,25,3,3,70245;71277;72309,42.22050094604492,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:65,26,1,1,77436,28.68705177307129,70,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:96,26,4,4,74004;74006;75043;76078,37.81952667236328,70,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:104,26,2,2,69638;70670,36.407100677490234,70,train/branched_low_rough_4,19,train/branched_low_rough_6
206:254:8,26,1,1,71281,43.33549880981445,70,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:65,27,2,2,77438;77441,28.15005111694336,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:96,27,1,1,75037,38.454551696777344,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:98,27,2,2,73998;77094,42.304893493652344,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:104,27,2,2,69638;70670,36.682098388671875,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:114,27,3,3,83235;83236;83239,25.001649856567383,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:15:5,27,4,4,74106;75138;76170;77204,33.9156494140625,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:96,28,1,1,76076,37.1013069152832,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:98,28,1,1,73997,42.04274368286133,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:104,28,2,2,69639;70671,36.905601501464844,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:18:8,28,2,2,67558;67563,29.977445602416992,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:90,29,2,2,70053;70058,48.6846923828125,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:94,29,4,4,71287;72315;72316;72318,44.140769958496094,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:96,29,4,4,74010;75042;76074;76076,37.09052658081055,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:98,29,1,1,73997,42.11574935913086,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:104,29,3,3,69639;70671;71703,37.10950469970703,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:254:8,29,4,4,70252;70253;71285;72317,42.69288635253906,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:94,30,2,2,72316;72319,43.909767150878906,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:97,30,2,2,72988;72989,47.316490173339844,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:98,30,3,3,72996;73994;75026,42.520748138427734,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:104,30,3,3,69639;70671;71703,37.40150451660156,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:18:8,30,2,2,67562;68591,29.832834243774414,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:254:9,30,3,3,71283;74346;75378,41.463748931884766,72,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:66,31,2,2,73364;76428,33.06215286254883,73,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:94,31,1,1,71288,44.59450149536133,73,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:97,31,2,2,72987;73985,47.31036376953125,73,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:104,31,1,1,70671,37.69750213623047,73,train/branched_low_rough_4,19,train/branched_low_rough_6
206:18:4,31,4,4,71294;71296;71300;72327,48.30088424682617,73,train/branched_low_rough_4,19,train/branched_low_rough_6
206:18:8,31,1,1,67560,30.050445556640625,73,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:94,32,3,3,71288;72316;72319,43.93227005004883,71,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:96,32,3,3,73000;75036;75037,36.810550689697266,71,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:97,32,1,1,73985,47.21074676513672,71,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:98,32,2,2,75024;75026,42.0340461730957,71,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:104,32,3,3,69638;70670;71702,37.9114990234375,71,train/branched_low_rough_4,19,train/branched_low_rough_6
206:18:8,32,1,1,67561,30.34344482421875,71,train/branched_low_rough_4,19,train/branched_low_rough_6
206:254:8,32,3,3,70254;71285;72317,42.13349914550781,71,train/branched_low_rough_4,19,train/branched_low_rough_6
206:254:14,32,2,2,69057;70057,38.48432159423828,71,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:66,33,3,3,73364;73365;76428,33.213993072509766,75,train/branched_low_rough_4,20,train/branched_low_rough_6
206:10:94,33,2,2,71288;72321,43.344886779785156,75,train/branched_low_rough_4,20,train/branched_low_rough_6
206:10:96,33,1,1,73996,39.08675003051758,75,train/branched_low_rough_4,20,train/branched_low_rough_6
206:10:97,33,2,2,72985;73983,47.277366638183594,75,train/branched_low_rough_4,20,train/branched_low_rough_6
206:18:8,33,2,2,67559;68593,31.22983169555664,75,train/branched_low_rough_4,20,train/branched_low_rough_6
206:254:7,33,4,4,88292;89319;90318;90319,16.959434509277344,75,train/branched_low_rough_4,20,train/branched_low_rough_6
206:255:6,33,1,1,82204,24.580846786499023,75,train/branched_low_rough_4,20,train/branched_low_rough_6
206:10:67,34,2,2,71310;74374,36.63063049316406,74,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:90,34,4,4,65955;68019;68021;69053,47.95143127441406,74,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:94,34,2,2,71287;72319,43.810386657714844,74,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:96,34,2,2,73995;75036,37.708152770996094,74,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:97,34,2,2,72982;72983,47.236488342285156,74,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:98,34,2,2,72991;73991,41.803871154785156,74,train/branched_low_rough_4,19,train/branched_low_rough_6
206:18:8,34,1,1,68592,30.847225189208984,74,train/branched_low_rough_4,19,train/branched_low_rough_6
206:254:6,34,4,4,33872;33873;36936;37968,29.854625701904297,74,train/branched_low_rough_4,19,train/branched_low_rough_6
206:254:8,34,1,1,73349,41.88299560546875,74,train/branched_low_rough_4,19,train/branched_low_rough_6
206:254:14,34,3,3,65960;66992;68024,38.170440673828125,74,train/branched_low_rough_4,19,train/branched_low_rough_6
206:10:66,35,2,2,77459;77466,32.767547607421875,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:90,35,4,4,68017;68018;69046;69050,46.5015754699707,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:98,35,3,3,72986;73986;73988,42.173744201660156,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:104,35,2,2,70667;71699,38.638389587402344,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:18:8,35,1,1,69623,31.044944763183594,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:254:14,35,3,3,65958;69053;70053,38.16364669799805,77,train/branched_low_rough_4,21,train/branched_low_rough_6
206:10:66,36,3,3,73362;76431;77465,32.8783073425293,82,train/branched_low_rough_4,25,train/branched_low_rough_6
206:10:97,36,1,1,71946,47.263267517089844,82,train/branched_low_rough_4,25,train/branched_low_rough_6
206:10:98,36,3,3,71952;71953;73985,41.8642692565918,82,train/branched_low_rough_4,25,train/branched_low_rough_6
206:10:104,36,1,1,71697,38.83527374267578,82,train/branched_low_rough_4,25,train/branched_low_rough_6
206:18:8,36,1,1,69620,31.331947326660156,82,train/branched_low_rough_4,25,train/branched_low_rough_6
206:254:6,36,3,3,34900;37965;37966,30.240718841552734,82,train/branched_low_rough_4,25,train/branched_low_rough_6
206:254:9,36,2,2,70246;71277,40.6051025390625,82,train/branched_low_rough_4,25,train/branched_low_rough_6
206:254:14,36,1,1,65955,38.00864791870117,82,train/branched_low_rough_4,25,train/branched_low_rough_6
206:10:66,37,3,3,75398;76425;77462,32.970550537109375,85,train/branched_low_rough_4,25,train/branched_low_rough_6
206:10:97,37,1,1,71943,47.23426818847656,85,train/branched_low_rough_4,25,train/branched_low_rough_6
206:10:98,37,1,1,71949,41.899269104003906,85,train/branched_low_rough_4,25,train/branched_low_rough_6
206:10:104,37,2,2,71695;72727,39.09113311767578,85,train/branched_low_rough_4,25,train/branched_low_rough_6
206:18:8,37,1,1,70619,31.5387020111084,85,train/branched_low_rough_4,25,train/branched_low_rough_6
206:254:7,37,3,3,87249;88281;89313,17.62744903564453,85,train/branched_low_rough_4,25,train/branched_low_rough_6
206:254:9,37,1,1,70244,40.45370101928711,85,train/branched_low_rough_4,25,train/branched_low_rough_6
206:254:14,37,2,2,64953;65952,37.930267333984375,85,train/branched_low_rough_4,25,train/branched_low_rough_6
206:10:66,38,3,3,74365;75392;76430,33.14775466918945,86,train/branched_low_rough_4,27,train/branched_low_rough_6
206:10:94,38,2,2,71282;71283,41.55149841308594,86,train/branched_low_rough_4,27,train/branched_low_rough_6
206:10:96,38,1,1,77088,37.38404083251953,86,train/branched_low_rough_4,27,train/branched_low_rough_6
206:10:97,38,2,2,72971;72972,47.19248962402344,86,train/branched_low_rough_4,27,train/branched_low_rough_6
206:10:104,38,2,2,72725;74747,39.40237045288086,86,train/branched_low_rough_4,27,train/branched_low_rough_6
206:18:4,38,2,2,70257;70258,46.97919464111328,86,train/branched_low_rough_4,27,train/branched_low_rough_6
206:18:8,38,1,1,70616,31.661701202392578,86,train/branched_low_rough_4,27,train/branched_low_rough_6
206:254:6,38,3,3,40022;40023;40024,30.84723472595215,86,train/branched_low_rough_4,27,train/branched_low_rough_6
206:254:9,38,3,3,69242;69243;71274,40.2789421081543,86,train/branched_low_rough_4,27,train/branched_low_rough_6
206:254:14,38,1,1,65950,37.89164733886719,86,train/branched_low_rough_4,27,train/branched_low_rough_6
206:10:66,39,2,2,75389;76426,31.70193099975586,89,train/branched_low_rough_4,28,train/branched_low_rough_6
206:10:68,39,1,1,72340,41.383270263671875,89,train/branched_low_rough_4,28,train/branched_low_rough_6
206:10:94,39,1,1,70248,41.505699157714844,89,train/branched_low_rough_4,28,train/branched_low_rough_6
206:10:96,39,3,3,75021;76053;78083,36.810794830322266,89,train/branched_low_rough_4,28,train/branched_low_rough_6
206:10:97,39,3,3,72968;73966;73968,47.31999588012695,89,train/branched_low_rough_4,28,train/branched_low_rough_6
206:10:104,39,1,1,74744,39.726741790771484,89,train/branched_low_rough_4,28,train/branched_low_rough_6
206:18:4,39,2,2,69256;70257,46.662315368652344,89,train/branched_low_rough_4,28,train/branched_low_rough_6
206:18:8,39,2,2,70614;71647,32.53810119628906,89,train/branched_low_rough_4,28,train/branched_low_rough_6
206:254:6,39,2,2,40021;41021,31.078128814697266,89,train/branched_low_rough_4,28,train/branched_low_rough_6
206:254:9,39,3,3,68208;68209;69241,40.232215881347656,89,train/branched_low_rough_4,28,train/branched_low_rough_6
206:10:67,40,4,4,72330;72331;72332;72333,35.47927474975586,94,train/branched_low_rough_4,27,train/branched_low_rough_6
206:10:68,40,1,1,72338,41.07326889038086,94,train/branched_low_rough_4,27,train/branched_low_rough_6
206:10:90,40,2,2,66971;69037,46.09268569946289,94,train/branched_low_rough_4,27,train/branched_low_rough_6
206:10:94,40,1,1,70246,41.29069519042969,94,train/branched_low_rough_4,27,train/branched_low_rough_6
206:10:104,40,1,1,72720,39.71499252319336,94,train/branched_low_rough_4,27,train/branched_low_rough_6
206:18:4,40,2,2,69251;69252,46.779441833496094,94,train/branched_low_rough_4,27,train/branched_low_rough_6
206:18:8,40,2,2,70612;71645,32.75110626220703,94,train/branched_low_rough_4,27,train/branched_low_rough_6
206:254:6,40,3,3,41017;41019;41020,31.27802276611328,94,train/branched_low_rough_4,27,train/branched_low_rough_6
206:10:66,41,3,3,71289;76417;76422,32.04350662231445,99,train/branched_low_rough_4,30,train/branched_low_rough_6
206:10:67,41,4,4,72328;72329;72330;75395,35.38527297973633,99,train/branched_low_rough_4,30,train/branched_low_rough_6
206:10:97,41,3,3,73961;74993;76025,47.26454544067383,99,train/branched_low_rough_4,30,train/branched_low_rough_6
206:10:104,41,2,2,72717;74739,39.95787048339844,99,train/branched_low_rough_4,30,train/branched_low_rough_6
206:18:4,41,3,3,69252;70250;70252,46.38493728637695,99,train/branched_low_rough_4,30,train/branched_low_rough_6
206:18:8,41,1,1,70609,32.225704193115234,99,train/branched_low_rough_4,30,train/branched_low_rough_6
206:254:6,41,2,2,41016;41017,31.518522262573242,99,train/branched_low_rough_4,30,train/branched_low_rough_6
206:10:67,42,4,4,72326;72327;72328;75393,35.22727584838867,100,train/branched_low_rough_4,31,train/branched_low_rough_6
206:10:98,42,2,2,73965;74998,41.81964874267578,100,train/branched_low_rough_4,31,train/branched_low_rough_6
206:10:104,42,1,1,74736,40.19575119018555,100,train/branched_low_rough_4,31,train/branched_low_rough_6
206:18:4,42,2,2,69248;70248,46.45981979370117,100,train/branched_low_rough_4,31,train/branched_low_rough_6
206:18:8,42,2,2,70606;71640,32.30860137939453,100,train/branched_low_rough_4,31,train/branched_low_rough_6
206:254:6,42,1,1,42044,31.922868728637695,100,train/branched_low_rough_4,31,train/branched_low_rough_6
206:254:8,42,1,1,68204,40.91921615600586,100,train/branched_low_rough_4,31,train/branched_low_rough_6
206:10:67,43,4,4,72324;72325;72326;75391,35.134273529052734,98,train/branched_low_rough_4,31,train/branched_low_rough_6
206:10:90,43,1,1,69025,44.89493942260742,98,train/branched_low_rough_4,31,train/branched_low_rough_6
206:10:104,43,3,3,72712;74733;75765,40.339542388916016,98,train/branched_low_rough_4,31,train/branched_low_rough_6
206:18:4,43,2,2,69246;70246,46.225318908691406,98,train/branched_low_rough_4,31,train/branched_low_rough_6
206:18:8,43,1,1,71637,32.51350402832031,98,train/branched_low_rough_4,31,train/branched_low_rough_6
206:254:8,43,1,1,68202,40.90121841430664,98,train/branched_low_rough_4,31,train/branched_low_rough_6
206:10:66,44,2,2,74352;77442,31.401901245117188,103,train/branched_low_rough_4,31,train/branched_low_rough_6
206:10:104,44,3,3,72709;74730;75762,40.47174835205078,103,train/branched_low_rough_4,31,train/branched_low_rough_6
206:18:4,44,2,2,69241;70245,46.18381881713867,103,train/branched_low_rough_4,31,train/branched_low_rough_6
206:18:8,44,2,2,71634;72667,32.645389556884766,103,train/branched_low_rough_4,31,train/branched_low_rough_6
206:254:8,44,1,1,69231,40.81793975830078,103,train/branched_low_rough_4,31,train/branched_low_rough_6
206:10:66,45,1,1,75376,30.352554321289062,106,train/branched_low_rough_4,33,train/branched_low_rough_6
