联合条件,分组编码,帧数,全距离异常点数,范围内异常点数,序列数,正实例标识数,序列标识,序列与实例标识,覆盖状态
点数×距离×历史可见扫描数,1|2|3,70,125,125,7,9,"137,138,140,142,147,151,152","137:3,138:4,138:5,140:1,142:2,142:3,147:2,151:1,152:1",有覆盖
点数×距离×历史可见扫描数,1|2|4,442,1223,1223,17,25,"137,138,139,140,142,143,144,145,146,147,148,149,150,151,152,153,169","137:3,138:4,138:5,139:7,140:1,142:2,143:3,144:2,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,152:1,153:30550,153:30551,169:1",有覆盖
点数×距离×历史可见扫描数,1|3|0,10,10,10,7,7,"137,138,142,143,148,151,152","137:3,138:5,142:2,143:3,148:2,151:1,152:1",有覆盖
点数×距离×历史可见扫描数,1|3|1,20,34,34,9,9,"137,138,140,142,143,148,149,151,152","137:3,138:5,140:1,142:2,143:3,148:2,149:3,151:1,152:1",有覆盖
点数×距离×历史可见扫描数,1|3|2,38,57,56,10,11,"137,138,140,142,143,146,148,149,151,152","137:3,138:4,138:5,140:1,142:2,143:3,146:2,148:2,149:3,151:1,152:1",有覆盖
点数×距离×历史可见扫描数,1|3|3,85,141,141,14,15,"137,138,139,140,142,143,146,147,148,149,150,151,152,169","137:3,138:5,139:7,140:1,142:2,143:3,146:2,147:2,148:2,149:2,149:3,150:4,151:1,152:1,169:1",有覆盖
点数×距离×历史可见扫描数,1|3|4,340,739,738,17,25,"137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,153,169","137:3,138:4,138:5,139:7,140:1,141:4,142:2,143:3,144:2,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,153:30550,153:30551,169:1",有覆盖
点数×距离×历史可见扫描数,2|0|0,5,48,48,5,5,"125,140,143,147,149","125:1,140:1,143:3,147:2,149:3",有覆盖
点数×距离×历史可见扫描数,2|0|1,1,14,14,1,1,125,125:1,有覆盖
点数×距离×历史可见扫描数,2|0|2,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,2|0|3,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,2|0|4,50,687,687,10,11,"125,137,140,141,142,143,147,150,151,152","125:1,137:3,140:1,141:5,142:2,142:3,143:3,147:2,150:4,151:1,152:1",有覆盖
点数×距离×历史可见扫描数,2|1|0,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,2|1|1,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,2|1|2,2,18,18,1,2,142,"142:2,142:3",有覆盖
点数×距离×历史可见扫描数,2|1|3,2,19,19,1,2,142,"142:2,142:3",有覆盖
点数×距离×历史可见扫描数,2|1|4,451,5018,5018,18,28,"125,137,138,139,140,142,143,144,145,146,147,148,149,150,151,152,153,169","125:1,137:3,138:4,138:5,139:7,140:1,142:2,142:3,143:3,144:2,144:3,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,152:1,153:30550,153:30551,169:1",有覆盖
点数×距离×历史可见扫描数,2|2|0,1,5,5,1,1,142,142:3,有覆盖
点数×距离×历史可见扫描数,2|2|1,1,8,8,1,1,142,142:3,有覆盖
点数×距离×历史可见扫描数,2|2|2,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,2|2|3,5,28,28,4,6,"138,140,142,147","138:4,138:5,140:1,142:2,142:3,147:2",有覆盖
点数×距离×历史可见扫描数,2|2|4,403,3503,3503,15,25,"138,139,140,141,143,144,145,146,147,148,149,150,151,153,169","138:4,138:5,139:7,140:1,141:4,141:5,143:3,144:2,144:3,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,153:30550,153:30551,169:1",有覆盖
点数×距离×历史可见扫描数,2|3|0,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,2|3|1,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,2|3|2,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,2|3|3,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,2|3|4,54,357,357,4,8,"141,150,153,169","141:4,141:5,150:2,150:3,150:4,153:30550,153:30551,169:1",有覆盖
点数×距离×历史可见扫描数,3|0|0,4,130,130,4,6,"138,139,148,150","138:4,138:5,139:7,148:2,150:3,150:4",有覆盖
点数×距离×历史可见扫描数,3|0|1,10,581,581,10,13,"137,138,140,141,143,147,148,149,150,152","137:3,138:4,138:5,140:1,141:4,143:3,147:2,148:2,149:3,150:2,150:3,150:4,152:1",有覆盖
点数×距离×历史可见扫描数,3|0|2,8,511,511,8,9,"125,137,138,140,141,147,148,152","125:1,137:3,138:4,138:5,140:1,141:4,147:2,148:2,152:1",有覆盖
点数×距离×历史可见扫描数,3|0|3,9,582,582,9,10,"125,137,138,139,140,143,147,148,152","125:1,137:3,138:4,138:5,139:7,140:1,143:3,147:2,148:2,152:1",有覆盖
点数×距离×历史可见扫描数,3|0|4,340,17590,17590,19,30,"125,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,169","125:1,137:3,138:4,138:5,139:7,140:1,141:4,141:5,142:2,142:3,143:3,144:2,144:3,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,152:1,153:30550,153:30551,169:1",有覆盖
点数×距离×历史可见扫描数,3|1|0,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,3|1|1,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,3|1|2,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,3|1|3,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,3|1|4,303,10546,10546,14,24,"125,138,139,141,143,144,145,146,147,148,149,150,153,169","125:1,138:4,138:5,139:7,141:4,141:5,143:3,144:2,144:3,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,153:30550,153:30551,169:1",有覆盖
点数×距离×历史可见扫描数,3|2|0,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,3|2|1,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,3|2|2,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,3|2|3,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,3|2|4,55,1261,1261,1,2,141,"141:4,141:5",有覆盖
点数×距离×历史可见扫描数,3|3|0,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,3|3|1,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,3|3|2,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,3|3|3,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,3|3|4,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,4|0|0,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,4|0|1,2,219,219,2,2,"139,169","139:7,169:1",有覆盖
点数×距离×历史可见扫描数,4|0|2,5,703,703,5,8,"139,143,149,150,169","139:7,143:3,149:2,149:3,150:2,150:3,150:4,169:1",有覆盖
点数×距离×历史可见扫描数,4|0|3,4,547,547,4,7,"141,149,150,169","141:4,149:2,149:3,150:2,150:3,150:4,169:1",有覆盖
点数×距离×历史可见扫描数,4|0|4,236,44407,44407,14,25,"125,138,139,141,142,143,144,145,147,148,149,150,153,169","125:1,138:4,138:5,139:7,141:4,141:5,142:2,142:3,143:3,144:2,144:3,144:4,144:5,145:1,145:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,153:30550,153:30551,169:1",有覆盖
点数×距离×历史可见扫描数,4|1|0,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,4|1|1,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,4|1|2,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,4|1|3,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,4|1|4,5,616,616,1,2,141,"141:4,141:5",有覆盖
点数×距离×历史可见扫描数,4|2|0,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,4|2|1,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,4|2|2,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,4|2|3,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,4|2|4,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,4|3|0,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,4|3|1,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,4|3|2,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,4|3|3,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,4|3|4,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,5|0|0,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,5|0|1,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,5|0|2,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,5|0|3,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,5|0|4,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,5|1|0,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,5|1|1,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,5|1|2,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,5|1|3,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,5|1|4,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,5|2|0,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,5|2|1,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,5|2|2,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,5|2|3,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,5|2|4,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,5|3|0,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,5|3|1,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,5|3|2,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,5|3|3,0,0,0,0,0,,,无覆盖
点数×距离×历史可见扫描数,5|3|4,0,0,0,0,0,,,无覆盖
混合比例×邻域背景,0|no_neighbor,1121,4888,4299,19,30,"125,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,169","125:1,137:3,138:4,138:5,139:7,140:1,141:4,141:5,142:2,142:3,143:3,144:2,144:3,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,152:1,153:30550,153:30551,169:1",有覆盖
混合比例×邻域背景,0|road_majority,1784,30686,30630,19,30,"125,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,169","125:1,137:3,138:4,138:5,139:7,140:1,141:4,141:5,142:2,142:3,143:3,144:2,144:3,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,152:1,153:30550,153:30551,169:1",有覆盖
混合比例×邻域背景,1|no_neighbor,5,50,50,3,6,"138,141,150","138:4,138:5,141:4,150:2,150:3,150:4",有覆盖
混合比例×邻域背景,1|road_majority,602,54554,54554,19,30,"125,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,169","125:1,137:3,138:4,138:5,139:7,140:1,141:4,141:5,142:2,142:3,143:3,144:2,144:3,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,152:1,153:30550,153:30551,169:1",有覆盖
混合比例×邻域背景,2|no_neighbor,5,23,23,5,5,"137,139,148,151,169","137:3,139:7,148:2,151:1,169:1",有覆盖
混合比例×邻域背景,2|road_majority,23,436,436,7,8,"139,141,142,147,148,152,169","139:7,141:5,142:2,142:3,147:2,148:2,152:1,169:1",有覆盖
混合比例×邻域背景,3|road_majority,1,1,1,1,1,152,152:1,有覆盖
混合比例×点数×距离,0|0|outside_only,465,643,0,18,26,"137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,169","137:3,138:4,139:7,140:1,141:4,141:5,142:2,143:3,144:2,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,152:1,153:30550,153:30551,169:1",有覆盖
混合比例×点数×距离,0|1|0,9,22,22,6,7,"125,137,141,148,152,169","125:1,137:3,141:4,141:5,148:2,152:1,169:1",有覆盖
混合比例×点数×距离,0|1|1,77,199,199,7,8,"137,140,142,147,148,151,152","137:3,140:1,142:2,142:3,147:2,148:2,151:1,152:1",有覆盖
混合比例×点数×距离,0|1|2,535,1375,1375,17,26,"137,138,139,140,142,143,144,145,146,147,148,149,150,151,152,153,169","137:3,138:4,138:5,139:7,140:1,142:2,142:3,143:3,144:2,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,152:1,153:30550,153:30551,169:1",有覆盖
混合比例×点数×距离,0|1|3,489,970,968,18,26,"137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,169","137:3,138:4,138:5,139:7,140:1,141:4,142:2,143:3,144:2,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,152:1,153:30550,153:30551,169:1",有覆盖
混合比例×点数×距离,0|2|0,30,364,364,11,12,"125,137,140,141,142,143,147,149,150,151,152","125:1,137:3,140:1,141:5,142:2,142:3,143:3,147:2,149:3,150:4,151:1,152:1",有覆盖
混合比例×点数×距离,0|2|1,406,4543,4543,18,28,"125,137,138,139,140,142,143,144,145,146,147,148,149,150,151,152,153,169","125:1,137:3,138:4,138:5,139:7,140:1,142:2,142:3,143:3,144:2,144:3,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,152:1,153:30550,153:30551,169:1",有覆盖
混合比例×点数×距离,0|2|2,391,3361,3361,16,27,"138,139,140,141,142,143,144,145,146,147,148,149,150,151,153,169","138:4,138:5,139:7,140:1,141:4,141:5,142:2,142:3,143:3,144:2,144:3,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,153:30550,153:30551,169:1",有覆盖
混合比例×点数×距离,0|2|3,54,357,357,4,8,"141,150,153,169","141:4,141:5,150:2,150:3,150:4,153:30550,153:30551,169:1",有覆盖
混合比例×点数×距离,0|3|0,124,6082,6082,17,27,"125,137,138,139,140,141,143,144,145,146,147,148,149,150,151,152,153","125:1,137:3,138:4,138:5,139:7,140:1,141:4,141:5,143:3,144:2,144:3,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,152:1,153:30550,153:30551",有覆盖
混合比例×点数×距离,0|3|1,228,7791,7791,14,24,"125,138,139,141,143,144,145,146,147,148,149,150,153,169","125:1,138:4,138:5,139:7,141:4,141:5,143:3,144:2,144:3,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,153:30550,153:30551,169:1",有覆盖
混合比例×点数×距离,0|3|2,54,1234,1234,1,2,141,"141:4,141:5",有覆盖
混合比例×点数×距离,0|4|0,41,8397,8397,7,12,"125,139,141,143,144,148,153","125:1,139:7,141:4,141:5,143:3,144:2,144:3,144:4,144:5,148:2,153:30550,153:30551",有覆盖
混合比例×点数×距离,0|4|1,2,236,236,1,2,141,"141:4,141:5",有覆盖
混合比例×点数×距离,1|1|1,1,4,4,1,1,142,142:2,有覆盖
混合比例×点数×距离,1|1|2,2,8,8,2,2,"150,152","150:4,152:1",有覆盖
混合比例×点数×距离,1|1|3,1,4,4,1,1,139,139:7,有覆盖
混合比例×点数×距离,1|2|0,21,328,328,5,6,"137,140,142,147,152","137:3,140:1,142:2,142:3,147:2,152:1",有覆盖
混合比例×点数×距离,1|2|1,45,487,487,14,22,"137,138,140,142,144,145,146,147,148,149,150,151,152,169","137:3,138:4,138:5,140:1,142:2,142:3,144:2,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,152:1,169:1",有覆盖
混合比例×点数×距离,1|2|2,15,157,157,8,14,"138,139,141,148,149,150,153,169","138:4,138:5,139:7,141:4,141:5,148:2,149:2,149:3,150:2,150:3,150:4,153:30550,153:30551,169:1",有覆盖
混合比例×点数×距离,1|3|0,237,12975,12975,19,30,"125,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,169","125:1,137:3,138:4,138:5,139:7,140:1,141:4,141:5,142:2,142:3,143:3,144:2,144:3,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,152:1,153:30550,153:30551,169:1",有覆盖
混合比例×点数×距离,1|3|1,75,2755,2755,13,23,"125,138,139,141,144,145,146,147,148,149,150,153,169","125:1,138:4,138:5,139:7,141:4,141:5,144:2,144:3,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,153:30550,153:30551,169:1",有覆盖
混合比例×点数×距离,1|3|2,1,27,27,1,2,141,"141:4,141:5",有覆盖
混合比例×点数×距离,1|4|0,206,37479,37479,14,25,"125,138,139,141,142,143,144,145,147,148,149,150,153,169","125:1,138:4,138:5,139:7,141:4,141:5,142:2,142:3,143:3,144:2,144:3,144:4,144:5,145:1,145:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,153:30550,153:30551,169:1",有覆盖
混合比例×点数×距离,1|4|1,3,380,380,1,2,141,"141:4,141:5",有覆盖
混合比例×点数×距离,2|1|2,3,8,8,3,3,"137,147,148","137:3,147:2,148:2",有覆盖
混合比例×点数×距离,2|1|3,2,6,6,2,2,"139,151","139:7,151:1",有覆盖
混合比例×点数×距离,2|2|0,5,57,57,1,1,142,142:2,有覆盖
混合比例×点数×距离,2|2|1,4,25,25,2,2,"142,152","142:2,152:1",有覆盖
混合比例×点数×距离,2|2|2,4,26,26,3,3,"139,148,169","139:7,148:2,169:1",有覆盖
混合比例×点数×距离,2|3|0,10,337,337,2,3,"141,142","141:5,142:2,142:3",有覆盖
混合比例×点数×距离,3|1|3,1,1,1,1,1,152,152:1,有覆盖
点数×距离×平移,0|outside_only|3,79,87,0,10,10,"139,140,141,143,145,147,148,150,152,153","139:7,140:1,141:5,143:3,145:1,147:2,148:2,150:4,152:1,153:30551",有覆盖
点数×距离×平移,0|outside_only|4,364,521,0,17,25,"137,138,139,140,141,142,143,144,145,146,147,149,150,151,152,153,169","137:3,138:4,139:7,140:1,141:4,141:5,142:2,143:3,144:2,144:4,144:5,145:1,145:2,146:2,147:2,149:2,149:3,150:2,150:3,150:4,151:1,152:1,153:30550,153:30551,169:1",有覆盖
点数×距离×平移,0|outside_only|5,22,35,0,1,1,169,169:1,有覆盖
点数×距离×平移,0|unseen|1,136,0,0,5,0,"125,141,146,148,150",,有覆盖
点数×距离×平移,0|unseen|2,241,0,0,9,0,"125,141,143,144,145,146,147,148,150",,有覆盖
点数×距离×平移,0|unseen|3,1668,0,0,17,0,"137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153",,有覆盖
点数×距离×平移,0|unseen|4,2696,0,0,18,0,"137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,169",,有覆盖
点数×距离×平移,0|unseen|5,301,0,0,1,0,169,,有覆盖
点数×距离×平移,1|0|1,2,5,5,1,1,141,141:5,有覆盖
点数×距离×平移,1|0|2,2,6,6,2,2,"125,141","125:1,141:4",有覆盖
点数×距离×平移,1|0|3,3,5,5,3,3,"137,148,152","137:3,148:2,152:1",有覆盖
点数×距离×平移,1|0|4,2,6,6,1,1,169,169:1,有覆盖
点数×距离×平移,1|1|2,11,33,33,1,1,152,152:1,有覆盖
点数×距离×平移,1|1|3,62,155,155,7,8,"137,140,142,147,148,151,152","137:3,140:1,142:2,142:3,147:2,148:2,151:1,152:1",有覆盖
点数×距离×平移,1|1|4,5,15,15,2,3,"140,142","140:1,142:2,142:3",有覆盖
点数×距离×平移,1|2|2,18,53,53,3,5,"147,150,152","147:2,150:2,150:3,150:4,152:1",有覆盖
点数×距离×平移,1|2|3,337,846,846,15,21,"137,138,139,140,142,143,144,145,146,147,148,149,150,151,152","137:3,138:4,138:5,139:7,140:1,142:2,143:3,144:2,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,152:1",有覆盖
点数×距离×平移,1|2|4,185,492,492,14,22,"137,138,139,140,142,143,144,145,146,147,149,150,153,169","137:3,138:4,138:5,139:7,140:1,142:2,142:3,143:3,144:2,144:4,144:5,145:1,145:2,146:2,147:2,149:2,149:3,150:3,150:4,153:30550,153:30551,169:1",有覆盖
点数×距离×平移,1|3|2,6,20,20,1,3,150,"150:2,150:3,150:4",有覆盖
点数×距离×平移,1|3|3,184,310,310,11,14,"138,139,140,141,143,144,148,149,150,151,152","138:5,139:7,140:1,141:4,143:3,144:2,144:5,148:2,149:3,150:2,150:3,150:4,151:1,152:1",有覆盖
点数×距离×平移,1|3|4,303,651,649,16,24,"137,138,139,140,141,142,143,144,145,146,147,149,150,151,153,169","137:3,138:4,138:5,139:7,140:1,141:4,142:2,143:3,144:2,144:4,144:5,145:1,145:2,146:2,147:2,149:2,149:3,150:2,150:3,150:4,151:1,153:30550,153:30551,169:1",有覆盖
点数×距离×平移,2|0|1,4,51,51,2,2,"125,141","125:1,141:5",有覆盖
点数×距离×平移,2|0|2,4,52,52,3,3,"125,143,150","125:1,143:3,150:4",有覆盖
点数×距离×平移,2|0|3,48,646,646,8,9,"137,140,142,143,147,149,151,152","137:3,140:1,142:2,142:3,143:3,147:2,149:3,151:1,152:1",有覆盖
点数×距离×平移,2|1|0,3,52,52,1,1,125,125:1,有覆盖
点数×距离×平移,2|1|1,2,38,38,1,1,125,125:1,有覆盖
点数×距离×平移,2|1|2,6,33,33,1,1,152,152:1,有覆盖
点数×距离×平移,2|1|3,359,3929,3929,16,26,"137,138,139,140,142,143,144,145,146,147,148,149,150,151,152,153","137:3,138:4,138:5,139:7,140:1,142:2,142:3,143:3,144:2,144:3,144:4,144:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1,152:1,153:30550,153:30551",有覆盖
点数×距离×平移,2|1|4,85,1003,1003,9,17,"138,139,140,142,143,144,150,153,169","138:4,138:5,139:7,140:1,142:2,142:3,143:3,144:2,144:3,144:4,144:5,150:2,150:3,150:4,153:30550,153:30551,169:1",有覆盖
点数×距离×平移,2|2|0,17,314,314,1,2,141,"141:4,141:5",有覆盖
点数×距离×平移,2|2|1,10,172,172,1,2,141,"141:4,141:5",有覆盖
点数×距离×平移,2|2|2,18,268,268,3,5,"141,147,150","141:4,141:5,147:2,150:2,150:4",有覆盖
点数×距离×平移,2|2|3,222,1760,1760,11,17,"138,139,140,141,145,146,147,148,149,150,151","138:4,138:5,139:7,140:1,141:4,141:5,145:1,145:2,146:2,147:2,148:2,149:2,149:3,150:2,150:3,150:4,151:1",有覆盖
点数×距离×平移,2|2|4,143,1030,1030,12,21,"138,139,140,141,142,143,144,145,146,149,153,169","138:4,138:5,139:7,140:1,141:4,141:5,142:2,142:3,143:3,144:2,144:3,144:4,144:5,145:1,145:2,146:2,149:2,149:3,153:30550,153:30551,169:1",有覆盖
点数×距离×平移,2|3|2,6,31,31,1,2,150,"150:2,150:4",有覆盖
点数×距离×平移,2|3|3,19,136,136,2,4,"141,150","141:4,141:5,150:2,150:4",有覆盖
点数×距离×平移,2|3|4,29,190,190,4,8,"141,150,153,169","141:4,141:5,150:2,150:3,150:4,153:30550,153:30551,169:1",有覆盖
点数×距离×平移,3|0|1,24,958,958,3,3,"125,141,151","125:1,141:5,151:1",有覆盖
