序列,统计量,分组,权重,五位模式,可见或命中位数,原始数量,分母,比例,有效窗口数,序列数
全部,扫描命中五位编码,全部,有适用观测的序列等权,00111,3,27374547,2352383508,0.012053692389518578,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,01000,1,309847007,2352383508,0.1298326113027351,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,01001,2,30115540,2352383508,0.013082891631947095,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,01010,2,32626560,2352383508,0.01406521000341434,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,01011,3,15575856,2352383508,0.006878058887493043,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,01100,2,44443633,2352383508,0.019022337189544887,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,01101,3,14185271,2352383508,0.006259450833124719,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,01110,3,19068186,2352383508,0.008349251877651342,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,01111,4,24102692,2352383508,0.010816256392425899,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,10000,1,340615527,2352383508,0.1429357793118055,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,10001,2,28182652,2352383508,0.01230108518285532,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,10010,2,29663754,2352383508,0.012888999517714385,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,10011,3,13464810,2352383508,0.005985312607883328,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,10100,2,36261601,2352383508,0.01565907772315767,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,10101,3,11410857,2352383508,0.005055816310604252,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,10110,3,14257762,2352383508,0.0062857787697081025,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,10111,4,15787222,2352383508,0.007105110615014379,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,11000,2,59244128,2352383508,0.025492805548669298,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,11001,3,13072283,2352383508,0.005811920818154673,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,11010,3,15061671,2352383508,0.006649676360349305,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,11011,4,14482210,2352383508,0.006517481386195576,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,11100,3,27882745,2352383508,0.012281179473101991,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,11101,4,15379266,2352383508,0.006914508212210916,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,11110,4,24130611,2352383508,0.0108151201319997,8583,19
全部,扫描命中五位编码,全部,有适用观测的序列等权,11111,5,79101072,2352383508,0.03580873131361445,8583,19
全部,扫描命中五位编码：按位数汇总,全部,有适用观测的序列等权,合计0个扫描,0,0,2352383508,0,8583,19
全部,扫描命中五位编码：按位数汇总,全部,有适用观测的序列等权,合计1个扫描,1,1607991308,2352383508,0.6739407405537222,8583,19
全部,扫描命中五位编码：按位数汇总,全部,有适用观测的序列等权,合计2个扫描,2,400055139,2352383508,0.17247191306722737,8583,19
全部,扫描命中五位编码：按位数汇总,全部,有适用观测的序列等权,合计3个扫描,3,171353988,2352383508,0.07561013832758934,8583,19
全部,扫描命中五位编码：按位数汇总,全部,有适用观测的序列等权,合计4个扫描,4,93882001,2352383508,0.04216847673784647,8583,19
全部,扫描命中五位编码：按位数汇总,全部,有适用观测的序列等权,合计5个扫描,5,79101072,2352383508,0.03580873131361445,8583,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,00000,0,0,75412,0.0,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,00001,1,31126,75412,0.7263294473030246,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,00010,1,0,75412,0.0,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,00011,2,6089,75412,0.051796768980993425,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,00100,1,0,75412,0.0,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,00101,2,3784,75412,0.03462606644917505,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,00110,2,0,75412,0.0,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,00111,3,3308,75412,0.016924678891135202,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,01000,1,0,75412,0.0,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,01001,2,3172,75412,0.030399230261435366,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,01010,2,0,75412,0.0,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,01011,3,1789,75412,0.009616024581878116,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,01100,2,0,75412,0.0,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,01101,3,1725,75412,0.009135770797215649,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,01110,3,0,75412,0.0,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,01111,4,3050,75412,0.01206548667093643,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,10000,1,0,75412,0.0,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,10001,2,2981,75412,0.028839613395088667,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,10010,2,0,75412,0.0,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,10011,3,1599,75412,0.008810570364462028,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,10100,2,0,75412,0.0,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,10101,3,1446,75412,0.009087353816963666,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,10110,3,0,75412,0.0,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,10111,4,2056,75412,0.008611209926895961,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,11000,2,0,75412,0.0,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,11001,3,1531,75412,0.008104011884367362,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,11010,3,0,75412,0.0,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,11011,4,1872,75412,0.0077938707617756274,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,11100,3,0,75412,0.0,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,11101,4,1971,75412,0.008081433137934246,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,11110,4,0,75412,0.0,3541,19
全部,扫描命中五位编码,当前异常占据体素,有适用观测的帧等权,11111,5,7913,75412,0.029778462776718636,3541,19
