因素,组,因素或联合条件,206训练,201合成验证,真实开发,覆盖与可靠性,差异类型,可调整环节,解释边界
B05,几何,可见实例数与尺寸,可见水平长边(全部): P5/P25/P50/P75/P95=0.280266/0.357828/0.501297/0.573921/0.674515；有效380/652，380帧，3世界或序列；可见水平短边(全部): P5/P25/P50/P75/P95=0.0806704/0.120608/0.406797/0.46633/0.522749；有效380/652，380帧，3世界或序列；可见竖向跨度(全部): P5/P25/P50/P75/P95=0.258816/0.392926/0.630395/0.886991/0.979421；有效380/652，380帧，3世界或序列,可见水平长边(全部): P5/P25/P50/P75/P95=0.393278/0.458982/0.489159/0.522479/0.568396；有效241/543，241帧，2世界或序列；可见水平短边(全部): P5/P25/P50/P75/P95=0.219637/0.298489/0.346903/0.394505/0.457036；有效241/543，241帧，2世界或序列；可见竖向跨度(全部): P5/P25/P50/P75/P95=0.200156/0.269485/0.607999/0.667784/0.720462；有效241/543，241帧，2世界或序列,可见水平长边(全部): P5/P25/P50/P75/P95=0.200817/0.384369/0.528245/0.795876/0.947136；有效1611/4729，1373帧，19世界或序列；可见水平短边(全部): P5/P25/P50/P75/P95=0.112789/0.219485/0.33268/0.570341/0.846543；有效1611/4729，1373帧，19世界或序列；可见竖向跨度(全部): P5/P25/P50/P75/P95=0.0759664/0.16197/0.224853/0.360583/0.614381；有效1611/4729，1373帧，19世界或序列,"206训练:实例帧652，形状{'fewer_than_10_distinct_returns': 272, 'reliable_visible_extent': 380}，地面{'fewer_than_20_ground_returns': 199, 'insufficient_plane_inliers': 5, 'local_plane_proxy': 405, 'plane_fit_or_spatial_support_unreliable': 43}，未知身份点0；201合成验证:实例帧543，形状{'fewer_than_10_distinct_returns': 302, 'reliable_visible_extent': 241}，地面{'fewer_than_20_ground_returns': 295, 'local_plane_proxy': 239, 'no_ground_support': 2, 'plane_fit_or_spatial_support_unreliable': 7}，未知身份点0；真实开发:实例帧4729，形状{'fewer_than_10_distinct_returns': 3118, 'reliable_visible_extent': 1611}，地面{'fewer_than_20_ground_returns': 1469, 'insufficient_plane_inliers': 26, 'local_plane_proxy': 2202, 'plane_fit_or_spatial_support_unreliable': 1032}，未知身份点1",观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,无有效实例ID标不可判定，不自动聚成一个物体
B06,几何,局部形态与采样疏密,同实例最近邻距(全部): P5/P25/P50/P75/P95=0.0224163/0.0360478/0.0540931/0.109663/0.184139；有效16582/16682，552帧，4世界或序列,同实例最近邻距(全部): P5/P25/P50/P75/P95=0.0323173/0.0594124/0.0744625/0.105808/0.175841；有效10666/10788，421帧，2世界或序列,同实例最近邻距(全部): P5/P25/P50/P75/P95=0.0247243/0.0331276/0.0435247/0.072195/0.176823；有效89684/90739，2903帧，19世界或序列,"206训练:实例帧652，形状{'fewer_than_10_distinct_returns': 272, 'reliable_visible_extent': 380}，地面{'fewer_than_20_ground_returns': 199, 'insufficient_plane_inliers': 5, 'local_plane_proxy': 405, 'plane_fit_or_spatial_support_unreliable': 43}，未知身份点0；201合成验证:实例帧543，形状{'fewer_than_10_distinct_returns': 302, 'reliable_visible_extent': 241}，地面{'fewer_than_20_ground_returns': 295, 'local_plane_proxy': 239, 'no_ground_support': 2, 'plane_fit_or_spatial_support_unreliable': 7}，未知身份点0；真实开发:实例帧4729，形状{'fewer_than_10_distinct_returns': 3118, 'reliable_visible_extent': 1611}，地面{'fewer_than_20_ground_returns': 1469, 'insufficient_plane_inliers': 26, 'local_plane_proxy': 2202, 'plane_fit_or_spatial_support_unreliable': 1032}，未知身份点1",观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,稀疏估计须记录样本数，不将缺测填零
B07,几何,扫描角度覆盖与缺口,可见方位角跨度(全部): P5/P25/P50/P75/P95=0.0187183/0.0250492/0.0368155/0.0376678/0.0494577；有效380/652，380帧，3世界或序列,可见方位角跨度(全部): P5/P25/P50/P75/P95=0.0192143/0.0253431/0.031486/0.0490874/0.0741669；有效241/543，241帧，2世界或序列,可见方位角跨度(全部): P5/P25/P50/P75/P95=0.0238927/0.0309516/0.0433896/0.0680264/0.16584；有效1611/4729，1373帧，19世界或序列,"206训练:实例帧652，形状{'fewer_than_10_distinct_returns': 272, 'reliable_visible_extent': 380}，地面{'fewer_than_20_ground_returns': 199, 'insufficient_plane_inliers': 5, 'local_plane_proxy': 405, 'plane_fit_or_spatial_support_unreliable': 43}，未知身份点0；201合成验证:实例帧543，形状{'fewer_than_10_distinct_returns': 302, 'reliable_visible_extent': 241}，地面{'fewer_than_20_ground_returns': 295, 'local_plane_proxy': 239, 'no_ground_support': 2, 'plane_fit_or_spatial_support_unreliable': 7}，未知身份点0；真实开发:实例帧4729，形状{'fewer_than_10_distinct_returns': 3118, 'reliable_visible_extent': 1611}，地面{'fewer_than_20_ground_returns': 1469, 'insufficient_plane_inliers': 26, 'local_plane_proxy': 2202, 'plane_fit_or_spatial_support_unreliable': 1032}，未知身份点1",观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,未经光束校准仅报角度，不伪造beam/ring ID
C01,强度,逐点强度,原始逐点强度(正常): P5/P25/P50/P75/P95=0.03/0.0974286/0.191429/0.346571/0.639714；有效219030617/219030617，1796帧，4世界或序列；原始逐点强度(异常): P5/P25/P50/P75/P95=0.0865714/0.149714/0.251143/0.306/0.534；有效16682/16682，652帧，4世界或序列,原始逐点强度(正常): P5/P25/P50/P75/P95=0.0277143/0.0745714/0.153143/0.312286/0.609143；有效99588057/99588057，1364帧，2世界或序列；原始逐点强度(异常): P5/P25/P50/P75/P95=0.114286/0.209143/0.323429/0.447714/0.596571；有效10788/10788，543帧，2世界或序列,原始逐点强度(正常): P5/P25/P50/P75/P95=0.0282857/0.115714/0.238/0.438286/0.773143；有效744037182/744037182，8659帧，19世界或序列；原始逐点强度(异常): P5/P25/P50/P75/P95=0.01/0.0651429/0.171714/0.326857/0.608286；有效90739/90739，3545帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,强度生成；当前不优先,子集不能推广为全部19条分布
C02,强度,离散网格、零值与边界,正常零强度0.000000%；k/3500精确匹配100.000000%；重复取值点100.000000%；异常零强度0.000000%；k/3500精确匹配100.000000%；重复取值点98.063781%；忽略零强度0.000000%；k/3500精确匹配100.000000%；重复取值点100.000000%,正常零强度0.000000%；k/3500精确匹配100.000000%；重复取值点100.000000%；异常零强度0.000000%；k/3500精确匹配100.000000%；重复取值点96.950315%；忽略零强度0.000000%；k/3500精确匹配100.000000%；重复取值点100.000000%,正常零强度0.000000%；k/3500精确匹配100.000000%；重复取值点99.999981%；异常零强度0.000000%；k/3500精确匹配100.000000%；重复取值点99.563583%；忽略零强度0.000000%；k/3500精确匹配100.000000%；重复取值点99.999976%,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,强度生成；当前不优先,不是官方硬件量化规格；不对输入吸附
C03,强度,强度×逐点距离,63个原有逐点距离×类别条件；全量连续统计保留各组原始、帧、世界或序列权重,63个原有逐点距离×类别条件；全量连续统计保留各组原始、帧、世界或序列权重,63个原有逐点距离×类别条件；全量连续统计保留各组原始、帧、世界或序列权重,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,强度生成；当前不优先,均值离开离散网格不算格式错误
C04,强度,异常/邻近背景强度对比,异常强度减邻域正常均值(全部): P5/P25/P50/P75/P95=-0.114974/-0.0100552/0.0585442/0.139975/0.264667；有效12786/16682，351帧，4世界或序列；邻域正常强度方差(全部): P5/P25/P50/P75/P95=3.85782e-05/0.000425861/0.00456961/0.015569/0.0234009；有效12786/16682，351帧，4世界或序列,异常强度减邻域正常均值(全部): P5/P25/P50/P75/P95=-0.00824675/0.0824446/0.162781/0.3068/0.477238；有效6168/10788，226帧，2世界或序列；邻域正常强度方差(全部): P5/P25/P50/P75/P95=2.06984e-05/0.000131395/0.000488955/0.00109764/0.00437617；有效6168/10788，226帧，2世界或序列,异常强度减邻域正常均值(全部): P5/P25/P50/P75/P95=-0.05924/0.00599605/0.102421/0.244024/0.49596；有效68155/90739，2029帧，19世界或序列；邻域正常强度方差(全部): P5/P25/P50/P75/P95=5.64657e-05/0.000343926/0.00131338/0.00424954/0.0188928；有效68155/90739，2029帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,强度生成；当前不优先,邻域及距离条件固定后计算
D01,背景,正常语义构成,建筑=91293200/219030617；植被=47677203/219030617；道路=36478925/219030617；围栏=14400426/219030617；树干=7423966/219030617,植被=32210510/99588057；人行道=21240283/99588057；道路=17844400/99588057；建筑=14151664/99588057；地形=4239592/99588057,道路=680620528/744037182；建筑=38170213/744037182；植被=14425421/744037182；围栏=4022793/744037182；汽车=3925091/744037182,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,标签用于统计，不进入推理特征
D02,背景,异常与地面/周边结构关系,最近正常点距离(全部): P5/P25/P50/P75/P95=0.102303/0.213858/0.318039/0.432779/1.03807；有效16682/16682，652帧，4世界或序列；可见点离地高度中位数(全部): P5/P25/P50/P75/P95=0.185251/0.333604/0.403019/0.639813/0.749002；有效405/652，405帧，4世界或序列,最近正常点距离(全部): P5/P25/P50/P75/P95=0.122729/0.244792/0.414542/0.618598/1.22519；有效10788/10788，543帧，2世界或序列；可见点离地高度中位数(全部): P5/P25/P50/P75/P95=0.169296/0.203023/0.419538/0.448544/0.501981；有效239/543，239帧，2世界或序列,最近正常点距离(全部): P5/P25/P50/P75/P95=0.0556328/0.137678/0.239886/0.44187/0.970505；有效90739/90739，3545帧，19世界或序列；可见点离地高度中位数(全部): P5/P25/P50/P75/P95=0.0609403/0.0982541/0.155762/0.203219/0.33067；有效2202/4729，1515帧，16世界或序列,"206训练:实例帧652，形状{'fewer_than_10_distinct_returns': 272, 'reliable_visible_extent': 380}，地面{'fewer_than_20_ground_returns': 199, 'insufficient_plane_inliers': 5, 'local_plane_proxy': 405, 'plane_fit_or_spatial_support_unreliable': 43}，未知身份点0；201合成验证:实例帧543，形状{'fewer_than_10_distinct_returns': 302, 'reliable_visible_extent': 241}，地面{'fewer_than_20_ground_returns': 295, 'local_plane_proxy': 239, 'no_ground_support': 2, 'plane_fit_or_spatial_support_unreliable': 7}，未知身份点0；真实开发:实例帧4729，形状{'fewer_than_10_distinct_returns': 3118, 'reliable_visible_extent': 1611}，地面{'fewer_than_20_ground_returns': 1469, 'insufficient_plane_inliers': 26, 'local_plane_proxy': 2202, 'plane_fit_or_spatial_support_unreliable': 1032}，未知身份点1",观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,无可靠地面时不可将z冒充离地高度
E01,时序,五帧异常支持量,历史可见扫描数(全部): P5/P25/P50/P75/P95=0/0/0/4/4；有效1780/1780，1780帧，4世界或序列；历史异常点占五帧异常点比例(全部): P5/P25/P50/P75/P95=0.333333/0.767225/0.8/0.853659/1；有效817/1780，817帧，4世界或序列,历史可见扫描数(全部): P5/P25/P50/P75/P95=0/0/0/4/4；有效1356/1356，1356帧，2世界或序列；历史异常点占五帧异常点比例(全部): P5/P25/P50/P75/P95=0.5/0.761468/0.804249/0.857143/1；有效663/1356，663帧，2世界或序列,历史可见扫描数(全部): P5/P25/P50/P75/P95=0/0/0/4/4；有效8583/8583，8583帧，19世界或序列；历史异常点占五帧异常点比例(全部): P5/P25/P50/P75/P95=0.5/0.754237/0.8/0.857143/1；有效4228/8583，4228帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,全距离/源帧各自评价距离两个口径分开
E02,时序,五位可见模式,覆盖32/32；00000=963，11111=503，部分=314，00001=32；分母1780,覆盖32/32；00000=693，11111=428，部分=235，00001=18；分母1356,覆盖32/32；00000=4355，11111=2856，部分=1372，00001=97；分母8583,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,不是体素命中；类别可见不代表同一物体
E03,时序,接近/可见/消失阶段,阶段长度(连续可见段): P5/P25/P50/P75/P95=1/1/2/5/73；有效66/66，4帧，4世界或序列；阶段长度(可见间断段): P5/P25/P50/P75/P95=1/1/3/8/68；有效62/62，4帧，4世界或序列,阶段长度(连续可见段): P5/P25/P50/P75/P95=1/1/2/6/52；有效50/50，2帧，2世界或序列；阶段长度(可见间断段): P5/P25/P50/P75/P95=1/1/2/7/39；有效48/48，2帧，2世界或序列,阶段长度(连续可见段): P5/P25/P50/P75/P95=1/1/2/4/86；有效304/304，19帧，19世界或序列；阶段长度(可见间断段): P5/P25/P50/P75/P95=1/1/2/4/18；有效285/285，19帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,不能在异常事件处重新启动窗口；优先帧单位
E04,时序,自车运动与视角基线,最早到当前扫描平移量(全部): P5/P25/P50/P75/P95=0.0351609/0.580847/0.919748/1.24214/1.42989；有效1780/1780，1780帧，4世界或序列；最早到当前扫描旋转角(全部): P5/P25/P50/P75/P95=0.00168125/0.010701/0.0188018/0.0345938/0.0722839；有效1780/1780，1780帧，4世界或序列,最早到当前扫描平移量(全部): P5/P25/P50/P75/P95=0.820195/1.09146/1.43642/1.82735/2.0853；有效1356/1356，1356帧，2世界或序列；最早到当前扫描旋转角(全部): P5/P25/P50/P75/P95=0.00247548/0.00693059/0.0143138/0.0414561/0.0902114；有效1356/1356，1356帧，2世界或序列,最早到当前扫描平移量(全部): P5/P25/P50/P75/P95=0.557255/1.51403/1.97951/2.51778/4.28931；有效8583/8583，8583帧，19世界或序列；最早到当前扫描旋转角(全部): P5/P25/P50/P75/P95=0.00295158/0.00709673/0.0123171/0.0245528/0.136813；有效8583/8583，8583帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,无可靠时间戳不报告实测速度
E05,时序,静态表面一致性,抽样静态点同语义匹配残差(全部): P5/P25/P50/P75/P95=0.00535/0.01125/0.01885/0.03305/0.08425；有效3598658/3645440，1780帧，4世界或序列,抽样静态点同语义匹配残差(全部): P5/P25/P50/P75/P95=0.00935/0.01855/0.03085/0.05735/0.12045；有效2484120/2570130，1356帧，2世界或序列,抽样静态点同语义匹配残差(全部): P5/P25/P50/P75/P95=0.00565/0.01185/0.02005/0.03685/0.10165；有效16733267/17266655，8547帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,不是位姿真值误差，动态/遮挡可混杂
F01,体素,异常压缩与独立几何量,当前异常点数除以占据体素数(全部): P5/P25/P50/P75/P95=1/1/1/1/1.35065；有效652/1780，652帧，4世界或序列,当前异常点数除以占据体素数(全部): P5/P25/P50/P75/P95=1/1/1/1/1；有效542/1356，542帧，2世界或序列,当前异常点数除以占据体素数(全部): P5/P25/P50/P75/P95=1/1/1/1/1.375；有效3541/8583，3541帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,生成覆盖或表示；未进行模型干预,体素去重；当前无异常时比值不可定义
F02,体素,三态体素混合,纯异常=34359/34562=99.412650%; 与正常混合=203/34562=0.587350%; 与忽略混合=0/34562=0.000000%; 同时与正常及忽略混合=0/34562=0.000000%,纯异常=31185/31279=99.699479%; 与正常混合=94/31279=0.300521%; 与忽略混合=0/31279=0.000000%; 同时与正常及忽略混合=0/31279=0.000000%,纯异常=218599/226752=96.404442%; 与正常混合=7876/226752=3.473398%; 与忽略混合=273/226752=0.120396%; 同时与正常及忽略混合=4/226752=0.001764%,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,生成覆盖或表示；未进行模型干预,构建网格前不得按标签/距离裁点
F03,体素,历史新增正常混合,否=14346/14399=99.631919%; 是=53/14399=0.368081%,否=10190/10218=99.725974%; 是=28/10218=0.274026%,否=73779/75412=97.834562%; 是=1633/75412=2.165438%,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,生成覆盖或表示；未进行模型干预,描述成员，不等于证明历史造成漏检
F04,体素,扫描命中与异常支持,当前异常体素观测14399；扫描命中类别16；完整32格见分类表,当前异常体素观测10218；扫描命中类别16；完整32格见分类表,当前异常体素观测75412；扫描命中类别16；完整32格见分类表,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,生成覆盖或表示；未进行模型干预,未命中≠可确认空闲；异常支持非精确对应
F05,体素,均值偏移与点内残差,联合均值相对当前成员均值的位移(当前异常占据体素): P5/P25/P50/P75/P95=5e-05/5e-05/0.00625/0.01345/0.02375；有效14399/14399，652帧，4世界或序列,联合均值相对当前成员均值的位移(当前异常占据体素): P5/P25/P50/P75/P95=5e-05/5e-05/0.00615/0.01415/0.02365；有效10218/10218，542帧，2世界或序列,联合均值相对当前成员均值的位移(当前异常占据体素): P5/P25/P50/P75/P95=5e-05/5e-05/0.00675/0.01465/0.02415；有效75412/75412，3541帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,生成覆盖或表示；未进行模型干预,同一物理格子比较，不重新选择网格原点
G01,联合条件,关键联合分布,点数×距离×历史覆盖39/110格；窗口1780,点数×距离×历史覆盖37/110格；窗口1356,点数×距离×历史覆盖47/110格；窗口8583,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,频率不匹配与完全缺覆盖分开,采样或世界生成；先看真实非空且训练为零的格,先用少量可解释交叉，不拟合全高维直方图
G02,不可观测,完整物理形状/材质/准确遮挡率,完整物理尺寸、真实材质、精确遮挡率、位姿真值误差及可靠时间未作横向估计；合成真值参数不混入,完整物理尺寸、真实材质、精确遮挡率、位姿真值误差及可靠时间未作横向估计；合成真值参数不混入,完整物理尺寸、真实材质、精确遮挡率、位姿真值误差及可靠时间未作横向估计；合成真值参数不混入,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,不可观测或不可直接横向比较,不得以不可观测属性指导确定参数,不要求为了填表虚构这些数值
