first,second,target_recall,change,sequence,frame,slot,semantic,instance,range_m,count_in_scan,first_score,second_score
m500,ap,0.95,fixed_fn,125,1,77328,2,1,19.224063873291016,2,-2.46875,-0.95703125
m500,lr,0.5,fixed_fp,125,1,124981,40,0,5.738066673278809,1,10.8125,5.59375
m500,lr,0.5,fixed_fn,125,1,75268,2,1,18.72357177734375,5,8.875,12.25
m500,lr,0.95,new_fp,125,1,85662,40,0,16.563146591186523,8,-2.46875,0.279296875
m500,lr,0.95,fixed_fp,125,1,120863,40,0,6.333951950073242,165,-1.46875,-1.6015625
m500,lr,0.95,fixed_fn,125,1,77328,2,1,19.224063873291016,1,-2.46875,-0.376953125
replay,ap,0.95,new_fp,125,1,122865,40,0,6.254734516143799,56,-3.484375,-1.8046875
replay,ap,0.95,fixed_fp,125,1,121463,40,0,5.394975662231445,73,-1.5234375,-3.453125
replay,lr,0.5,new_fn,125,1,75267,2,1,19.089569091796875,1,7.5625,9.9375
replay,lr,0.95,new_fp,125,1,77337,40,0,19.537063598632812,26,-2.578125,-0.0169677734375
replay,lr,0.95,fixed_fp,125,1,122497,40,0,5.352757453918457,114,-2.296875,-2.15625
replay,lr,0.95,new_fn,125,1,77327,2,1,19.21906280517578,1,-1.40625,-1.5625
m500,m1547,0.5,fixed_fp,125,2,124982,40,0,5.726067543029785,6,10.6875,4.5625
m500,m1547,0.5,fixed_fn,125,2,74238,2,1,19.152769088745117,5,7.90625,14.9375
m500,m1547,0.95,new_fp,125,2,119870,40,0,6.186187267303467,102,-2.796875,-0.435546875
m500,m1547,0.95,fixed_fp,125,2,85523,40,0,13.304160118103027,146,-2.03125,-5.15625
m500,m1547,0.95,fixed_fn,125,2,77328,2,1,19.231063842773438,3,-2.5625,0.703125
m500,b1547,0.5,fixed_fp,125,2,124982,40,0,5.726067543029785,6,10.6875,5.625
m500,b1547,0.5,fixed_fn,125,2,74235,2,1,19.337766647338867,3,9.5625,6.96875
m500,b1547,0.95,new_fp,125,2,83286,40,0,10.83369255065918,48,-2.828125,0.10693359375
m500,b1547,0.95,fixed_fp,125,2,120427,40,0,5.62420129776001,158,-0.87890625,-0.515625
m500,b1547,0.95,fixed_fn,125,2,77329,2,1,19.250064849853516,2,-2.34375,0.80859375
m500,replay,0.5,fixed_fp,125,2,124982,40,0,5.726067543029785,6,10.6875,1.703125
m500,replay,0.5,fixed_fn,125,2,74238,2,1,19.152769088745117,5,7.90625,11.4375
m500,replay,0.95,new_fp,125,2,85662,40,0,16.581146240234375,56,-3.40625,-2.15625
m500,replay,0.95,fixed_fp,125,2,85523,40,0,13.304160118103027,141,-2.03125,-6.65625
m500,replay,0.95,fixed_fn,125,2,77328,2,1,19.231063842773438,3,-2.5625,-1.4296875
m500,ap,0.5,fixed_fp,125,2,124982,40,0,5.726067543029785,6,10.6875,2.375
m500,ap,0.5,fixed_fn,125,2,75267,2,1,19.08656883239746,6,6.71875,12.8125
m500,ap,0.95,new_fp,125,2,127002,40,0,5.8236002922058105,90,-3.078125,-2.296875
m500,ap,0.95,fixed_fp,125,2,93978,40,0,10.842257499694824,167,-2.03125,-4.34375
m500,ap,0.95,fixed_fn,125,2,77328,2,1,19.231063842773438,3,-2.5625,-1.3203125
m500,lr,0.5,fixed_fp,125,2,124982,40,0,5.726067543029785,6,10.6875,4.84375
m500,lr,0.5,fixed_fn,125,2,74238,2,1,19.152769088745117,5,7.90625,13.4375
m500,lr,0.95,new_fp,125,2,85656,40,0,16.447147369384766,13,-2.46875,-1.0859375
m500,lr,0.95,fixed_fp,125,2,121179,40,0,4.672000408172607,183,-2.140625,-2.984375
m500,lr,0.95,fixed_fn,125,2,77328,2,1,19.231063842773438,3,-2.5625,-0.1728515625
replay,ap,0.5,fixed_fn,125,2,77332,2,1,18.985065460205078,1,5.90625,11.0625
replay,ap,0.95,new_fp,125,2,126027,40,0,5.985833168029785,109,-3.328125,-1.03125
replay,ap,0.95,fixed_fp,125,2,120429,40,0,5.53520393371582,101,-0.98046875,-3.1875
replay,lr,0.95,new_fp,125,2,81264,40,0,11.590131759643555,41,-3.03125,-1.0625
replay,lr,0.95,fixed_fp,125,2,121460,40,0,5.573970317840576,126,-1.3828125,-1.9296875
m500,m1547,0.5,fixed_fp,125,3,123949,40,0,5.804290771484375,7,11.1875,9.1875
m500,m1547,0.5,fixed_fn,125,3,75268,2,1,18.747570037841797,1,7.375,12.5
m500,m1547,0.95,new_fp,125,3,121935,40,0,6.0287394523620605,128,-3.0625,-1.0546875
m500,m1547,0.95,fixed_fp,125,3,97036,40,0,9.673563957214355,280,-1.296875,-4.90625
m500,m1547,0.95,fixed_fn,125,3,77328,2,1,19.235063552856445,3,-2.765625,-0.12890625
m500,b1547,0.5,new_fp,125,3,126013,40,0,5.766839027404785,8,8.5,6.78125
m500,b1547,0.95,new_fp,125,3,82264,40,0,11.152887344360352,121,-3.421875,1.1328125
m500,b1547,0.95,fixed_fp,125,3,86805,40,0,12.371927261352539,242,-2.015625,-1.9375
m500,b1547,0.95,fixed_fn,125,3,77329,2,1,19.249065399169922,1,-2.515625,0.28515625
m500,replay,0.5,new_fp,125,3,85663,40,0,16.339147567749023,2,9.125,6.8125
m500,replay,0.5,fixed_fp,125,3,123949,40,0,5.804290771484375,7,11.1875,4.4375
m500,replay,0.5,fixed_fn,125,3,75267,2,1,19.071569442749023,5,4.0625,6.71875
m500,replay,0.95,new_fp,125,3,119864,40,0,6.241185665130615,83,-2.515625,-2.296875
m500,replay,0.95,fixed_fp,125,3,84464,40,0,12.923430442810059,234,-1.28125,-7.6875
m500,replay,0.95,fixed_fn,125,3,77329,2,1,19.249065399169922,2,-2.515625,-1.015625
m500,ap,0.5,new_fp,125,3,85663,40,0,16.339147567749023,2,9.125,7.75
m500,ap,0.5,fixed_fp,125,3,123949,40,0,5.804290771484375,7,11.1875,3.9375
m500,ap,0.5,fixed_fn,125,3,75268,2,1,18.747570037841797,7,7.375,14.875
m500,ap,0.95,new_fp,125,3,124985,40,0,6.20705509185791,92,-3.296875,-2.28125
m500,ap,0.95,fixed_fp,125,3,118398,40,0,5.626654624938965,300,-2.0625,-3.984375
m500,ap,0.95,fixed_fn,125,3,77328,2,1,19.235063552856445,3,-2.765625,-1.4296875
m500,lr,0.5,fixed_fp,125,3,123949,40,0,5.804290771484375,7,11.1875,10.125
m500,lr,0.95,new_fp,125,3,85654,40,0,16.396148681640625,21,-2.3125,-0.494140625
m500,lr,0.95,fixed_fp,125,3,97035,40,0,9.673563957214355,265,-1.671875,-3.546875
m500,lr,0.95,fixed_fn,125,3,77329,2,1,19.249065399169922,2,-2.515625,0.031982421875
replay,ap,0.5,fixed_fn,125,3,77332,2,1,18.996065139770508,2,4.21875,9.0625
replay,ap,0.95,new_fp,125,3,126023,40,0,6.174829006195068,55,-2.96875,-1.515625
replay,ap,0.95,fixed_fp,125,3,122492,40,0,5.546751976013184,112,-1.546875,-3.3125
replay,ap,0.95,fixed_fn,125,3,77327,2,1,19.248062133789062,1,-2.578125,-1.859375
replay,lr,0.5,fixed_fp,125,3,85663,40,0,16.339147567749023,2,6.8125,9.8125
replay,lr,0.5,new_fn,125,3,75267,2,1,19.071569442749023,5,6.71875,7.96875
replay,lr,0.95,new_fp,125,3,125995,40,0,5.880836009979248,37,-2.515625,0.376953125
replay,lr,0.95,fixed_fp,125,3,121928,40,0,6.19873571395874,130,-2.1875,-2.453125
m500,m1547,0.5,fixed_fp,125,4,85663,40,0,16.376148223876953,1,10.3125,8.9375
m500,m1547,0.5,fixed_fn,125,4,75268,2,1,18.747570037841797,4,9.9375,17.0
m500,m1547,0.95,new_fp,125,4,119868,40,0,6.22218656539917,85,-3.84375,-0.8984375
m500,m1547,0.95,fixed_fp,125,4,83299,40,0,10.778693199157715,337,-1.4375,-4.09375
m500,m1547,0.95,fixed_fn,125,4,77327,2,1,19.23606300354004,1,-2.5,0.2060546875
m500,b1547,0.5,fixed_fp,125,4,85663,40,0,16.376148223876953,1,10.3125,3.140625
m500,b1547,0.5,fixed_fn,125,4,75267,2,1,19.06656837463379,5,6.9375,7.96875
m500,b1547,0.95,new_fp,125,4,83277,40,0,10.6766939163208,167,-4.21875,0.53515625
m500,b1547,0.95,fixed_fp,125,4,85664,40,0,16.51114845275879,249,-2.03125,-1.734375
m500,replay,0.5,fixed_fp,125,4,85663,40,0,16.376148223876953,1,10.3125,5.09375
m500,replay,0.5,fixed_fn,125,4,75267,2,1,19.06656837463379,5,6.9375,10.0625
m500,replay,0.95,new_fp,125,4,117364,40,0,5.684886932373047,43,-2.53125,-2.015625
m500,replay,0.95,fixed_fp,125,4,81592,40,0,19.49910545349121,289,1.765625,-4.125
m500,replay,0.95,fixed_fn,125,4,77327,2,1,19.23606300354004,1,-2.5,-1.1015625
m500,ap,0.5,fixed_fp,125,4,85663,40,0,16.376148223876953,1,10.3125,5.6875
m500,ap,0.5,fixed_fn,125,4,75268,2,1,18.747570037841797,7,9.9375,20.375
m500,ap,0.95,new_fp,125,4,126000,40,0,5.899835586547852,93,-3.203125,-2.390625
m500,ap,0.95,fixed_fp,125,4,84655,40,0,18.096412658691406,344,-1.90625,-4.0625
m500,ap,0.95,fixed_fn,125,4,77327,2,1,19.23606300354004,1,-2.5,-0.984375
m500,lr,0.5,fixed_fp,125,4,85663,40,0,16.376148223876953,1,10.3125,9.3125
m500,lr,0.5,fixed_fn,125,4,75267,2,1,19.06656837463379,5,6.9375,12.5625
m500,lr,0.95,new_fp,125,4,78337,40,0,18.62582015991211,22,-2.3125,-0.546875
m500,lr,0.95,fixed_fp,125,4,83301,40,0,10.84669303894043,302,-1.9375,-2.265625
m500,lr,0.95,fixed_fn,125,4,77327,2,1,19.23606300354004,1,-2.5,-0.35546875
replay,ap,0.5,fixed_fn,125,4,77332,2,1,19.018064498901367,2,5.1875,11.1875
replay,ap,0.95,new_fp,125,4,125996,40,0,5.915834903717041,78,-3.921875,-2.078125
replay,ap,0.95,fixed_fp,125,4,121460,40,0,5.577970504760742,83,-1.9140625,-4.5
replay,lr,0.95,new_fp,125,4,87626,40,0,13.217711448669434,61,-4.21875,-0.6015625
replay,lr,0.95,fixed_fp,125,4,121466,40,0,5.400975227355957,95,-1.109375,-1.796875
m500,m1547,0.5,fixed_fn,125,5,77332,2,1,18.95306396484375,2,7.46875,13.3125
m500,m1547,0.95,new_fp,125,5,85662,40,0,16.614145278930664,41,-3.265625,-0.65234375
m500,m1547,0.95,fixed_fp,125,5,83434,40,0,14.055675506591797,230,-1.9453125,-2.71875
m500,m1547,0.95,fixed_fn,125,5,77327,2,1,19.213062286376953,1,-2.609375,-0.1455078125
m500,b1547,0.5,fixed_fn,125,5,75267,2,1,19.06656837463379,1,8.1875,7.59375
m500,b1547,0.95,new_fp,125,5,85560,40,0,14.538153648376465,36,-3.734375,-0.044189453125
m500,b1547,0.95,fixed_fp,125,5,84449,40,0,12.273432731628418,212,-2.078125,-6.40625
m500,replay,0.5,fixed_fn,125,5,75267,2,1,19.06656837463379,1,8.1875,11.125
m500,replay,0.95,new_fp,125,5,74110,40,0,18.739770889282227,51,-2.25,-1.6875
m500,replay,0.95,fixed_fp,125,5,80231,40,0,12.032391548156738,187,-2.0,-3.25
m500,replay,0.95,fixed_fn,125,5,77327,2,1,19.213062286376953,1,-2.609375,-1.3828125
m500,ap,0.5,fixed_fn,125,5,77332,2,1,18.95306396484375,2,7.46875,11.75
m500,ap,0.95,new_fp,125,5,85569,40,0,14.04915714263916,69,-4.53125,-1.4609375
m500,ap,0.95,fixed_fp,125,5,93979,40,0,10.825258255004883,206,-2.234375,-4.84375
m500,ap,0.95,fixed_fn,125,5,77327,2,1,19.213062286376953,1,-2.609375,-0.81640625
m500,lr,0.5,fixed_fn,125,5,77332,2,1,18.95306396484375,2,7.46875,12.0625
m500,lr,0.95,new_fp,125,5,78319,40,0,18.056819915771484,12,-2.5625,-0.9453125
m500,lr,0.95,fixed_fp,125,5,117365,40,0,5.676887035369873,211,-1.5703125,-2.671875
m500,lr,0.95,fixed_fn,125,5,77327,2,1,19.213062286376953,1,-2.609375,-0.94140625
replay,ap,0.5,fixed_fn,125,5,77332,2,1,18.95306396484375,1,5.625,11.75
replay,ap,0.95,new_fp,125,5,85567,40,0,14.02215576171875,91,-3.34375,-1.6484375
replay,ap,0.95,fixed_fp,125,5,119404,40,0,5.564418792724609,92,-2.28125,-4.9375
replay,lr,0.5,fixed_fn,125,5,77332,2,1,18.95306396484375,1,5.625,12.0625
replay,lr,0.95,new_fp,125,5,77337,40,0,19.534061431884766,47,-2.53125,3.625
replay,lr,0.95,fixed_fp,125,5,119395,40,0,5.637416839599609,110,-2.375,-2.6875
m500,m1547,0.5,fixed_fn,125,6,75268,2,1,18.77157211303711,3,9.3125,14.0
m500,m1547,0.95,new_fp,125,6,121934,40,0,6.049738883972168,130,-3.5625,-1.046875
m500,m1547,0.95,fixed_fp,125,6,91439,40,0,7.587788105010986,196,-2.203125,-3.53125
m500,m1547,0.95,fixed_fn,125,6,77328,2,1,19.238061904907227,3,-2.625,0.5390625
m500,b1547,0.5,fixed_fn,125,6,75268,2,1,18.77157211303711,1,9.3125,6.8125
m500,b1547,0.95,new_fp,125,6,87621,40,0,13.346710205078125,61,-3.046875,-0.16015625
m500,b1547,0.95,fixed_fp,125,6,92936,40,0,11.160513877868652,177,-1.7890625,-0.77734375
m500,b1547,0.95,fixed_fn,125,6,77329,2,1,19.256065368652344,2,-2.390625,0.58984375
m500,replay,0.5,new_fp,125,6,85663,40,0,16.36214828491211,1,5.5,6.96875
m500,replay,0.95,new_fp,125,6,124995,40,0,5.951061248779297,40,-2.859375,-2.265625
m500,replay,0.95,fixed_fp,125,6,81183,40,0,8.982151985168457,175,-1.109375,-2.640625
m500,replay,0.95,fixed_fn,125,6,77328,2,1,19.238061904907227,3,-2.625,-1.5625
m500,ap,0.5,fixed_fn,125,6,75267,2,1,19.041566848754883,5,7.6875,7.3125
m500,ap,0.95,new_fp,125,6,126012,40,0,6.003833293914795,66,-2.78125,-1.953125
m500,ap,0.95,fixed_fp,125,6,94003,40,0,12.212249755859375,225,-2.171875,-2.859375
m500,ap,0.95,fixed_fn,125,6,77328,2,1,19.238061904907227,3,-2.625,-1.4453125
m500,lr,0.5,fixed_fn,125,6,74235,2,1,19.349767684936523,3,9.0625,11.625
m500,lr,0.95,new_fp,125,6,85660,40,0,16.508146286010742,11,-2.578125,-0.36328125
m500,lr,0.95,fixed_fp,125,6,92970,40,0,12.92650318145752,208,-1.2734375,-2.546875
m500,lr,0.95,fixed_fn,125,6,77329,2,1,19.256065368652344,2,-2.390625,-0.279296875
replay,ap,0.5,fixed_fp,125,6,85663,40,0,16.36214828491211,1,6.96875,5.8125
replay,ap,0.5,fixed_fn,125,6,75267,2,1,19.041566848754883,5,4.375,7.3125
replay,ap,0.95,new_fp,125,6,86548,40,0,13.726920127868652,59,-2.5625,-0.54296875
replay,ap,0.95,fixed_fp,125,6,120435,40,0,5.497204780578613,83,-2.421875,-4.125
replay,lr,0.5,fixed_fp,125,6,85663,40,0,16.36214828491211,1,6.96875,6.8125
replay,lr,0.5,fixed_fn,125,6,74235,2,1,19.349767684936523,3,5.25,11.625
replay,lr,0.95,new_fp,125,6,78336,40,0,18.541818618774414,31,-2.703125,1.0859375
replay,lr,0.95,fixed_fp,125,6,120438,40,0,5.530203819274902,93,-2.28125,-2.359375
replay,lr,0.95,new_fn,125,6,77327,2,1,19.211061477661133,1,-2.046875,-1.921875
m500,m1547,0.5,fixed_fn,125,7,75268,2,1,18.722570419311523,4,8.375,15.4375
m500,m1547,0.95,new_fp,125,7,121928,40,0,6.228734970092773,97,-3.3125,-1.1171875
m500,m1547,0.95,fixed_fp,125,7,95996,40,0,9.826802253723145,114,-1.8828125,-3.875
m500,m1547,0.95,fixed_fn,125,7,77328,2,1,19.239063262939453,3,-2.875,-0.2001953125
m500,b1547,0.5,fixed_fn,125,7,75267,2,1,19.061569213867188,5,5.3125,7.34375
m500,b1547,0.95,new_fp,125,7,86532,40,0,12.775925636291504,58,-2.5625,-0.1748046875
m500,b1547,0.95,fixed_fp,125,7,97027,40,0,9.724562644958496,152,-1.828125,-1.953125
m500,b1547,0.95,fixed_fn,125,7,77329,2,1,19.2470645904541,2,-2.59375,0.51953125
m500,replay,0.5,fixed_fn,125,7,75268,2,1,18.722570419311523,4,8.375,10.3125
m500,replay,0.95,new_fp,125,7,82653,40,0,21.388851165771484,55,-2.859375,-2.40625
m500,replay,0.95,fixed_fp,125,7,92935,40,0,11.146512985229492,117,-1.25,-2.546875
m500,replay,0.95,fixed_fn,125,7,77328,2,1,19.239063262939453,3,-2.875,-1.9609375
m500,ap,0.5,fixed_fn,125,7,75268,2,1,18.722570419311523,6,8.375,15.0625
m500,ap,0.95,new_fp,125,7,85665,40,0,16.54514503479004,49,-3.0,-0.408203125
m500,ap,0.95,fixed_fp,125,7,118402,40,0,5.661653518676758,157,-2.21875,-5.9375
m500,ap,0.95,fixed_fn,125,7,77328,2,1,19.239063262939453,3,-2.875,-1.625
m500,lr,0.5,fixed_fn,125,7,75268,2,1,18.722570419311523,4,8.375,14.0625
m500,lr,0.95,new_fp,125,7,85660,40,0,16.511146545410156,26,-2.53125,-1.0390625
m500,lr,0.95,fixed_fp,125,7,117364,40,0,5.692886829376221,110,-2.15625,-2.578125
m500,lr,0.95,fixed_fn,125,7,77329,2,1,19.2470645904541,2,-2.59375,-0.451171875
replay,ap,0.5,fixed_fn,125,7,77332,2,1,18.996065139770508,2,4.1875,8.75
replay,ap,0.95,new_fp,125,7,92970,40,0,12.92650318145752,46,-3.234375,-1.8984375
replay,ap,0.95,fixed_fp,125,7,121461,40,0,5.4989728927612305,92,-2.234375,-3.96875
replay,lr,0.95,new_fp,125,7,79118,40,0,9.044668197631836,34,-2.640625,-1.1484375
replay,lr,0.95,fixed_fp,125,7,119399,40,0,5.548418998718262,56,-2.09375,-1.7109375
replay,lr,0.95,new_fn,125,7,77327,2,1,19.226062774658203,1,-2.21875,-1.703125
m500,m1547,0.5,fixed_fn,125,8,75268,2,1,18.722570419311523,6,8.5,17.75
m500,m1547,0.95,new_fp,125,8,85664,40,0,16.515148162841797,43,-2.984375,-1.2890625
m500,m1547,0.95,fixed_fp,125,8,91937,40,0,13.883739471435547,174,-2.21875,-3.796875
m500,m1547,0.95,fixed_fn,125,8,77327,2,1,19.275062561035156,1,-2.28125,3.515625
m500,b1547,0.5,fixed_fn,125,8,75267,2,1,19.107568740844727,5,7.1875,7.375
m500,b1547,0.95,new_fp,125,8,84337,40,0,10.532444953918457,41,-2.984375,0.130859375
m500,b1547,0.95,fixed_fp,125,8,93977,40,0,10.634258270263672,94,-2.09375,-1.625
m500,b1547,0.95,fixed_fn,125,8,77327,2,1,19.275062561035156,1,-2.28125,1.2578125
m500,replay,0.5,fixed_fn,125,8,75267,2,1,19.107568740844727,5,7.1875,11.1875
m500,replay,0.95,new_fp,125,8,119399,40,0,5.5564188957214355,64,-2.4375,-2.140625
m500,replay,0.95,fixed_fp,125,8,81260,40,0,11.069136619567871,132,-2.21875,-4.875
m500,replay,0.95,fixed_fn,125,8,77327,2,1,19.275062561035156,1,-2.28125,0.6875
m500,ap,0.5,fixed_fn,125,8,75268,2,1,18.722570419311523,6,8.5,18.375
m500,ap,0.95,new_fp,125,8,86567,40,0,14.030920028686523,85,-3.84375,-2.015625
m500,ap,0.95,fixed_fp,125,8,86542,40,0,13.11792278289795,154,-1.7265625,-3.1875
m500,ap,0.95,fixed_fn,125,8,77327,2,1,19.275062561035156,1,-2.28125,0.72265625
m500,lr,0.5,fixed_fn,125,8,75267,2,1,19.107568740844727,5,7.1875,12.75
m500,lr,0.95,new_fp,125,8,74255,40,0,24.303762435913086,7,-3.203125,-0.9921875
m500,lr,0.95,fixed_fp,125,8,99584,40,0,7.4438652992248535,165,-1.8671875,-2.5
m500,lr,0.95,fixed_fn,125,8,77327,2,1,19.275062561035156,1,-2.28125,1.0546875
replay,ap,0.5,fixed_fn,125,8,77332,2,1,19.008066177368164,1,6.15625,10.5625
replay,ap,0.95,new_fp,125,8,86546,40,0,13.492921829223633,80,-2.53125,-0.62890625
replay,ap,0.95,fixed_fp,125,8,121461,40,0,5.502972602844238,81,-1.921875,-4.03125
replay,lr,0.95,new_fp,125,8,78316,40,0,17.901819229125977,30,-3.234375,-1.1796875
replay,lr,0.95,fixed_fp,125,8,123496,40,0,5.308520793914795,120,-1.09375,-2.1875
m500,m1547,0.5,fixed_fn,125,9,75268,2,1,18.77056884765625,5,10.0625,16.125
m500,m1547,0.95,new_fp,125,9,121930,40,0,6.060739040374756,71,-3.515625,-0.67578125
m500,m1547,0.95,fixed_fp,125,9,118399,40,0,5.627654552459717,157,-1.9375,-1.9765625
m500,m1547,0.95,fixed_fn,125,9,77328,2,1,19.228063583374023,2,-2.453125,0.78515625
m500,b1547,0.95,new_fp,125,9,83302,40,0,10.854692459106445,91,-2.34375,1.609375
m500,b1547,0.95,fixed_fp,125,9,92938,40,0,11.060515403747559,109,-0.99609375,-2.03125
m500,b1547,0.95,fixed_fn,125,9,77328,2,1,19.228063583374023,2,-2.453125,0.171875
m500,replay,0.5,fixed_fn,125,9,75268,2,1,18.77056884765625,5,10.0625,13.1875
m500,replay,0.95,new_fp,125,9,84338,40,0,10.542444229125977,26,-2.359375,-2.421875
m500,replay,0.95,fixed_fp,125,9,92936,40,0,11.163514137268066,123,-2.125,-4.09375
m500,replay,0.95,fixed_fn,125,9,77328,2,1,19.228063583374023,2,-2.453125,-1.078125
m500,ap,0.5,fixed_fn,125,9,76299,2,1,19.330320358276367,6,5.15625,10.25
m500,ap,0.95,new_fp,125,9,86645,40,0,15.155914306640625,66,-3.421875,-1.0859375
m500,ap,0.95,fixed_fp,125,9,118397,40,0,5.626654148101807,163,-0.9765625,-4.3125
m500,ap,0.95,fixed_fn,125,9,77328,2,1,19.228063583374023,2,-2.453125,-0.9296875
m500,lr,0.5,fixed_fn,125,9,75268,2,1,18.77056884765625,5,10.0625,14.625
m500,lr,0.95,new_fp,125,9,86642,40,0,15.088915824890137,15,-2.921875,0.1279296875
m500,lr,0.95,fixed_fp,125,9,119400,40,0,5.578418254852295,151,-2.171875,-2.984375
m500,lr,0.95,fixed_fn,125,9,77328,2,1,19.228063583374023,2,-2.453125,-0.447265625
replay,ap,0.5,fixed_fn,125,9,76299,2,1,19.330320358276367,1,6.1875,10.25
replay,ap,0.95,new_fp,125,9,92938,40,0,11.060515403747559,61,-2.609375,-1.984375
replay,ap,0.95,fixed_fp,125,9,120428,40,0,5.604201793670654,61,-2.375,-4.15625
replay,lr,0.95,new_fp,125,9,81183,40,0,8.995152473449707,26,-2.671875,-1.1015625
replay,lr,0.95,fixed_fp,125,9,120431,40,0,5.461205959320068,65,-2.09375,-2.3125
m500,m1547,0.95,new_fp,125,10,121939,40,0,5.9947404861450195,86,-3.3125,-1.0625
m500,m1547,0.95,fixed_fp,125,10,118395,40,0,5.649654388427734,171,-1.6484375,-2.140625
m500,m1547,0.95,fixed_fn,125,10,77328,2,1,19.224063873291016,3,-3.140625,0.166015625
m500,b1547,0.95,new_fp,125,10,82646,40,0,21.915851593017578,35,-2.390625,0.30859375
m500,b1547,0.95,fixed_fp,125,10,119113,40,0,4.693447113037109,181,-2.0625,-4.53125
m500,b1547,0.95,fixed_fn,125,10,77329,2,1,19.23206329345703,2,-2.8125,0.6953125
