序列,当前帧,范围编码,可见模式,整窗未见,历史异常点数,历史可见扫描数,历史异常占比,联合体素数,当前占据体素数,当前异常体素数,联合异常体素数,历史增加异常体素数,当前异常压缩比,联合异常压缩比,当前异常体素含正常数,当前异常体素含忽略数,历史新增正常体素数,历史新增正常影响当前异常点数,最早至当前平移（米）,最早至当前旋转（弧度）,当前异常体素含正常比例,当前异常体素含忽略比例,历史新增正常比例,当前异常体素均值位移P50（米）,抽样静态点数,静态匹配点数,静态匹配比例,槽0全距离异常点数,槽1全距离异常点数,槽2全距离异常点数,槽3全距离异常点数,槽4全距离异常点数,槽0源坐标范围内异常点数,槽1源坐标范围内异常点数,槽2源坐标范围内异常点数,槽3源坐标范围内异常点数,槽4源坐标范围内异常点数
140,2,startup_windows,--000,1,0,0,,144951,67018,0,0,0,,,0,0,0,0,0.630274715698718,0.015120054875621148,,,,,2048,2002,0.9775390625,,,0,0,0,,,0,0,0
140,3,startup_windows,-0000,1,0,0,,185110,68245,0,0,0,,,0,0,0,0,0.9494848375806118,0.026689085539132046,,,,,2048,1974,0.9638671875,,0,0,0,0,,0,0,0,0
141,0,startup_windows,----0,1,0,0,,65972,65972,0,0,0,,,0,0,0,0,0.0,0.0,,,,,0,0,,,,,,0,,,,,0
141,1,startup_windows,---00,1,0,0,,104745,65520,0,0,0,,,0,0,0,0,0.4695113280295279,0.001312277066163423,,,,,2048,1995,0.97412109375,,,,0,0,,,,0,0
141,2,startup_windows,--000,1,0,0,,138423,65212,0,0,0,,,0,0,0,0,0.6894826751604644,0.002461386346433865,,,,,2048,2041,0.99658203125,,,0,0,0,,,0,0,0
141,3,startup_windows,-0000,1,0,0,,165421,64977,0,0,0,,,0,0,0,0,0.9581219496272078,0.0015125107671128876,,,,,2048,2027,0.98974609375,,0,0,0,0,,0,0,0,0
142,0,startup_windows,----0,1,0,0,,67600,67600,0,0,0,,,0,0,0,0,0.0,0.0,,,,,0,0,,,,,,0,,,,,0
142,1,startup_windows,---00,1,0,0,,108397,67307,0,0,0,,,0,0,0,0,0.5303138232436149,0.0005430685796686017,,,,,2048,1971,0.96240234375,,,,0,0,,,,0,0
142,2,startup_windows,--000,1,0,0,,142147,67192,0,0,0,,,0,0,0,0,1.0658270857281429,0.003963033327895572,,,,,2048,2023,0.98779296875,,,0,0,0,,,0,0,0
142,3,startup_windows,-0000,1,0,0,,173341,66655,0,0,0,,,0,0,0,0,1.6087846046968424,0.004800079826113821,,,,,2048,2014,0.9833984375,,0,0,0,0,,0,0,0,0
143,0,startup_windows,----0,1,0,0,,84310,84310,0,0,0,,,0,0,0,0,0.0,0.0,,,,,0,0,,,,,,0,,,,,0
143,1,startup_windows,---00,1,0,0,,137405,84119,0,0,0,,,0,0,0,0,0.156024565011673,0.0014707670231612613,,,,,2048,2024,0.98828125,,,,0,0,,,,0,0
143,2,startup_windows,--000,1,0,0,,184285,83810,0,0,0,,,0,0,0,0,0.3533690278430216,0.0043098615243354794,,,,,2048,2030,0.9912109375,,,0,0,0,,,0,0,0
143,3,startup_windows,-0000,1,0,0,,220642,83553,0,0,0,,,0,0,0,0,0.5364546198151158,0.006334452647009112,,,,,2048,2032,0.9921875,,0,0,0,0,,0,0,0,0
144,0,startup_windows,----0,1,0,0,,91313,91313,0,0,0,,,0,0,0,0,0.0,0.0,,,,,0,0,,,,,,0,,,,,0
144,1,startup_windows,---00,1,0,0,,155453,90915,0,0,0,,,0,0,0,0,0.14918617043873067,0.016988828233546555,,,,,2048,1592,0.77734375,,,,0,0,,,,0,0
144,2,startup_windows,--000,1,0,0,,202163,90854,0,0,0,,,0,0,0,0,0.322340501156876,0.03239113994887725,,,,,2048,1744,0.8515625,,,0,0,0,,,0,0,0
144,3,startup_windows,-0000,1,0,0,,239575,90627,0,0,0,,,0,0,0,0,0.5279602145406543,0.04921488952390933,,,,,2048,1707,0.83349609375,,0,0,0,0,,0,0,0,0
145,0,startup_windows,----0,1,0,0,,89342,89342,0,0,0,,,0,0,0,0,0.0,0.0,,,,,0,0,,,,,,0,,,,,0
145,1,startup_windows,---00,1,0,0,,144297,89194,0,0,0,,,0,0,0,0,0.1743968081102153,0.0016426815117719117,,,,,2048,1913,0.93408203125,,,,0,0,,,,0,0
145,2,startup_windows,--000,1,0,0,,190558,88787,0,0,0,,,0,0,0,0,0.41301157056754095,0.004079937571222563,,,,,2048,1973,0.96337890625,,,0,0,0,,,0,0,0
145,3,startup_windows,-0000,1,0,0,,225433,88616,0,0,0,,,0,0,0,0,0.6428277290593439,0.005770815551096336,,,,,2048,2022,0.9873046875,,0,0,0,0,,0,0,0,0
146,0,startup_windows,----0,1,0,0,,85332,85332,0,0,0,,,0,0,0,0,0.0,0.0,,,,,0,0,,,,,,0,,,,,0
146,1,startup_windows,---00,1,0,0,,137165,85949,0,0,0,,,0,0,0,0,0.20877907578215918,0.014075150633144093,,,,,2048,1567,0.76513671875,,,,0,0,,,,0,0
146,2,startup_windows,--000,1,0,0,,190985,86752,0,0,0,,,0,0,0,0,0.41404126819629905,0.028284474076319427,,,,,2048,1511,0.73779296875,,,0,0,0,,,0,0,0
146,3,startup_windows,-0000,1,0,0,,230939,87137,0,0,0,,,0,0,0,0,0.6089252051130616,0.042535589275718724,,,,,2048,1683,0.82177734375,,0,0,0,0,,0,0,0,0
147,0,startup_windows,----0,1,0,0,,90522,90522,0,0,0,,,0,0,0,0,0.0,0.0,,,,,0,0,,,,,,0,,,,,0
147,1,startup_windows,---00,1,0,0,,151696,91214,0,0,0,,,0,0,0,0,0.22208500092149552,0.038969799203544535,,,,,2048,1504,0.734375,,,,0,0,,,,0,0
147,2,startup_windows,--000,1,0,0,,198897,91418,0,0,0,,,0,0,0,0,0.45240781316182044,0.0788105847996551,,,,,2048,1651,0.80615234375,,,0,0,0,,,0,0,0
147,3,startup_windows,-0000,1,0,0,,240836,91885,0,0,0,,,0,0,0,0,0.6797553754013046,0.12251530362041398,,,,,2048,1639,0.80029296875,,0,0,0,0,,0,0,0,0
148,0,startup_windows,----0,1,0,0,,69034,69034,0,0,0,,,0,0,0,0,0.0,0.0,,,,,0,0,,,,,,0,,,,,0
148,1,startup_windows,---00,1,0,0,,102943,69274,0,0,0,,,0,0,0,0,0.18299534565506237,0.0011914373199168808,,,,,2048,2023,0.98779296875,,,,0,0,,,,0,0
148,2,startup_windows,--000,1,0,0,,132824,69579,0,0,0,,,0,0,0,0,0.4045967141837107,0.0011149746357729815,,,,,2048,2031,0.99169921875,,,0,0,0,,,0,0,0
148,3,startup_windows,-0000,1,0,0,,162383,70096,0,0,0,,,0,0,0,0,0.6337659379355741,0.0017627535156154238,,,,,2048,2037,0.99462890625,,0,0,0,0,,0,0,0,0
149,0,startup_windows,----0,1,0,0,,91458,91458,0,0,0,,,0,0,0,0,0.0,0.0,,,,,0,0,,,,,,0,,,,,0
149,1,startup_windows,---00,1,0,0,,152381,91619,0,0,0,,,0,0,0,0,0.6863792707667993,0.0028723461328166583,,,,,2048,1967,0.96044921875,,,,0,0,,,,0,0
149,2,startup_windows,--000,1,0,0,,202269,91723,0,0,0,,,0,0,0,0,1.407364246119728,0.00449640886702718,,,,,2048,2003,0.97802734375,,,0,0,0,,,0,0,0
149,3,startup_windows,-0000,1,0,0,,251866,91615,0,0,0,,,0,0,0,0,2.1123088235117007,0.005348385225532236,,,,,2048,2003,0.97802734375,,0,0,0,0,,0,0,0,0
150,0,startup_windows,----0,1,0,0,,94427,94427,0,0,0,,,0,0,0,0,0.0,0.0,,,,,0,0,,,,,,0,,,,,0
150,1,startup_windows,---00,1,0,0,,157102,94652,0,0,0,,,0,0,0,0,0.6276523301481097,0.0018699972461880033,,,,,2048,1988,0.970703125,,,,0,0,,,,0,0
150,2,startup_windows,--000,1,0,0,,208128,94710,0,0,0,,,0,0,0,0,1.2683843013756828,0.002617983590501243,,,,,2048,2003,0.97802734375,,,0,0,0,,,0,0,0
150,3,startup_windows,-0000,1,0,0,,252306,94746,0,0,0,,,0,0,0,0,1.91876647709531,0.003249585055543392,,,,,2048,1999,0.97607421875,,0,0,0,0,,0,0,0,0
151,0,startup_windows,----0,1,0,0,,89822,89822,0,0,0,,,0,0,0,0,0.0,0.0,,,,,0,0,,,,,,0,,,,,0
151,1,startup_windows,---00,1,0,0,,145739,90028,0,0,0,,,0,0,0,0,0.41116256078616853,0.002917776930073107,,,,,2048,1797,0.87744140625,,,,0,0,,,,0,0
151,2,startup_windows,--000,1,0,0,,190741,90210,0,0,0,,,0,0,0,0,0.8315131595911731,0.006341785660430861,,,,,2048,1941,0.94775390625,,,0,0,0,,,0,0,0
151,3,startup_windows,-0000,1,0,0,,232058,90330,0,0,0,,,0,0,0,0,1.257264171429363,0.009881823904841495,,,,,2048,1977,0.96533203125,,0,0,0,0,,0,0,0,0
152,0,startup_windows,----0,1,0,0,,65754,65754,0,0,0,,,0,0,0,0,0.0,0.0,,,,,0,0,,,,,,0,,,,,0
152,1,startup_windows,---00,1,0,0,,102499,65881,0,0,0,,,0,0,0,0,0.48496524810772296,0.003345476673881966,,,,,2048,1874,0.9150390625,,,,0,0,,,,0,0
152,2,startup_windows,--000,1,0,0,,136655,65783,0,0,0,,,0,0,0,0,0.9585566542063807,0.004654781444596327,,,,,2048,1843,0.89990234375,,,0,0,0,,,0,0,0
152,3,startup_windows,-0000,1,0,0,,163387,65602,0,0,0,,,0,0,0,0,1.4250368086495921,0.00530217628509081,,,,,2048,1873,0.91455078125,,0,0,0,0,,0,0,0,0
153,0,startup_windows,----0,1,0,0,,82861,82861,0,0,0,,,0,0,0,0,0.0,0.0,,,,,0,0,,,,,,0,,,,,0
153,1,startup_windows,---00,1,0,0,,135024,83296,0,0,0,,,0,0,0,0,0.5397444779037797,0.003631310050279651,,,,,2048,1970,0.9619140625,,,,0,0,,,,0,0
153,2,startup_windows,--000,1,0,0,,177438,84064,0,0,0,,,0,0,0,0,1.062489918411674,0.005137581819995537,,,,,2048,1983,0.96826171875,,,0,0,0,,,0,0,0
153,3,startup_windows,-0000,1,0,0,,216035,85087,0,0,0,,,0,0,0,0,1.600712117507783,0.00835715578086508,,,,,2048,2011,0.98193359375,,0,0,0,0,,0,0,0,0
169,0,startup_windows,----0,1,0,0,,78786,78786,0,0,0,,,0,0,0,0,0.0,0.0,,,,,0,0,,,,,,0,,,,,0
169,1,startup_windows,---00,1,0,0,,146219,78339,0,0,0,,,0,0,0,0,1.7330958742132971,0.009390472256493752,,,,,2048,1797,0.87744140625,,,,0,0,,,,0,0
169,2,startup_windows,--000,1,0,0,,206510,77890,0,0,0,,,0,0,0,0,3.453291125020742,0.012214126788376469,,,,,2048,1842,0.8994140625,,,0,0,0,,,0,0,0
169,3,startup_windows,-0000,1,0,0,,264201,77531,0,0,0,,,0,0,0,0,5.203971854044863,0.014363239329960791,,,,,2048,1894,0.9248046875,,0,0,0,0,,0,0,0,0
