序列,阶段,首帧,末帧,长度（帧）,左边界截断,右边界截断
147,连续可见段,125,126,2,0,0
147,可见间断段,127,132,6,0,0
147,连续可见段,133,133,1,0,0
147,可见间断段,134,142,9,0,0
147,连续可见段,143,143,1,0,0
147,可见间断段,144,148,5,0,0
147,连续可见段,149,149,1,0,0
147,可见间断段,150,152,3,0,0
147,连续可见段,153,153,1,0,0
147,可见间断段,154,154,1,0,0
147,连续可见段,155,155,1,0,0
147,可见间断段,156,156,1,0,0
147,连续可见段,157,157,1,0,0
147,可见间断段,158,159,2,0,0
147,连续可见段,160,163,4,0,0
147,可见间断段,164,165,2,0,0
147,连续可见段,166,169,4,0,0
147,可见间断段,170,170,1,0,0
147,连续可见段,171,172,2,0,0
147,可见间断段,173,177,5,0,0
147,连续可见段,178,179,2,0,0
147,可见间断段,180,180,1,0,0
147,连续可见段,181,182,2,0,0
147,可见间断段,183,183,1,0,0
147,连续可见段,184,186,3,0,0
147,可见间断段,187,187,1,0,0
147,连续可见段,188,198,11,0,0
147,可见间断段,199,199,1,0,0
147,连续可见段,200,287,88,0,0
147,可见间断段,288,321,34,0,0
147,连续可见段,322,384,63,0,0
147,可见间断段,385,385,1,0,0
147,连续可见段,386,400,15,0,1
148,未见回波前缀,0,28,29,1,0
148,连续可见段,29,29,1,0,0
148,可见间断段,30,31,2,0,0
148,连续可见段,32,33,2,0,0
148,可见间断段,34,34,1,0,0
148,连续可见段,35,35,1,0,0
148,可见间断段,36,38,3,0,0
148,连续可见段,39,41,3,0,0
148,可见间断段,42,44,3,0,0
148,连续可见段,45,45,1,0,0
148,可见间断段,46,48,3,0,0
148,连续可见段,49,50,2,0,0
148,可见间断段,51,54,4,0,0
148,连续可见段,55,55,1,0,0
148,可见间断段,56,56,1,0,0
148,连续可见段,57,60,4,0,0
148,可见间断段,61,61,1,0,0
148,连续可见段,62,64,3,0,0
148,可见间断段,65,68,4,0,0
148,连续可见段,69,75,7,0,0
148,可见间断段,76,81,6,0,0
148,连续可见段,82,89,8,0,0
148,可见间断段,90,92,3,0,0
148,连续可见段,93,97,5,0,0
148,可见间断段,98,98,1,0,0
148,连续可见段,99,199,101,0,0
148,可见间断段,200,264,65,0,0
148,连续可见段,265,345,81,0,0
148,可见间断段,346,346,1,0,0
148,连续可见段,347,356,10,0,0
148,可见间断段,357,357,1,0,0
148,连续可见段,358,358,1,0,0
148,可见间断段,359,359,1,0,0
148,连续可见段,360,360,1,0,0
148,可见间断段,361,361,1,0,0
148,连续可见段,362,362,1,0,0
148,可见间断段,363,367,5,0,0
148,连续可见段,368,368,1,0,0
148,最终无回波尾段,369,601,233,0,1
149,未见回波前缀,0,51,52,1,0
149,连续可见段,52,53,2,0,0
149,可见间断段,54,57,4,0,0
149,连续可见段,58,58,1,0,0
149,可见间断段,59,63,5,0,0
149,连续可见段,64,64,1,0,0
149,可见间断段,65,75,11,0,0
149,连续可见段,76,76,1,0,0
149,可见间断段,77,80,4,0,0
149,连续可见段,81,81,1,0,0
149,可见间断段,82,83,2,0,0
149,连续可见段,84,84,1,0,0
149,可见间断段,85,88,4,0,0
149,连续可见段,89,89,1,0,0
149,可见间断段,90,90,1,0,0
149,连续可见段,91,91,1,0,0
149,可见间断段,92,93,2,0,0
149,连续可见段,94,94,1,0,0
149,可见间断段,95,95,1,0,0
149,连续可见段,96,98,3,0,0
149,可见间断段,99,99,1,0,0
149,连续可见段,100,101,2,0,0
149,可见间断段,102,103,2,0,0
149,连续可见段,104,105,2,0,0
149,可见间断段,106,107,2,0,0
149,连续可见段,108,108,1,0,0
149,可见间断段,109,109,1,0,0
149,连续可见段,110,111,2,0,0
149,可见间断段,112,112,1,0,0
149,连续可见段,113,125,13,0,0
149,可见间断段,126,126,1,0,0
149,连续可见段,127,212,86,0,0
149,可见间断段,213,231,19,0,0
149,连续可见段,232,311,80,0,0
149,可见间断段,312,312,1,0,0
149,连续可见段,313,313,1,0,0
149,可见间断段,314,315,2,0,0
149,连续可见段,316,316,1,0,0
149,可见间断段,317,318,2,0,0
149,连续可见段,319,319,1,0,0
149,可见间断段,320,320,1,0,0
149,连续可见段,321,323,3,0,0
149,可见间断段,324,324,1,0,0
149,连续可见段,325,326,2,0,0
149,可见间断段,327,328,2,0,0
149,连续可见段,329,329,1,0,0
149,最终无回波尾段,330,377,48,0,1
150,未见回波前缀,0,38,39,1,0
150,连续可见段,39,39,1,0,0
150,可见间断段,40,68,29,0,0
150,连续可见段,69,69,1,0,0
150,可见间断段,70,74,5,0,0
150,连续可见段,75,75,1,0,0
150,可见间断段,76,77,2,0,0
150,连续可见段,78,78,1,0,0
150,可见间断段,79,79,1,0,0
150,连续可见段,80,82,3,0,0
150,可见间断段,83,83,1,0,0
150,连续可见段,84,92,9,0,0
150,可见间断段,93,94,2,0,0
150,连续可见段,95,100,6,0,0
150,可见间断段,101,101,1,0,0
150,连续可见段,102,110,9,0,0
150,可见间断段,111,111,1,0,0
150,连续可见段,112,231,120,0,0
150,可见间断段,232,259,28,0,0
150,连续可见段,260,375,116,0,0
150,最终无回波尾段,376,504,129,0,1
151,未见回波前缀,0,116,117,1,0
151,连续可见段,117,117,1,0,0
151,可见间断段,118,124,7,0,0
151,连续可见段,125,125,1,0,0
151,可见间断段,126,126,1,0,0
151,连续可见段,127,127,1,0,0
151,可见间断段,128,129,2,0,0
151,连续可见段,130,131,2,0,0
151,可见间断段,132,136,5,0,0
151,连续可见段,137,137,1,0,0
151,可见间断段,138,144,7,0,0
151,连续可见段,145,147,3,0,0
151,可见间断段,148,149,2,0,0
151,连续可见段,150,155,6,0,0
151,可见间断段,156,157,2,0,0
151,连续可见段,158,158,1,0,0
151,可见间断段,159,160,2,0,0
151,连续可见段,161,163,3,0,0
151,可见间断段,164,167,4,0,0
151,连续可见段,168,173,6,0,0
151,可见间断段,174,174,1,0,0
151,连续可见段,175,176,2,0,0
151,可见间断段,177,177,1,0,0
151,连续可见段,178,183,6,0,0
151,可见间断段,184,184,1,0,0
151,连续可见段,185,276,92,0,1
152,未见回波前缀,0,179,180,1,0
152,连续可见段,180,180,1,0,0
152,可见间断段,181,183,3,0,0
152,连续可见段,184,184,1,0,0
152,可见间断段,185,193,9,0,0
152,连续可见段,194,194,1,0,0
152,可见间断段,195,218,24,0,0
152,连续可见段,219,220,2,0,0
152,可见间断段,221,222,2,0,0
152,连续可见段,223,224,2,0,0
152,可见间断段,225,225,1,0,0
152,连续可见段,226,227,2,0,0
152,可见间断段,228,229,2,0,0
152,连续可见段,230,234,5,0,0
152,可见间断段,235,235,1,0,0
152,连续可见段,236,236,1,0,0
152,可见间断段,237,237,1,0,0
152,连续可见段,238,238,1,0,0
152,可见间断段,239,240,2,0,0
152,连续可见段,241,241,1,0,0
152,可见间断段,242,247,6,0,0
152,连续可见段,248,249,2,0,0
152,可见间断段,250,250,1,0,0
152,连续可见段,251,251,1,0,0
152,可见间断段,252,252,1,0,0
152,连续可见段,253,256,4,0,0
152,可见间断段,257,257,1,0,0
152,连续可见段,258,261,4,0,0
152,可见间断段,262,262,1,0,0
152,连续可见段,263,263,1,0,0
152,可见间断段,264,264,1,0,0
152,连续可见段,265,267,3,0,0
152,可见间断段,268,268,1,0,0
152,连续可见段,269,271,3,0,0
152,可见间断段,272,272,1,0,0
152,连续可见段,273,274,2,0,0
152,可见间断段,275,275,1,0,0
152,连续可见段,276,279,4,0,0
152,可见间断段,280,280,1,0,0
152,连续可见段,281,371,91,0,0
152,可见间断段,372,394,23,0,0
152,连续可见段,395,447,53,0,0
152,可见间断段,448,449,2,0,0
152,连续可见段,450,451,2,0,0
152,可见间断段,452,452,1,0,0
152,连续可见段,453,457,5,0,0
152,可见间断段,458,458,1,0,0
152,连续可见段,459,461,3,0,0
152,可见间断段,462,466,5,0,0
152,连续可见段,467,469,3,0,0
152,最终无回波尾段,470,533,64,0,1
153,未见回波前缀,0,96,97,1,0
153,连续可见段,97,97,1,0,0
153,可见间断段,98,115,18,0,0
153,连续可见段,116,118,3,0,0
153,可见间断段,119,121,3,0,0
153,连续可见段,122,125,4,0,0
153,可见间断段,126,129,4,0,0
153,连续可见段,130,135,6,0,0
153,可见间断段,136,136,1,0,0
153,连续可见段,137,137,1,0,0
153,可见间断段,138,141,4,0,0
153,连续可见段,142,143,2,0,0
153,可见间断段,144,145,2,0,0
153,连续可见段,146,148,3,0,0
153,可见间断段,149,150,2,0,0
153,连续可见段,151,152,2,0,0
153,可见间断段,153,155,3,0,0
153,连续可见段,156,159,4,0,0
153,可见间断段,160,161,2,0,0
153,连续可见段,162,270,109,0,1
169,未见回波前缀,0,260,261,1,0
169,连续可见段,261,261,1,0,0
169,可见间断段,262,268,7,0,0
169,连续可见段,269,270,2,0,0
169,可见间断段,271,271,1,0,0
169,连续可见段,272,272,1,0,0
169,可见间断段,273,273,1,0,0
169,连续可见段,274,275,2,0,0
169,可见间断段,276,276,1,0,0
169,连续可见段,277,277,1,0,0
169,可见间断段,278,280,3,0,0
169,连续可见段,281,281,1,0,0
169,可见间断段,282,282,1,0,0
169,连续可见段,283,284,2,0,0
169,可见间断段,285,289,5,0,0
169,连续可见段,290,292,3,0,0
169,可见间断段,293,293,1,0,0
169,连续可见段,294,295,2,0,0
169,可见间断段,296,296,1,0,0
169,连续可见段,297,356,60,0,0
169,可见间断段,357,362,6,0,0
169,连续可见段,363,406,44,0,0
169,可见间断段,407,408,2,0,0
169,连续可见段,409,412,4,0,0
169,可见间断段,413,414,2,0,0
169,连续可见段,415,419,5,0,0
169,可见间断段,420,422,3,0,0
169,连续可见段,423,423,1,0,0
169,可见间断段,424,424,1,0,0
169,连续可见段,425,426,2,0,0
169,可见间断段,427,428,2,0,0
169,连续可见段,429,431,3,0,0
169,可见间断段,432,432,1,0,0
169,连续可见段,433,433,1,0,0
169,可见间断段,434,435,2,0,0
169,连续可见段,436,437,2,0,0
169,可见间断段,438,440,3,0,0
169,连续可见段,441,442,2,0,0
169,可见间断段,443,445,3,0,0
169,连续可见段,446,446,1,0,0
169,可见间断段,447,452,6,0,0
169,连续可见段,453,453,1,0,0
169,最终无回波尾段,454,599,146,0,1
