序列,五位模式,窗口数,覆盖序列数,当前异常点合计,历史异常点合计,历史占比有效窗数,历史占比无定义比例,槽0异常点数P5,槽0异常点数P25,槽0异常点数P50,槽0异常点数P75,槽0异常点数P95,槽1异常点数P5,槽1异常点数P25,槽1异常点数P50,槽1异常点数P75,槽1异常点数P95,槽2异常点数P5,槽2异常点数P25,槽2异常点数P50,槽2异常点数P75,槽2异常点数P95,槽3异常点数P5,槽3异常点数P25,槽3异常点数P50,槽3异常点数P75,槽3异常点数P95,槽4异常点数P5,槽4异常点数P25,槽4异常点数P50,槽4异常点数P75,槽4异常点数P95,历史异常占比P5,历史异常占比P25,历史异常占比P50,历史异常占比P75,历史异常占比P95
全部,01010,16,10,0,32,16,0.0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
全部,01011,18,12,33,52,18,0.0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,1,1,1,2,8,1,1,1,2,10,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.75,0.75
全部,01100,30,15,0,77,30,0.0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
全部,01101,28,14,36,66,28,0.0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,2,0,0,0,0,0,1,1,1,2,2,0.5,0.6,0.6666666666666666,0.6666666666666666,0.75
全部,01110,27,16,0,126,27,0.0,0,0,0,0,0,1,1,1,2,3,1,1,1,2,2,1,1,1,1,2,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
全部,01111,90,19,1272,2633,90,0.0,0,0,0,0,0,1,1,2,2,12,1,1,2,3,85,1,1,2,3,105,1,1,2,2,99,0.6,0.696969696969697,0.75,0.8,0.8333333333333334
全部,10000,91,18,0,386,91,0.0,1,1,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
全部,10001,30,14,38,33,30,0.0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0.3333333333333333,0.5,0.5,0.5,0.5
全部,10010,24,12,0,59,24,0.0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
全部,10011,33,17,44,92,33,0.0,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,1,1,1,2,2,0.5,0.6,0.6666666666666666,0.75,0.8
全部,10100,22,14,0,44,22,0.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
全部,10101,13,8,21,29,13,0.0,1,1,1,1,2,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,1,1,1,1,8,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8
全部,10110,24,11,0,94,24,0.0,1,1,1,2,2,0,0,0,0,0,1,1,1,2,2,1,1,1,1,2,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
全部,10111,60,16,107,321,60,0.0,1,1,1,2,3,0,0,0,0,0,1,1,2,2,4,1,1,2,2,4,1,1,2,2,3,0.6,0.7142857142857143,0.75,0.8,0.8571428571428571
全部,11000,49,17,0,1328,49,0.0,1,1,1,7,91,1,1,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
全部,11001,35,16,49,100,35,0.0,1,1,1,2,3,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0.5,0.6666666666666666,0.6666666666666666,0.75,0.8
全部,11010,19,11,0,64,19,0.0,1,1,1,1,2,1,1,1,1,2,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
全部,11011,66,16,120,324,66,0.0,1,1,1,2,3,1,1,1,2,3,0,0,0,0,0,1,1,2,2,3,1,1,2,2,3,0.6,0.6666666666666666,0.75,0.8,0.8571428571428571
全部,11100,54,18,0,2670,54,0.0,1,1,2,5,139,1,1,1,4,91,1,1,1,2,25,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
全部,11101,57,17,96,302,57,0.0,1,1,2,2,5,1,1,2,2,3,1,1,1,2,3,0,0,0,0,0,1,1,2,2,4,0.6,0.7142857142857143,0.75,0.8,0.8571428571428571
全部,11110,84,19,0,4315,84,0.0,1,1,2,3,124,1,1,2,3,132,1,1,2,3,81,1,1,1,2,21,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
全部,11111,2856,19,86323,341145,2856,0.0,1,3,8,26,134,1,3,9,27,136,1,3,9,27,139,1,3,9,27,139,1,3,9,27,139,0.7142857142857143,0.7690839694656488,0.7954545454545454,0.8301886792452831,0.8787878787878788
125,00000,40,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
125,00001,1,1,10,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,0.0,0.0,0.0,0.0,0.0
125,00010,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,00011,1,1,14,10,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,14,14,14,14,14,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
125,00100,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,00101,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,00110,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,00111,1,1,32,24,1,0.0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,14,14,14,14,14,32,32,32,32,32,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
125,01000,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,01001,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,01010,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,01011,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,01100,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,01101,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,01110,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,01111,1,1,43,56,1,0.0,0,0,0,0,0,10,10,10,10,10,14,14,14,14,14,32,32,32,32,32,43,43,43,43,43,0.5656565656565656,0.5656565656565656,0.5656565656565656,0.5656565656565656,0.5656565656565656
125,10000,1,1,0,2,1,0.0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
125,10001,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,10010,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,10011,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,10100,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,10101,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,10110,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,10111,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,11000,1,1,0,24,1,0.0,22,22,22,22,22,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
125,11001,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,11010,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,11011,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,11100,1,1,0,42,1,0.0,18,18,18,18,18,22,22,22,22,22,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
125,11101,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,11110,1,1,0,66,1,0.0,24,24,24,24,24,18,18,18,18,18,22,22,22,22,22,2,2,2,2,2,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
125,11111,203,1,25673,102024,203,0.0,22,26,79,231,307,22,26,84,231,307,22,26,84,231,307,22,26,88,231,307,22,26,88,231,307,0.7564102564102564,0.782258064516129,0.7975510204081633,0.8078219824679703,0.8472086190009794
137,00000,360,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
137,00001,7,1,9,0,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0.0,0.0,0.0,0.0,0.0
137,00010,2,1,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
137,00011,6,1,36,8,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,1,1,2,30,0.09090909090909091,0.3333333333333333,0.5,0.5,0.5
137,00100,2,1,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
137,00101,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,00110,4,1,0,9,4,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
137,00111,5,1,40,43,5,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,1,2,2,30,1,1,1,1,36,0.4782608695652174,0.6666666666666666,0.6666666666666666,0.75,0.75
137,01000,1,1,0,1,1,0.0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
137,01001,1,1,1,1,1,0.0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
137,01010,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,01011,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,01100,3,1,0,6,3,0.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
137,01101,2,1,2,5,2,0.0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,0,0,0,0,0,1,1,1,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.75
137,01110,3,1,0,12,3,0.0,0,0,0,0,0,1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
137,01111,10,1,40,113,10,0.0,0,0,0,0,0,1,1,1,2,3,1,2,2,2,30,1,1,2,2,36,1,1,1,1,30,0.696969696969697,0.75,0.8,0.8333333333333334,0.8571428571428571
137,10000,7,1,0,31,7,0.0,1,1,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
137,10001,1,1,1,1,1,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
137,10010,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,10011,3,1,5,7,3,0.0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,0.5,0.5,0.6,0.6666666666666666,0.6666666666666666
137,10100,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,10101,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,10110,1,1,0,4,1,0.0,2,2,2,2,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
137,10111,8,1,15,38,8,0.0,1,1,1,2,2,0,0,0,0,0,1,1,1,2,2,1,2,2,2,3,1,1,2,2,3,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.75,0.8333333333333334
137,11000,7,1,0,100,7,0.0,1,1,1,2,62,1,1,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
137,11001,2,1,2,5,2,0.0,1,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.75
137,11010,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,11011,9,1,17,36,9,0.0,1,1,1,1,2,1,1,1,2,2,0,0,0,0,0,1,1,1,2,2,1,2,2,2,3,0.6,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.8
137,11100,6,1,0,157,6,0.0,1,1,1,2,51,1,1,1,2,62,1,1,1,2,25,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
137,11101,7,1,10,31,7,0.0,1,1,1,2,4,1,1,1,2,2,1,1,1,2,2,0,0,0,0,0,1,1,1,2,2,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.8,0.8333333333333334
137,11110,10,1,0,231,10,0.0,1,1,2,2,40,1,1,1,2,51,1,1,1,1,62,1,1,1,2,25,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
137,11111,89,1,751,2873,89,0.0,1,2,4,9,29,1,2,4,10,30,1,2,4,10,30,1,2,4,10,30,1,2,4,10,29,0.7142857142857143,0.75,0.7878787878787878,0.8518518518518519,0.8888888888888888
138,00000,327,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
138,00001,5,1,44,0,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,40,0.0,0.0,0.0,0.0,0.0
138,00010,3,1,0,3,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
138,00011,2,1,99,41,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,40,40,1,1,1,98,98,0.2898550724637681,0.2898550724637681,0.2898550724637681,0.5,0.5
138,00100,3,1,0,3,3,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
138,00101,1,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
138,00110,1,1,0,2,1,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
138,00111,2,1,85,140,2,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,40,40,1,1,1,98,98,2,2,2,83,83,0.5,0.5,0.5,0.6244343891402715,0.6244343891402715
138,01000,3,1,0,3,3,0.0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
138,01001,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,01010,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,01011,1,1,2,2,1,0.0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,0.5,0.5,0.5,0.5,0.5
138,01100,1,1,0,3,1,0.0,0,0,0,0,0,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
138,01101,1,1,1,2,1,0.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
138,01110,2,1,0,9,2,0.0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
138,01111,5,1,81,244,5,0.0,0,0,0,0,0,1,1,2,3,40,1,1,1,5,98,1,2,2,3,83,1,1,2,2,75,0.6666666666666666,0.7466216216216216,0.8,0.8,0.8461538461538461
138,10000,5,1,0,81,5,0.0,1,1,1,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
138,10001,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,10010,1,1,0,2,1,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
138,10011,1,1,1,4,1,0.0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8
138,10100,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,10101,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,10110,1,1,0,5,1,0.0,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
138,10111,5,1,9,26,5,0.0,1,1,1,1,3,0,0,0,0,0,1,1,1,2,3,1,1,2,2,5,1,1,2,2,3,0.6,0.6666666666666666,0.7857142857142857,0.8,0.8
138,11000,2,1,0,221,2,0.0,2,2,2,141,141,1,1,1,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
138,11001,2,1,2,9,2,0.0,2,2,2,3,3,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.75,0.75,0.75,0.8571428571428571,0.8571428571428571
138,11010,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,11011,5,1,10,29,5,0.0,1,2,2,2,5,1,1,1,2,3,0,0,0,0,0,1,1,2,2,3,1,1,1,2,5,0.6666666666666666,0.6875,0.75,0.8333333333333334,0.8571428571428571
138,11100,3,1,0,351,3,0.0,1,1,3,120,120,2,2,3,141,141,1,1,3,77,77,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
138,11101,4,1,8,27,4,0.0,1,1,2,2,4,2,2,2,2,5,1,1,1,2,3,0,0,0,0,0,1,1,2,2,3,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8,0.8333333333333334
138,11110,5,1,0,487,5,0.0,2,2,3,6,105,2,2,3,4,120,2,2,3,5,141,1,1,3,3,77,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
138,11111,121,1,2058,7909,121,0.0,1,3,8,19,61,1,3,8,19,65,1,3,8,19,65,1,3,8,19,65,1,3,8,19,65,0.7142857142857143,0.7551020408163265,0.8,0.8333333333333334,0.8695652173913043
139,00000,300,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
139,00001,4,1,46,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,43,0.0,0.0,0.0,0.0,0.0
139,00010,4,1,0,4,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
139,00011,2,1,114,44,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,43,43,1,1,1,113,113,0.27564102564102566,0.27564102564102566,0.27564102564102566,0.5,0.5
139,00100,3,1,0,3,3,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
139,00101,1,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
139,00110,2,1,0,4,2,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
139,00111,3,1,126,161,3,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,43,43,1,1,2,113,113,1,1,2,123,123,0.5591397849462365,0.5591397849462365,0.6,0.6666666666666666,0.6666666666666666
139,01000,4,1,0,4,4,0.0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
139,01001,1,1,1,1,1,0.0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
139,01010,1,1,0,2,1,0.0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
139,01011,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,01100,1,1,0,2,1,0.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
139,01101,1,1,1,2,1,0.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
139,01110,1,1,0,3,1,0.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
139,01111,5,1,104,294,5,0.0,0,0,0,0,0,1,1,1,1,43,1,1,2,2,113,1,1,1,2,123,1,1,1,2,99,0.6,0.7380952380952381,0.75,0.8,0.8333333333333334
139,10000,4,1,0,97,4,0.0,1,1,1,1,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
139,10001,2,1,2,2,2,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
139,10010,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,10011,3,1,4,6,3,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
139,10100,2,1,0,4,2,0.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
139,10101,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,10110,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,10111,3,1,3,10,3,0.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,0.75,0.75,0.75,0.8,0.8
139,11000,2,1,0,258,2,0.0,1,1,1,162,162,1,1,1,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
139,11001,2,1,2,4,2,0.0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
139,11010,1,1,0,3,1,0.0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
139,11011,3,1,4,10,3,0.0,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,0.6,0.6,0.75,0.8,0.8
139,11100,3,1,0,398,3,0.0,1,1,1,136,136,1,1,1,162,162,1,1,1,94,94,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
139,11101,3,1,3,11,3,0.0,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0.75,0.75,0.75,0.8333333333333334,0.8333333333333334
139,11110,5,1,0,524,5,0.0,1,1,1,1,114,1,1,1,2,136,1,1,1,2,162,1,1,1,1,94,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
139,11111,172,1,2639,10348,172,0.0,1,2,6,15,66,1,2,6,15,70,1,2,6,15,70,1,2,6,15,70,1,2,6,15,70,0.7142857142857143,0.7602739726027398,0.8,0.8392857142857143,0.8823529411764706
