index,group,frame,scene,world,token,base,points,normal,anomaly,valid,range_median,intensity_median,anomaly_range_median,anomaly_intensity_median
12,normal_nuscenes,62,scene-0002,,fe4f182e723c4320890c25697334bf5b,True,34720,26454,0,26454,8.632078170776367,0.054901961237192154,,
13,anomaly_nuscenes,75,scene-0002,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0002/world.json,b40de072cbfd4eb3b042de165c75d452,True,34688,26547,70,26617,9.280224800109863,0.062745101749897,5.092984199523926,0.1509803980588913
14,normal_nuscenes,78,scene-0002,,9e7566ea48c747bdbe354cf7b9197601,True,34784,26390,0,26390,9.274238586425781,0.05882352963089943,,
15,anomaly_nuscenes,76,scene-0002,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0002/world.json,61a3e7c537984445b088ab8fa6388742,True,34688,25557,205,25762,9.664066314697266,0.05098039284348488,5.166254043579102,0.0941176488995552
16,normal_nuscenes,84,scene-0004,,c0b8b510a76d48f09bc14a5eeacb74af,True,34720,25151,0,25151,9.367454528808594,0.03921568766236305,,
17,anomaly_nuscenes,87,scene-0004,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0004/world.json,4c983b798ebe468db3454db4f13ee286,True,34752,23503,129,23632,9.116935729980469,0.03921568766236305,5.405215263366699,0.03921568766236305
18,normal_nuscenes,86,scene-0004,,ceb66642d15c460983db3bc5b15154b4,True,34688,21838,0,21838,9.870124816894531,0.03921568766236305,,
19,anomaly_nuscenes,97,scene-0004,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0004/world.json,d58d2f3f57c44c478fa340a6e2982460,True,34687,23897,43,23940,9.385637283325195,0.04313725605607033,5.764923095703125,0.250980406999588
20,normal_nuscenes,105,scene-0004,,d62e5f4d6a494157a00dde04c4af028a,True,34720,22577,0,22577,8.281235694885254,0.05098039284348488,,
21,anomaly_nuscenes,113,scene-0004,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0004/world.json,f7e40f250a00431b80f4e8b0c02391f7,True,34686,23638,130,23768,10.031822204589844,0.054901961237192154,4.9898576736450195,0.045098040252923965
22,normal_nuscenes,118,scene-0004,,7a40e9993004496290ffcb1b5da45dc9,True,34720,24720,0,24720,9.499342918395996,0.05098039284348488,,
23,anomaly_nuscenes,115,scene-0004,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0004/world.json,dfc5f95c9ba146469666043e83fa4e9e,True,34718,23066,70,23136,7.95440673828125,0.05882352963089943,4.8933892250061035,0.019607843831181526
24,normal_nuscenes,122,scene-0005,,539619730e224fb2bcd835ade4e9091a,True,34784,25712,0,25712,10.26283073425293,0.03921568766236305,,
25,anomaly_nuscenes,126,scene-0005,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0005/world.json,61e6539cfcc141e2b1d747c1ef80d264,True,34688,26153,16,26169,10.037805557250977,0.05098039284348488,5.111244201660156,0.0235294122248888
26,normal_nuscenes,128,scene-0005,,839a9827503049c689fef77efce917da,True,34688,26039,0,26039,7.007115840911865,0.07450980693101883,,
27,anomaly_nuscenes,132,scene-0005,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0005/world.json,a7b1b5e5e8b64bb5bb4b79669b7bd1e1,True,34688,26540,35,26575,8.162424087524414,0.09803921729326248,5.773184299468994,0.20000000298023224
28,normal_nuscenes,143,scene-0005,,cf7bafb90c6c4d0dbdfcc8c334b0fa34,True,34752,26540,0,26540,6.80727481842041,0.11764705926179886,,
29,anomaly_nuscenes,150,scene-0005,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0005/world.json,897936b015904e4b8e5b5a44d24ffb50,True,34751,26989,93,27082,7.028731822967529,0.10588235408067703,5.821145057678223,0.062745101749897
30,normal_nuscenes,148,scene-0005,,2f7123b217724903a43b4e4eb9b5eed0,True,34688,27182,0,27182,6.898276329040527,0.10588235408067703,,
31,anomaly_nuscenes,157,scene-0005,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0005/world.json,9460d7050ea34b048cb91c29180e9657,True,34720,27291,236,27527,7.327063083648682,0.10196078568696976,4.335599899291992,0.0235294122248888
32,normal_nuscenes,160,scene-0006,,88469429c4a74956b075812ed9440c6f,True,34720,26835,0,26835,8.790887832641602,0.05882352963089943,,
33,anomaly_nuscenes,162,scene-0006,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0006/world.json,f155db9be8714cfdaf70dc594fa1ad21,True,34751,26396,91,26487,7.471998691558838,0.0784313753247261,6.079517364501953,0.0313725508749485
34,normal_nuscenes,172,scene-0006,,e6ca15bc5803457cba8d05f5e78f4e40,True,34688,26911,0,26911,7.423768997192383,0.08627451211214066,,
35,anomaly_nuscenes,177,scene-0006,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0006/world.json,5be245bd56e74ffb91456265b2729681,True,34688,26916,69,26985,7.173340797424316,0.09019608050584793,6.365401268005371,0.1725490242242813
36,normal_nuscenes,178,scene-0006,,d53897e90b594136bcad3a8533512afb,True,34752,27108,0,27108,7.408109188079834,0.08235294371843338,,
37,anomaly_nuscenes,189,scene-0006,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0006/world.json,266689eb821b4c37aa540b9fcdd09bd6,True,34784,26610,38,26648,7.358781337738037,0.07450980693101883,4.942698001861572,0.10980392247438431
38,normal_nuscenes,192,scene-0006,,f00e856d87bb47c4bcdb0ce68a4495ff,True,34752,25506,0,25506,8.756760597229004,0.05098039284348488,,
39,anomaly_nuscenes,194,scene-0006,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0006/world.json,ff63a344235748c39ce832aad749a5a9,True,34685,25423,79,25502,8.351165771484375,0.07058823853731155,5.157205104827881,0.10588235408067703
40,normal_nuscenes,200,scene-0007,,0029c46a57a9472b8f52acd14c309481,True,34720,26721,0,26721,6.173971176147461,0.0784313753247261,,
41,anomaly_nuscenes,203,scene-0007,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0007/world.json,379a1e9b846c41439c7d1a727856d0df,True,34716,26777,257,27034,6.14148473739624,0.09019608050584793,4.329600811004639,0.0784313753247261
42,normal_nuscenes,209,scene-0007,,85fdf8b057e34752b8903e241558a2f5,True,34720,26994,0,26994,6.5272216796875,0.07450980693101883,,
43,anomaly_nuscenes,215,scene-0007,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0007/world.json,0df82e0a33d748adb9df9c2990e1c783,True,34688,26269,55,26324,8.29888916015625,0.0470588244497776,4.732098579406738,0.062745101749897
44,normal_nuscenes,229,scene-0007,,ebb21b48ef744b8fbc604726c1aef635,True,34720,26288,0,26288,8.380711555480957,0.03529411926865578,,
45,anomaly_nuscenes,222,scene-0007,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0007/world.json,bdddd3777c804bc3a9ed80e1d745d8a8,True,34688,26263,24,26287,8.597209930419922,0.03921568766236305,17.01084327697754,0.08235294371843338
46,normal_nuscenes,234,scene-0007,,2c10536f8e36437ab79071f6ff2d174c,True,34752,26899,0,26899,7.590449810028076,0.03529411926865578,,
47,anomaly_nuscenes,237,scene-0007,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0007/world.json,82b2ab97306b4e079ec8debe30314bfc,True,34713,26428,411,26839,9.843681335449219,0.027450980618596077,3.761932134628296,0.16470588743686676
48,normal_nuscenes,238,scene-0008,,8b2f54ec798844359e5f164e21daa2b1,True,34720,26164,0,26164,9.555723190307617,0.027450980618596077,,
49,anomaly_nuscenes,243,scene-0008,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0008/world.json,54ba101f0d304a8f8b4432caacedf99f,True,34720,25858,84,25942,9.113407135009766,0.027450980618596077,5.021483421325684,0.10588235408067703
50,normal_nuscenes,247,scene-0008,,c757d640a003429bbfd82cb35d9c425d,True,34720,26099,0,26099,8.103215217590332,0.03529411926865578,,
51,anomaly_nuscenes,255,scene-0008,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0008/world.json,fe7a4140ca1746d0b8c2dcc882fec4ad,True,34751,25166,104,25270,7.68647575378418,0.04313725605607033,6.023725509643555,0.06666667014360428
52,normal_nuscenes,265,scene-0008,,cb9642a61efd431e87036d3d34f43102,True,34720,25970,0,25970,8.677196502685547,0.03921568766236305,,
53,anomaly_nuscenes,260,scene-0008,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0008/world.json,d9ea58ad7c5346669af4ba8280c0536d,True,34752,25779,112,25891,9.31464672088623,0.0470588244497776,4.887699127197266,0.12941177189350128
54,normal_nuscenes,274,scene-0008,,8c5b433377f240e3ba8f1e002571533f,True,34752,25150,0,25150,8.18502426147461,0.05882352963089943,,
55,anomaly_nuscenes,275,scene-0008,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0008/world.json,b004d43ca4c44f57b219452f2249e138,True,34751,23451,90,23541,7.617749214172363,0.062745101749897,5.1595458984375,0.1666666716337204
56,normal_nuscenes,286,scene-0009,,dca90b9a8b024979858da79c2380160e,True,34688,23897,0,23897,7.783732891082764,0.062745101749897,,
57,anomaly_nuscenes,279,scene-0009,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0009/world.json,bc055f19c44f4783bcd86f485a6ad5ce,True,34720,25104,59,25163,8.347517967224121,0.07450980693101883,5.5191426277160645,0.21176470816135406
58,normal_nuscenes,293,scene-0009,,725ec95088b64a80872e9e003ae1313a,True,34752,25380,0,25380,6.970274448394775,0.07058823853731155,,
59,anomaly_nuscenes,294,scene-0009,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0009/world.json,70b82a6fd55a4cc9ba430f97e1c57678,True,34752,25831,31,25862,9.523551940917969,0.03921568766236305,5.138280391693115,0.09019608050584793
60,normal_nuscenes,296,scene-0009,,76db8fe53a0f45218f93b798ba7587a3,True,34656,26130,0,26130,7.7441558837890625,0.0784313753247261,,
61,anomaly_nuscenes,307,scene-0009,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0009/world.json,84688791507c4beeaa4baa076977a1e1,True,34687,25809,87,25896,8.003923416137695,0.09803921729326248,5.852299690246582,0.027450980618596077
62,normal_nuscenes,312,scene-0009,,562ba931df9f4aa18f18a2ef11770576,True,34784,25881,0,25881,7.01855993270874,0.0470588244497776,,
63,anomaly_nuscenes,317,scene-0009,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0009/world.json,a87976d4ddd14aa59b431c04990ea617,True,34687,25680,40,25720,7.561653137207031,0.05882352963089943,4.8262224197387695,0.013725491240620613
64,normal_nuscenes,322,scene-0010,,b4a9d0a973e645fab8cbe27bc1c26708,True,34656,23986,0,23986,9.319913864135742,0.04313725605607033,,
65,anomaly_nuscenes,324,scene-0010,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0010/world.json,540e6e00f00041a0accb6a137b770f47,True,34752,25027,82,25109,9.261383056640625,0.054901961237192154,5.383024215698242,0.03529411926865578
66,normal_nuscenes,332,scene-0010,,1191f023d7b24ea3bb1e5a651eaa7fd2,True,34784,25875,0,25875,9.550259590148926,0.05882352963089943,,
67,anomaly_nuscenes,327,scene-0010,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0010/world.json,78be276f625a43c18aabc3ccb6ae1388,True,34715,25694,235,25929,9.399669647216797,0.05882352963089943,5.105091571807861,0.0313725508749485
68,normal_nuscenes,342,scene-0010,,97a8a3444ebc44e1a791ff37aee81e9a,True,34752,24902,0,24902,6.649837970733643,0.054901961237192154,,
69,anomaly_nuscenes,349,scene-0010,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0010/world.json,83d3a16f371b46b29f9aaf37c2e63633,True,34718,24078,197,24275,8.481439590454102,0.05882352963089943,5.717649459838867,0.05882352963089943
70,normal_nuscenes,354,scene-0010,,eec732d76fe24d728fd24518d7c15039,True,34688,24763,0,24763,8.86956787109375,0.07058823853731155,,
71,anomaly_nuscenes,352,scene-0010,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0010/world.json,4ef0a17dc9f44568ab65ea3aa2ce2e16,True,34751,25062,27,25089,8.358622550964355,0.06666667014360428,7.323688507080078,0.04313725605607033
72,normal_nuscenes,358,scene-0011,,ea68b0a127b74b6b98ddf3f250b8618d,True,34720,24342,0,24342,9.260293960571289,0.054901961237192154,,
73,anomaly_nuscenes,367,scene-0011,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0011/world.json,8823c09531a4423ab1607a604b346711,True,34687,24637,69,24706,8.704629898071289,0.0784313753247261,5.805502891540527,0.09019608050584793
74,normal_nuscenes,372,scene-0011,,449d309692184277b9cc6b4063a9c9b6,True,34720,20989,0,20989,7.985736846923828,0.07058823853731155,,
75,anomaly_nuscenes,376,scene-0011,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0011/world.json,181af82e7fbf425f860707cedad7a9cd,True,34720,25828,111,25939,6.987302303314209,0.0784313753247261,6.19465970993042,0.1921568661928177
76,normal_nuscenes,379,scene-0011,,12b9275504064d69b62a05f7989d4cf3,True,34720,25870,0,25870,7.145418643951416,0.07450980693101883,,
77,anomaly_nuscenes,382,scene-0011,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0011/world.json,a6f68e91e96545118feae688a1131e0f,True,34719,23758,67,23825,7.654252052307129,0.07058823853731155,5.638215065002441,0.0941176488995552
78,normal_nuscenes,385,scene-0011,,199cd541ffa0431497ee8ae99eaadc8e,True,34688,25860,0,25860,8.231475830078125,0.0784313753247261,,
79,anomaly_nuscenes,396,scene-0011,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0011/world.json,096fc6757cc045d6bf35d7ca4d860835,True,34746,25407,189,25596,8.872955322265625,0.0784313753247261,4.0952277183532715,0.12941177189350128
80,normal_nuscenes,398,scene-0019,,dd7ede0f108048ea84bb444db0108375,True,34720,25845,0,25845,8.203800201416016,0.062745101749897,,
81,anomaly_nuscenes,407,scene-0019,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0019/world.json,4d7e9452428b4920a59fee0928414fc0,True,34749,24829,73,24902,8.895975112915039,0.05882352963089943,6.03544807434082,0.0470588244497776
82,normal_nuscenes,411,scene-0019,,373f3ac4ab114a75a412e29ccd0e3247,True,34720,26169,0,26169,8.953418731689453,0.04313725605607033,,
83,anomaly_nuscenes,417,scene-0019,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0019/world.json,4fe95ced8b37465b81ef607bc03e77ec,True,34720,26523,66,26589,7.694476127624512,0.09019608050584793,7.165559768676758,0.03921568766236305
84,normal_nuscenes,419,scene-0019,,c8245e1550ea4af993159d0694976ace,True,34784,26700,0,26700,6.960701942443848,0.0784313753247261,,
85,anomaly_nuscenes,429,scene-0019,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0019/world.json,f94e2134b69f4bafacafd9057982b595,True,34751,25996,273,26269,8.719482421875,0.062745101749897,4.558277130126953,0.0235294122248888
86,normal_nuscenes,434,scene-0019,,175ea44bc78c457d98b59204b8072df2,True,34752,26453,0,26453,8.379319190979004,0.06666667014360428,,
87,anomaly_nuscenes,435,scene-0019,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0019/world.json,2b0ef41021754cccb8cd5e1a7b101ae2,True,34720,27137,60,27197,9.87537956237793,0.06666667014360428,6.367023468017578,0.08627451211214066
88,normal_nuscenes,443,scene-0020,,4b59281668084fcc8ad7fa10ee7d1f0b,True,34720,27595,0,27595,8.53258991241455,0.062745101749897,,
89,anomaly_nuscenes,447,scene-0020,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0020/world.json,833927cf8c6e481f8af03f509e00a286,True,34720,27486,140,27626,8.83499813079834,0.05882352963089943,7.159160137176514,0.18039216101169586
90,normal_nuscenes,453,scene-0020,,b7e447299f72428b91056833d0322fb3,True,34720,27610,0,27610,8.921585083007812,0.05882352963089943,,
91,anomaly_nuscenes,459,scene-0020,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0020/world.json,d8e8e2f42d7240bd9bd493b9630bd2a3,True,34687,27192,259,27451,10.463128089904785,0.03921568766236305,5.121285915374756,0.10980392247438431
92,normal_nuscenes,463,scene-0020,,64bf970617b541bfa7451219841fc566,True,34752,27121,0,27121,12.432781219482422,0.027450980618596077,,
93,anomaly_nuscenes,457,scene-0020,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0020/world.json,2dac6f560c9244fbb1f1c34fcda83c39,True,34752,26598,95,26693,11.49190616607666,0.03529411926865578,6.362497806549072,0.0941176488995552
94,normal_nuscenes,471,scene-0020,,c1f7b37441564f2f8c647281faa26946,True,34720,26329,0,26329,10.005573272705078,0.054901961237192154,,
95,anomaly_nuscenes,472,scene-0020,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0020/world.json,3090920f423a457e84b4228324e59e17,True,34749,26204,189,26393,8.32180118560791,0.06666667014360428,4.430295467376709,0.01568627543747425
96,normal_nuscenes,480,scene-0021,,c5b888e438c442a6abcc63047cf98916,True,34656,24972,0,24972,9.441962242126465,0.0470588244497776,,
97,anomaly_nuscenes,481,scene-0021,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0021/world.json,96dc8e73b27345b5b4889d0cf45c05f3,True,34718,24884,139,25023,9.383829116821289,0.0470588244497776,5.328071117401123,0.027450980618596077
98,normal_nuscenes,484,scene-0021,,83f15bc8bef24b729727a13c00cb876f,True,34688,25082,0,25082,9.690878868103027,0.04313725605607033,,
99,anomaly_nuscenes,490,scene-0021,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0021/world.json,db3d9a3c1500480a9b043d3c26e9d65b,True,34720,25018,238,25256,9.923029899597168,0.04313725605607033,6.446749687194824,0.09019608050584793
100,normal_nuscenes,495,scene-0021,,4a716691b25342618582328df59440dd,True,34688,25138,0,25138,9.804244995117188,0.04313725605607033,,
101,anomaly_nuscenes,504,scene-0021,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0021/world.json,1c80d1da67024bc8bceecd56df9ab091,True,34718,25031,152,25183,10.02177619934082,0.04313725605607033,8.180718421936035,0.1666666716337204
102,normal_nuscenes,512,scene-0021,,70f6d441b4c042ada75a86fd7b1eb622,True,34720,25213,0,25213,10.326115608215332,0.04313725605607033,,
103,anomaly_nuscenes,515,scene-0021,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0021/world.json,412e32873c4f479abacf0f6f9815b99b,True,34720,25368,41,25409,10.0977201461792,0.04313725605607033,7.336721897125244,0.054901961237192154
104,normal_nuscenes,520,scene-0022,,eabf78d55eb641f7b4b1e9ab72f4b9d1,True,34752,25839,0,25839,9.274056434631348,0.05098039284348488,,
105,anomaly_nuscenes,521,scene-0022,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0022/world.json,1871b0e6202f4b3c86212175c01b1a8a,True,34751,25521,103,25624,8.150209426879883,0.062745101749897,5.703433990478516,0.07058823853731155
106,normal_nuscenes,526,scene-0022,,8de891e74f3e4af4a5258bcf4c39c4d8,True,34656,27234,0,27234,9.126222610473633,0.062745101749897,,
107,anomaly_nuscenes,537,scene-0022,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0022/world.json,31a976360d604423aad9ddc3522bb55c,True,34750,26873,89,26962,7.433319091796875,0.08235294371843338,7.645649433135986,0.10196078568696976
108,normal_nuscenes,539,scene-0022,,08fb037806574d9bbdc85390ae910d69,True,34720,27026,0,27026,7.233660697937012,0.08627451211214066,,
109,anomaly_nuscenes,548,scene-0022,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0022/world.json,f58e6cda94484341a8e5e9b5c7a9bca2,True,34720,26814,53,26867,6.902693271636963,0.09019608050584793,5.057319164276123,0.1568627506494522
110,normal_nuscenes,552,scene-0022,,3f9138cf37f04005b324fb4306a09b3b,True,34720,26179,0,26179,9.146652221679688,0.05098039284348488,,
111,anomaly_nuscenes,555,scene-0022,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0022/world.json,40a4fe78e4024c219b8f07420c0143e9,True,34752,25942,17,25959,8.48875904083252,0.06666667014360428,6.560059070587158,0.1921568661928177
112,normal_nuscenes,559,scene-0023,,3277ebba81744ff1bf0b483a0910b274,True,34752,26097,0,26097,8.660582542419434,0.07450980693101883,,
113,anomaly_nuscenes,562,scene-0023,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0023/world.json,08a6bbfc793c4150974a87e1c608d939,True,34718,25774,180,25954,8.109262466430664,0.07450980693101883,5.217620372772217,0.0470588244497776
114,normal_nuscenes,566,scene-0023,,8fabb0d9fe3c4548847bb16446d0038a,True,34720,26456,0,26456,8.207948684692383,0.06666667014360428,,
115,anomaly_nuscenes,567,scene-0023,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0023/world.json,7fb4fde7c8614e5782ad440156e79eb9,True,34719,26315,194,26509,8.17625617980957,0.10196078568696976,4.486031532287598,0.11372549086809158
116,normal_nuscenes,580,scene-0023,,dec695e1d7974936bbb2ace39c34a118,True,34656,26917,0,26917,7.97797966003418,0.09019608050584793,,
117,anomaly_nuscenes,595,scene-0023,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0023/world.json,1fc62133da2c4467bf501d6655d45be6,True,34752,26367,47,26414,8.784188270568848,0.062745101749897,5.8558268547058105,0.08627451211214066
118,normal_nuscenes,584,scene-0023,,dafbfbc7129c45cc89094bb526787bef,True,34720,26305,0,26305,7.830196857452393,0.0784313753247261,,
119,anomaly_nuscenes,592,scene-0023,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0023/world.json,4259c896e5f54e3fa7a9b46b33880cf1,True,34752,26004,36,26040,8.2152099609375,0.07058823853731155,4.403342247009277,0.11372549086809158
120,normal_nuscenes,597,scene-0024,,addeb515ee3245d78c6a6f3233be73d6,True,34720,24886,0,24886,7.585474967956543,0.0784313753247261,,
121,anomaly_nuscenes,605,scene-0024,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0024/world.json,a466ac0c771b44a7ac9b57ac50e7f946,True,34720,24977,46,25023,8.306748390197754,0.07058823853731155,5.347890853881836,0.14901961386203766
122,normal_nuscenes,606,scene-0024,,8eb0304e5ea445308afc5df2887c1716,True,34720,25491,0,25491,8.296527862548828,0.07058823853731155,,
123,anomaly_nuscenes,617,scene-0024,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0024/world.json,03a13a5050d741b5b1cf116bd84b8831,True,34718,25044,172,25216,9.422931671142578,0.05882352963089943,4.822873115539551,0.05098039284348488
124,normal_nuscenes,621,scene-0024,,7b8c1c831fab40a1a57ddb68f38ac1e7,True,34752,25230,0,25230,9.643632888793945,0.054901961237192154,,
125,anomaly_nuscenes,627,scene-0024,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0024/world.json,5e43ca54b7374fb489e424df13c2a271,True,34747,25026,185,25211,8.997318267822266,0.04313725605607033,5.792192459106445,0.250980406999588
126,normal_nuscenes,628,scene-0024,,201a83b5af5e4103ab20ec1a9ca64f73,True,34656,27050,0,27050,9.17151927947998,0.03921568766236305,,
127,anomaly_nuscenes,636,scene-0024,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0024/world.json,1708a372007942f78e1f2e8242a0b411,True,34720,27571,56,27627,8.96238899230957,0.0313725508749485,5.012198448181152,0.04901960864663124
128,normal_nuscenes,637,scene-0025,,f42230a62a044100b102d62076e1050a,True,34688,27250,0,27250,8.673948287963867,0.027450980618596077,,
129,anomaly_nuscenes,650,scene-0025,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0025/world.json,97379fbd6b434910b7cf4585da681284,True,34749,27107,150,27257,8.622036933898926,0.027450980618596077,8.550640106201172,0.062745101749897
130,normal_nuscenes,654,scene-0025,,ce2da26b1e8f4073a61c822dd91a4ba4,True,34816,27273,0,27273,8.628024101257324,0.027450980618596077,,
131,anomaly_nuscenes,652,scene-0025,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0025/world.json,6cf89a1a5f834d9486dda3eebc45c061,True,34688,27003,157,27160,8.593954086303711,0.027450980618596077,8.548314094543457,0.05882352963089943
132,normal_nuscenes,657,scene-0025,,8cc8b284917040c2934e6b59490d4a34,True,34688,27006,0,27006,8.33541488647461,0.027450980618596077,,
133,anomaly_nuscenes,665,scene-0025,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0025/world.json,a6232864d3794a6895ed79ae92cadb90,True,34718,26603,275,26878,9.077913284301758,0.027450980618596077,4.676389694213867,0.03921568766236305
134,normal_nuscenes,669,scene-0025,,41cdb6ebdb824b87b2e942e000ceaf2c,True,34720,26851,0,26851,7.759571075439453,0.0313725508749485,,
135,anomaly_nuscenes,675,scene-0025,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0025/world.json,64ec3cb56f3044b1882857005602da58,True,34781,27023,294,27317,7.220972537994385,0.0313725508749485,6.040464401245117,0.1196078434586525
136,normal_nuscenes,681,scene-0026,,873d1c8e94a24c7988a392361505b95e,True,34784,27265,0,27265,7.298211574554443,0.0313725508749485,,
137,anomaly_nuscenes,687,scene-0026,/home/jasongao/Study/AJAE-v4/results/data/native/scene-0026/world.json,df0c93f519ae4d1dae89c328dfbf6390,True,34688,26464,33,26497,8.310346603393555,0.04313725605607033,5.6003193855285645,0.10980392247438431
138,normal_nuscenes,689,scene-0026,,bf7479f5cc2a445b98e3a8f725ef08c3,True,34720,26789,0,26789,8.852538108825684,0.0313725508749485,,
