anomaly,anomaly_in_range,complete_windows,context_frames,cpu_seconds,first_frame,frames,ignore,instance_frame_count,labelled_instance_count,last_frame,max_rss_bytes,normal,segment,sequence,slots,source_sequence,startup_windows,states,timestamp_available,unknown_instance_points,version,visible,wall_seconds,whole_window_unseen,world
1251,1251,24,4,16.818778669000004,84,28,53540,22,1,111,865599488,3375641,3,002_03,3670016,206,0,"[6, 0, 2, 20]",0,0,synthetic/train/002,3430432,16.94250854398706,0,5181aee9547b78fa476f70db0278f3e344371013ca851467dc9a7aabac2756be
14774,14774,24,4,18.591829787,112,28,25852,28,1,139,811847680,3503497,4,002_04,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/002,3544123,18.707787905994337,0,d2f40979bfe07c3f532dd8d90f37ce1b71baed42874167a3bcbc542b040b26fe
9375,9375,24,4,18.198035608999994,140,28,34837,28,1,167,761065472,3487286,5,002_05,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/002,3531498,18.28250543901231,0,4d3c726bcedfb8da235ced2de3e03f02f8038348591bd2ecd9fc48e2953379d4
7116,7116,24,4,18.842645341,168,28,165365,28,1,195,772485120,3379129,6,002_06,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/002,3551610,18.93562817000202,0,e38a21c3398a9391fd67cf2f8b3e8c0d7372bd8228357a8aa3e9897669ddf67d
102243,102243,24,4,22.204478605999995,196,28,81394,28,1,223,960258048,3364789,7,002_07,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/002,3548426,22.28011742400122,0,9c5ae87f02d07a8636da0ffc460bf6995ea35f7d68f48972d86caf8c612047f1
3172,3172,24,4,17.613209789000003,224,28,322843,28,1,251,798781440,3282088,8,002_08,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/002,3608103,17.702748589013936,0,bacd42c57397cb472ddc5ef33b1fa7fd052889a0c9d3a5f7b3828c8bb73ca8ab
5402,5402,24,4,18.058261561000002,252,28,385410,28,1,279,775856128,3196892,9,002_09,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/002,3587704,18.143942622002214,0,144561c918b3bc0112e5c79a62c06b7e325bdc41d0502fcfda440315698ec6cb
13169,13169,24,4,18.421489514999998,280,28,105721,22,1,307,880750592,3434496,10,002_10,3670016,206,0,"[6, 0, 0, 22]",0,0,synthetic/train/002,3553386,18.506357792997733,2,6366288c70eb0516452fa683768a85fc6ea3ab0b0f30ee4483728817efc79a32
68146,68146,24,4,21.032193647,308,28,40114,28,1,335,894009344,3454789,11,002_11,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/002,3563049,21.211155259021325,0,ec8dc7038ab1839a2ae9d5fa2e68982dcc9e7e9e0365faa7d5a3f6a54165bf69
12456,12456,24,4,19.23580915000001,336,28,30312,28,1,363,865599488,3499470,12,002_12,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/002,3542238,19.40292106202105,0,53174360208a25ac521d7e1b6adcbc3972d94b829b571fc9ac63317d4c1e3e80
4529,4529,24,4,18.570183299,364,28,20552,28,1,391,842039296,3496330,13,002_13,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/002,3521411,18.65654635397368,0,91e2ddddbf5e8df35d171d5c789def159b3ff0b969d5fa14a2c316d39464b61c
2286,2286,24,4,17.515435540999995,392,28,24155,28,1,419,837222400,3429382,14,002_14,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/002,3455823,17.596103204996325,0,07710e8df26a90054a5ce1e77ca580a657bee5b554515e41764a1853e5a15fcb
14429,14429,25,4,18.06411646,420,29,30504,29,1,448,866357248,3535679,15,002_15,3801088,206,0,"[0, 0, 0, 29]",0,0,synthetic/train/002,3580612,18.17002388398396,0,ec0ab026a642ea7143d6cf7575923b12112b686f47b29abce5241b025ebc7144
91565,90427,24,4,20.860850076999995,0,28,33505,28,1,27,947056640,3363492,0,003_00,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/003,3488562,20.93474983802298,0,df0663a1cdd9cd41cec707cf489c8dd8dd5a49568a3932030a743fa2de575813
18479,18479,24,4,17.80340861500001,28,28,35796,28,1,55,773304320,3318059,1,003_01,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/003,3372334,17.925074692000635,0,496f9a91e5e44c47e946cc6b128221624ed906ceaa4dc6dc98ab2a04cc1ff729
26179,26179,24,4,17.74737288,56,28,40178,28,1,83,798781440,3257726,2,003_02,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/003,3324083,17.95789740802138,0,64b09fe25a9be0b0495d06afb33216635d40ef9dc6eed6dd8358595f66fe8ffa
141502,64917,24,4,26.112392174999997,84,28,53394,28,1,111,994398208,3236455,3,003_03,3670016,206,0,"[0, 3, 0, 25]",0,0,synthetic/train/003,3431351,26.35031829800573,0,de6713bb7515febaea595117f583660ce970b8938a1fef61ea75a0fa403680d2
4110,4110,24,4,17.461443507,112,28,25953,28,1,139,788410368,3513180,4,003_04,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/003,3543243,17.693986249010777,0,ccebbbe89a0f31cdefe20661169a430ece99dc570eaa2ffeb82eb3f432f96a5a
157,157,24,4,16.664483270000005,140,28,34845,12,1,167,837222400,3496496,5,003_05,3670016,206,0,"[16, 0, 1, 11]",0,0,synthetic/train/003,3531498,16.97680902000866,12,2c82b955ebe8e47e383effe37b9d8061e2c8eeac8c6f57d57a61ff4f6e99e722
5671,5671,24,4,17.93555670299999,168,28,165364,28,1,195,880750592,3381208,6,003_06,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/003,3552243,18.245729724992998,0,0335b7d0877ff0f15cd74b80d32a9c1ca2b549ee3859eb29a6205f02a9b8e8d7
805,805,24,4,17.63023549600001,196,28,81980,28,1,223,842039296,3465450,7,003_07,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/003,3548235,17.703776787995594,0,895d67ef0526dfbdd3d7919efea3fdf2990c876c180cc998e163bbb4fd09d80b
54366,25300,24,4,18.80738629000001,224,28,316703,28,1,251,866357248,3237078,8,003_08,3670016,206,0,"[0, 6, 0, 22]",0,0,synthetic/train/003,3608147,18.891612228995655,0,f57eb346cc29269865c7f6eda59d2722de4e7d6df78d1b636b4ff854d38fa5ab
17086,16305,24,4,17.692684596000007,252,28,385404,28,1,279,865599488,3185187,9,003_09,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/003,3587677,17.840726319991518,0,5a54a9751b36b3474b1a1f1b4be836efd8e5eab781fec06a922787d674afad61
13994,13994,24,4,17.873304817999994,280,28,105721,28,1,307,894009344,3432596,10,003_10,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/003,3552311,17.96586760599166,0,61280b6c40a4626ecd1fc470cc451a4125dddd3fd414a94cac0095509032b9e4
19827,19827,24,4,18.33046373900001,308,28,42641,28,1,335,960258048,3498426,11,003_11,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/003,3560894,18.403701478004223,0,db5f67f4a45911bdf8d82e5ed6f211c1782b044b4e12d5f3194811a8cace177e
11926,11926,24,4,17.839295217,336,28,30312,28,1,363,789233664,3499999,12,003_12,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/003,3542237,17.919665081019048,0,3c2aff7f7656e94276ad05f768b997ead876bc4bc4e28bca54e999f361038776
31508,31508,24,4,18.228112425999996,364,28,20552,28,1,391,837222400,3470595,13,003_13,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/003,3522655,18.31120267600636,0,e183607763df2c5581f5a37dc228bf5dc95e7df48f42da71e05d07416275df7e
17994,17994,24,4,16.875675097,392,28,24155,28,1,419,798781440,3413674,14,003_14,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/003,3455823,16.95636837198981,0,7ca60c506b2938c6d8d4d340bf148440d0c9fdae28779f0963442cf1aa2fa757
55717,55717,25,4,18.626972569000003,420,29,30260,29,1,448,851423232,3494635,15,003_15,3801088,206,0,"[0, 0, 0, 29]",0,0,synthetic/train/003,3580612,18.703851155994926,0,f0752199b78aad886666cce2e7eef4b019e99a8a2088b9b33d935b58a4c5a13c
3500,3500,24,4,17.133648418999996,0,28,34568,28,1,27,880750592,3449193,0,004_00,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/004,3487261,17.20860113800154,0,f92eb739893e17ab63caa8551374ba1e013888a7b49a943fbd69676af5cd46f3
15573,15573,24,4,17.137791288000003,28,28,35787,28,1,55,842039296,3320980,1,004_01,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/004,3372340,17.20495525500155,0,db95b06a6ff8405798a00ff4792e11f89b753b79d5493718b8396a82fca07a4a
10217,10217,24,4,16.921879869999998,56,28,40797,28,1,83,865599488,3272276,2,004_02,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/004,3323290,17.00787773000775,0,01c60b20b670766149a0a42a6f030fcbacc6ffcb93fc44a60cfa5ab1d7a4f722
286,286,24,4,16.296237024000007,84,28,53540,20,1,111,947056640,3376484,3,004_03,3670016,206,0,"[8, 0, 7, 13]",0,0,synthetic/train/004,3430310,16.373374194983626,3,47617e196a8cdf748a04c7c685f016719076363564e143a1aca408e445f24df3
705159,51588,24,4,92.52309702600002,112,28,17830,28,1,139,2295959552,2853577,4,004_04,3670016,206,0,"[0, 10, 0, 18]",0,0,synthetic/train/004,3576566,92.62881487898994,0,7708235bd463938585bed7b614d197b5693cee22318944e6015182d7d57e5e3f
8320,8320,24,4,17.007146754000004,140,28,34845,28,1,167,894009344,3488382,5,004_05,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/004,3531547,17.09317920601461,0,4dcc06905a96b813d67a2ff68960437ec9587dca080db17ff3c4f9632f000786
17187,17187,24,4,17.85218721800001,168,28,165365,28,1,195,960258048,3369096,6,004_06,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/004,3551648,17.9417745769897,0,ffa9bff491d281483f27d42cda7c1c5db3897bfc67592db37777c3f2ca4e80af
16652,16652,24,4,17.439936212999996,196,28,81980,28,1,223,994398208,3449603,7,004_07,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/004,3548235,17.54578636199585,0,9442be96d7ece184e300df48ad60a9daf34cc9a616ce327b9675c710c3d5ab64
612,612,24,4,16.38764237800001,224,28,322843,28,1,251,798781440,3284646,8,004_08,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/004,3608101,16.473074289009674,0,f85d59679c4e40e27120928b10c2a3879e7ddadad2636668746a8a432f1b29eb
866,866,24,4,16.95021273399999,252,28,385410,28,1,279,789233664,3201406,9,004_09,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/004,3587682,17.03118109499337,0,ac0be0b64ceb89ae8a44d9bb20c52b454160db3343956a5908b0c35bed489e6c
38137,38137,24,4,18.552480405999987,280,28,104945,28,1,307,837222400,3411651,10,004_10,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/004,3554733,18.619699322007364,0,1891e0dacfcff8828dbcdb313cfae1b2a592bbcc3e05b1cde800b8815091f8b6
8853,8853,24,4,17.3626718,308,28,42641,28,1,335,880750592,3509540,11,004_11,3670016,206,0,"[0, 0, 3, 25]",0,0,synthetic/train/004,3561034,17.43454370298423,0,c476f5ddadf1673c5579875fe79cc5803e20aec28d0d2a2258d012f92a9a67d0
11452,11452,24,4,18.000654098,336,28,30312,28,1,363,842039296,3500473,12,004_12,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/004,3542237,18.07002602398279,0,571328a63e86bb122ee32381a37536df5d6500a69b7318cff8050a96e953dbae
2297,2297,24,4,17.543363909000007,364,28,20552,28,1,391,851423232,3498562,13,004_13,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/004,3521411,17.606063304003328,0,9f1e82cecbfcc602930e9f528eeb84a24178eea1118c2a105c43f10cd1c6decc
3952,3952,24,4,16.455409060999997,392,28,24155,28,1,419,947056640,3427716,14,004_14,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/004,3455823,16.52741127999616,0,4a5c157bf1d805ecab2b851c91c6c6598f59ddd8f8937451c9891e1b145abee0
60114,60114,25,4,19.390337415999994,420,29,30087,29,1,448,865599488,3491104,15,004_15,3801088,206,0,"[0, 0, 0, 29]",0,0,synthetic/train/004,3581305,19.48863502801396,0,2c7f988a4eeca765bf984dcc62bb87826e52feae01c62abae1a15530c5e7e448
146707,40885,24,4,24.513823474999995,0,28,30837,28,1,27,1022164992,3316835,0,005_00,3670016,206,0,"[0, 11, 0, 17]",0,0,synthetic/train/005,3494379,24.59623903100146,0,e72595ea624fce05d0a834f196674448c50b927d3e100ff5ba76eb6f096c4249
36949,36949,24,4,18.4904097,28,28,35248,28,1,55,960258048,3300756,1,005_01,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/005,3372953,18.57615103799617,0,02d98ac3f23536cc3568bbb98f2ef03b29569f97462d7a64a50ecf8f53a18caa
29065,29065,24,4,17.733075976999984,56,28,40791,28,1,83,994398208,3253470,2,005_02,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/005,3323326,17.83282361199963,0,772a750eaa0b86078c283e5f87aa8492b41dbdf7cf74a88083209174c84d044b
4633,4633,24,4,17.077341328000003,84,28,53540,28,1,111,798781440,3372431,3,005_03,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/005,3430604,17.159377563017188,0,4bfd8a2295ab37a6b79ff2b9560e503e4614fff5d90e75f3aa0e6effcbda843f
16588,16588,24,4,17.717296841999982,112,28,26033,28,1,139,789233664,3501159,4,005_04,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/005,3543780,17.785456609009998,0,03549c8b255afe8a8853910ce57d1798bbe5a51f337e22bdde4b5d573dfa672f
5526,5526,24,4,17.31588852,140,28,34845,28,1,167,947056640,3491222,5,005_05,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/005,3531593,17.387051937985234,0,62a0d4e82b9e2d679886af4a847b114753bdf354085181193711c2876a53c224
38384,38384,24,4,19.19486904499999,168,28,165317,28,1,195,880750592,3347909,6,005_06,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/005,3551610,19.255311682005413,0,7089ab38a421fb5db53eafab93daf81f4b5ab7ec29694c0745984e824c816331
11072,11072,24,4,17.704773298999996,196,28,81980,28,1,223,851423232,3455183,7,005_07,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/005,3548235,17.769527731026756,0,612702a29041313e848660c4379bc4e722b786fd096f602825bd175709a6bccc
5621,5621,24,4,16.966500642,224,28,322820,28,1,251,837222400,3279811,8,005_08,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/005,3608252,17.033992753975326,0,be2519046e18f372f1c95241b2a6a70bf1b6bf0e41a6a29e8269727e13ffa13f
18816,18816,24,4,17.853050578999998,252,28,385374,28,1,279,842039296,3183487,9,005_09,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/005,3587677,17.92085923301056,0,616a724dc51024e36f1217c0fa0307dd5b73e6f21c51571c9c4f139563b360e2
24678,24678,24,4,18.365044724,280,28,105721,28,1,307,865599488,3421911,10,005_10,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/005,3552310,18.4294019700028,0,0b4ec538d8b02f0d50badc8bb1c3fc3a61eca0ac34504022735326519d619d86
84528,74533,24,4,20.348256274999983,308,28,42479,28,1,335,960258048,3434876,11,005_11,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/005,3561883,20.435954413027503,0,b8ebab70162d8f2628826966e9656a4a2ca7c9ba6d7a70da456bd8cda9aaa3e7
478,478,24,4,17.59199778599998,336,28,30283,26,1,363,994398208,3511476,12,005_12,3670016,206,0,"[2, 0, 0, 26]",0,0,synthetic/train/005,3542237,17.67347453898401,0,42b9841c765b6463396494b824ff0ce9d554ba866ab8bbfddbda8e0918e5e348
9475,9475,24,4,18.019659742000016,364,28,20552,28,1,391,1022164992,3491499,13,005_13,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/005,3521526,18.110365586995613,0,72221a66a401296bd9675580df87e044390ca924de023a1a04cab2e3047a3b91
2296,2296,24,4,16.667695500000008,392,28,24155,28,1,419,798781440,3429454,14,005_14,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/005,3455905,16.751927470992086,0,49cfacaec088e584db9338dddda2aff6874038d46cd0e254033c47a5bed2c6a8
14882,14882,25,4,17.338433758000008,420,29,30513,29,1,448,789233664,3535217,15,005_15,3801088,206,0,"[0, 0, 0, 29]",0,0,synthetic/train/005,3580612,17.433753796009114,0,54bc3a1057314480b45c580668a553f308fd2d6d13956b83740ee7b2e9d61ac7
35015,35015,24,4,18.802894331000005,0,28,34566,28,1,27,947056640,3419754,0,006_00,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/006,3489335,18.88302745600231,0,93ff7d0f80c5b1f7dc6b512a0d336d913b148b981251bbd8571355cca0ff40e7
26719,26719,24,4,17.917941594000013,28,28,35515,28,1,55,837222400,3310140,1,006_01,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/006,3372374,17.9913230210077,0,c4bac683d5cccca868cbfe6c95b295c3d2dc50891f5f87b4becb7dfc1b3f6018
7245,7245,24,4,17.290173526000018,56,28,40797,28,1,83,851423232,3275259,2,006_02,3670016,206,0,"[0, 0, 0, 28]",0,0,synthetic/train/006,3323301,17.368347151001217,0,8a7180cd6e47cd76f92a30e96fe02a1310e8ee6cfc0634f982e5474cb7ea6458
765,765,24,4,16.856938138000004,84,28,53540,24,1,111,842039296,3376025,3,006_03,3670016,206,0,"[4, 0, 2, 22]",0,0,synthetic/train/006,3430330,16.94110933400225,0,4e19dc38a62d162e5bd8acfdadbf7f82e364fb39dfe95e45d9a32f2312a2a58b
